TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),,Load in kN,Stud1_Axial-O,Stud1_Axial,Stud2_Axial-O,Stud2_Axial,Stud3_Axial-O,Stud3_Axial,Stud4_Axial-O,Stud4_Axial,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom,Stud3_Top-O,Stud3_Top,Stud3_Mid-O,Stud3_Mid,Stud3_Bottom-O,Stud3_Bottom
,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
,,,0.2,,0.037648083,,0.038935463,,0.035322111,,0.041230083,,0.003073296,,0.004007856,,0.003405641,,0.001868892,,0.002575,,
,,,0.4,,0.075296166,,0.077870926,,0.070644223,,0.082460167,,0.006146592,,0.008015711,,0.006811282,,0.003737783,,0.00515,,
,,,0.6,,0.11294425,,0.116806389,,0.105966334,,0.12369025,,0.009219888,,0.012023567,,0.010216922,,0.005606675,,0.007724999,,
,,,0.8,,0.150592333,,0.155741852,,0.141288445,,0.164920334,,0.012293184,,0.016031422,,0.013622563,,0.007475567,,0.010299999,,
,,,1,,0.188240416,,0.194677315,,0.176610557,,0.206150417,,0.015366479,,0.020039278,,0.017028204,,0.009344459,,0.012874999,,
,,,1.2,,0.225888499,,0.233612778,,0.211932668,,0.247380501,,0.018439775,,0.024047133,,0.020433845,,0.01121335,,0.015449999,,
,,,1.4,,0.263536582,,0.272548241,,0.247254779,,0.288610584,,0.021513071,,0.028054989,,0.023839486,,0.013082242,,0.018024999,,
,,,1.6,,0.301184666,,0.311483704,,0.28257689,,0.329840668,,0.024586367,,0.032062844,,0.027245127,,0.014951134,,0.020599998,,
,,,1.8,,0.338832749,,0.350419167,,0.317899002,,0.371070751,,0.027659663,,0.0360707,,0.030650767,,0.016820025,,0.023174998,,
,,,2,,0.376480832,,0.38935463,,0.353221113,,0.412300835,,0.030732959,,0.040078556,,0.034056408,,0.018688917,,0.025749998,,
,,,2.2,,0.414128915,,0.428290093,,0.388543224,,0.453530918,,0.033806255,,0.044086411,,0.037462049,,0.020557809,,0.028324998,,
,,,2.4,,0.451776999,,0.467225556,,0.423865336,,0.494761002,,0.036879551,,0.048094267,,0.04086769,,0.0224267,,0.030899998,,
,,,2.6,,0.489425082,,0.506161019,,0.459187447,,0.535991085,,0.039952846,,0.052102122,,0.044273331,,0.024295592,,0.033474997,,
,,,2.8,,0.527073165,,0.545096481,,0.494509558,,0.577221169,,0.043026142,,0.056109978,,0.047678971,,0.026164484,,0.036049997,,
,,,3,,0.564721248,,0.584031944,,0.52983167,,0.618451252,,0.046099438,,0.060117833,,0.051084612,,0.028033376,,0.038624997,,
,,,3.2,,0.602369331,,0.622967407,,0.565153781,,0.659681336,,0.049172734,,0.064125689,,0.054490253,,0.029902267,,0.041199997,,
,,,3.4,,0.640017415,,0.66190287,,0.600475892,,0.700911419,,0.05224603,,0.068133544,,0.057895894,,0.031771159,,0.043774997,,
,,,3.6,,0.677665498,,0.700838333,,0.635798004,,0.742141503,,0.055319326,,0.0721414,,0.061301535,,0.033640051,,0.046349996,,
,,,3.8,,0.715313581,,0.739773796,,0.671120115,,0.783371586,,0.058392622,,0.076149255,,0.064707175,,0.035508942,,0.048924996,,
,,,4,,0.752961664,,0.778709259,,0.706442226,,0.82460167,,0.061465918,,0.080157111,,0.068112816,,0.037377834,,0.051499996,,
,,,4.2,,0.790609747,,0.817644722,,0.741764337,,0.865831753,,0.064539213,,0.084164967,,0.071518457,,0.039246726,,0.054074996,,
,,,4.4,,0.828257831,,0.856580185,,0.777086449,,0.907061837,,0.067612509,,0.088172822,,0.074924098,,0.041115617,,0.056649996,,
,,,4.6,,0.865905914,,0.895515648,,0.81240856,,0.94829192,,0.070685805,,0.092180678,,0.078329739,,0.042984509,,0.059224995,,
,,,4.8,,0.903553997,,0.934451111,,0.847730671,,0.989522003,,0.073759101,,0.096188533,,0.08173538,,0.044853401,,0.061799995,,
,,,5,,0.94120208,,0.973386574,,0.883052783,,1.030752087,,0.076832397,,0.100196389,,0.08514102,,0.046722293,,0.064374995,,
,,,5.2,,0.978850163,,1.012322037,,0.918374894,,1.07198217,,0.079905693,,0.104204244,,0.088546661,,0.048591184,,0.066949995,,
,,,5.4,,1.016498247,,1.0512575,,0.953697005,,1.113212254,,0.082978989,,0.1082121,,0.091952302,,0.050460076,,0.069524995,,
,,,5.6,,1.05414633,,1.090192963,,0.989019117,,1.154442337,,0.086052285,,0.112219955,,0.095357943,,0.052328968,,0.072099994,,
,,,5.8,,1.091794413,,1.129128426,,1.024341228,,1.195672421,,0.089125581,,0.116227811,,0.098763584,,0.054197859,,0.074674994,,
,,,6,,1.129442496,,1.168063889,,1.059663339,,1.236902504,,0.092198876,,0.120235667,,0.102169224,,0.056066751,,0.077249994,,
,,,6.2,,1.167090579,,1.206999352,,1.094985451,,1.278132588,,0.095272172,,0.124243522,,0.105574865,,0.057935643,,0.079824994,,
,,,6.4,,1.204738663,,1.245934815,,1.130307562,,1.319362671,,0.098345468,,0.128251378,,0.108980506,,0.059804534,,0.082399994,,
,,,6.6,,1.242386746,,1.284870278,,1.165629673,,1.360592755,,0.101418764,,0.132259233,,0.112386147,,0.061673426,,0.084974993,,
,,,6.8,,1.280034829,,1.323805741,,1.200951784,,1.401822838,,0.10449206,,0.136267089,,0.115791788,,0.063542318,,0.087549993,,
,,,7,,1.317682912,,1.362741204,,1.236273896,,1.443052922,,0.107565356,,0.140274944,,0.119197429,,0.06541121,,0.090124993,,
,,,7.2,,1.355330996,,1.401676667,,1.271596007,,1.484283005,,0.110638652,,0.1442828,,0.122603069,,0.067280101,,0.092699993,,
,,,7.4,,1.392979079,,1.44061213,,1.306918118,,1.525513089,,0.113711948,,0.148290655,,0.12600871,,0.069148993,,0.095274993,,
,,,7.6,,1.430627162,,1.479547593,,1.34224023,,1.566743172,,0.116785243,,0.152298511,,0.129414351,,0.071017885,,0.097849992,,
,,,7.8,,1.468275245,,1.518483056,,1.377562341,,1.607973256,,0.119858539,,0.156306367,,0.132819992,,0.072886776,,0.100424992,,
,,,8,,1.505923328,,1.557418519,,1.412884452,,1.649203339,,0.122931835,,0.160314222,,0.136225633,,0.074755668,,0.102999992,,
,,,8.2,,1.543571412,,1.596353982,,1.448206564,,1.690433423,,0.126005131,,0.164322078,,0.139631273,,0.07662456,,0.105574992,,
