TimeStamp,Time in Sec,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial-O,Stud1_Axial,Stud2_Axial-O,Stud2_Axial,Stud3_Axial-O,Stud3_Axial,Stud4_Axial-O,Stud4_Axial,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom,Stud3_Top-O,Stud3_Top,Stud3_Mid-O,Stud3_Mid,Stud3_Bottom-O,Stud3_Bottom,Stud1_Mid-O,Stud1_Mid,Stud4_Mid-O,Stud4_Mid
38:40.7,0,-0.008608,0.00276575,-0.004926,0,0.034481,0,0.068141,0,-0.011494,0,-0.006568,0,0.085383,0,0.328399,0,0.477811,0,-0.087026,0,-0.022988,0,0.017335,0,-0.034665,0
38:41.7,0.02,-0.007946,0.00255305,0.001642,0.006568,0.003284,-0.031197,-0.002463,-0.070604,0.001642,0.013136,0,0.006568,0.006568,0.078815,0,0.328399,-0.019704,0.497515,0.001642,0.088668,0.003284,0.026272,-0.010401,0.027736,0.0104,0.045065
38:42.7,0.03,-0.003973,0.001276525,-0.001642,0.003284,0.003284,-0.031197,-0.000821,-0.068962,0,0.011494,0,0.006568,0.006568,0.078815,0.003284,0.325115,-0.018062,0.495873,-0.001642,0.085384,0,0.022988,-0.048539,0.065874,0.020799,0.055464
38:43.7,0.05,-0.005959,0.001914627,0,0.004926,0.003284,-0.031197,-0.004105,-0.072246,0,0.011494,0,0.006568,0.003284,0.082099,0,0.328399,-0.014778,0.492589,-0.001642,0.085384,0,0.022988,-0.058941,0.076276,0.062397,0.097062
38:44.7,0.07,-0.025603,0.008226244,0.001642,0.006568,0.001642,-0.032839,0.002463,-0.065678,-0.001642,0.009852,0,0.006568,0.006568,0.078815,0,0.328399,-0.044333,0.522144,-0.004926,0.0821,0.003284,0.026272,-0.031204,0.048539,0.034665,0.06933
38:45.7,0.08,-0.012139,0.003900261,0,0.004926,0.003284,-0.031197,-0.002463,-0.070604,0.001642,0.013136,0,0.006568,0.003284,0.082099,0,0.328399,0.029555,0.448256,-0.004926,0.0821,0,0.022988,-0.020803,0.038138,0.027732,0.062397
38:46.7,0.1,-0.019644,0.006311617,0.001642,0.006568,0.001642,-0.032839,-0.004105,-0.072246,0,0.011494,0,0.006568,0.006568,0.078815,-0.009852,0.338251,-0.024629,0.50244,-0.001642,0.085384,0,0.022988,-0.017336,0.034671,0.006933,0.041598
38:47.7,0.12,-0.004414,0.001418218,0,0.004926,0.003284,-0.031197,-0.002463,-0.070604,0,0.011494,0,0.006568,0.003284,0.082099,0,0.328399,-0.034481,0.512292,-0.004926,0.0821,0.003284,0.026272,0.010401,0.006934,-0.034665,0
38:48.7,0.13,-0.003752,0.001205518,0.001642,0.006568,0.004926,-0.029555,-0.004105,-0.072246,0,0.011494,0,0.006568,0.009852,0.075531,-0.003284,0.331683,0.00821,0.469601,0.001642,0.088668,0.003284,0.026272,-0.072809,0.090144,0.006933,0.041598
38:49.7,0.15,-0.009049,0.002907444,0,0.004926,0.003284,-0.031197,-0.004105,-0.072246,0,0.011494,0,0.006568,0.006568,0.078815,0,0.328399,-0.00821,0.486021,0.001642,0.088668,0,0.022988,-0.048539,0.065874,0.017333,0.051998
