TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud2_Axial-O,Stud2_Axial,Stud3_Axial-O,Stud3_Axial,Stud4_Axial-O,Stud4_Axial,Stud5_Axial-O,Stud5_Axial,Stud3_Top-O,Stud3_Top,Stud4_Top-O,Stud4_Top,Stud3_Mid-O,Stud3_Mid,Stud4_Mid-O,Stud4_Mid,Stud3_Bottom-O,Stud3_Bottom,Stud4_Bottom-O,Stud4_Bottom,Stud1_Axial-O,Stud1_Axial,Stud6_Axial-O,Stud6_Axial,Stud1_Mid-O,Stud1_Mid,Stud2_Mid-O,Stud2_Mid,Stud5_Mid-O,Stud5_Mid,Stud6_Mid-O,Stud6_Mid
19:46.5,0.000662,0,0.072246,0,0.021345,0,-0.238904,0,0.01642,0,0.045975,0,-0.190471,0,-0.042692,0,-0.694552,0,0.045976,0,0.238084,0,0.049705,0,0.014201,0,-0.027739,0,0.041607,0,0.013867,0,0.027731,0
19:46.5,0.000662,6.425787299,0.072246,0,0.021345,0,-0.238904,0,0.01642,0,0.045975,0,-0.190471,0,-0.042692,0,-0.694552,0,0.045976,0,0.238084,0,0.049705,0,0.014201,0,-0.027739,0,0.041607,0,0.013867,0,0.027731,0
19:47.5,0.000662,6.425787299,-0.001642,-0.073888,0.001642,-0.019703,-0.022166,0.216738,0,-0.01642,0,-0.045975,0.013136,0.203607,0,0.042692,-0.004926,0.689626,0,-0.045976,-0.001642,-0.239726,0.124263,0.074558,0.007101,-0.0071,-0.006935,0.020804,-0.034673,-0.07628,0.017333,0.003466,-0.017332,-0.045063
19:48.5,-0.000441,6.426141693,-0.001642,-0.073888,0,-0.021345,-0.005747,0.233157,0,-0.01642,0,-0.045975,0.006568,0.197039,0,0.042692,-0.011494,0.683058,0,-0.045976,-0.001642,-0.239726,0.124263,0.074558,0.014201,0,-0.006935,0.020804,-0.006935,-0.048542,0,-0.013867,0.034664,0.006933
19:49.5,-0.000441,6.426141693,-0.001642,-0.073888,0.001642,-0.019703,-0.027092,0.211812,0,-0.01642,0,-0.045975,0.009852,0.200323,0,0.042692,-0.050901,0.643651,0,-0.045976,0.004926,-0.233158,0.291131,0.241426,0.00355,-0.010651,0.034674,0.062413,0.031206,-0.010401,0.017333,0.003466,0.024265,-0.003466
19:50.5,0.004194,6.424652468,0,-0.072246,0.001642,-0.019703,0.009031,0.247935,0,-0.01642,0,-0.045975,0.013136,0.203607,0,0.042692,-0.00821,0.686342,0,-0.045976,-0.004926,-0.24301,-0.017752,-0.067457,0.007101,-0.0071,-0.01387,0.013869,0.041607,0,0.0104,-0.003467,0.020798,-0.006933
19:51.5,0,6.426,0,-0.072246,0.003284,-0.018061,-0.017241,0.221663,0,-0.01642,0.003284,-0.042691,0.009852,0.200323,0,0.042692,-0.02463,0.669922,0.003284,-0.042692,-0.004926,-0.24301,0.152666,0.102961,0.007101,-0.0071,0.01387,0.041609,0.020804,-0.020803,-0.006933,-0.0208,0.027731,0
19:52.5,0.000441,6.425858307,-0.001642,-0.073888,0.001642,-0.019703,-0.022166,0.216738,0,-0.01642,0,-0.045975,0.003284,0.193755,-0.003284,0.039408,-0.070605,0.623947,0.003284,-0.042692,-0.014778,-0.252862,0.197046,0.147341,-0.014201,-0.028402,-0.010402,0.017337,-0.006935,-0.048542,-0.006933,-0.0208,0.020798,-0.006933
19:53.5,0.001104,6.425645285,-0.001642,-0.073888,0.001642,-0.019703,-0.002463,0.236441,0.001642,-0.014778,-0.003284,-0.049259,0.003284,0.193755,-0.003284,0.039408,0.011494,0.706046,0.003284,-0.042692,0.004926,-0.233158,0.097635,0.04793,-0.00355,-0.017751,-0.027739,0,0,-0.041607,-0.0208,-0.034667,0.020798,-0.006933
19:54.5,-0.001766,6.426567416,0.001642,-0.070604,0.001642,-0.019703,-0.009031,0.229873,0,-0.01642,0.003284,-0.042691,0.009852,0.200323,0,0.042692,0.011494,0.706046,0.003284,-0.042692,-0.001642,-0.239726,0.228999,0.179294,-0.00355,-0.017751,0.01387,0.041609,0.034673,-0.006934,0.0104,-0.003467,0.051996,0.024265
19:55.5,0.003973,6.424723475,0,-0.072246,0,-0.021345,-0.026271,0.212633,0,-0.01642,0,-0.045975,0.003284,0.193755,0,0.042692,-0.013136,0.681416,0.003284,-0.042692,-0.001642,-0.239726,0.163317,0.113612,-0.00355,-0.017751,-0.006935,0.020804,0.013869,-0.027738,-0.0208,-0.034667,0.027731,0
