TimeStamp,Time in Sec,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial,Stud2_Axial,Stud3_Axial,Stud4_Axial,Stud2_Top,Stud2_Mid,Stud2_Bottom,Stud3_Top,Stud3_Mid,Stud3_Bottom,Stud1_Mid,Stud4_Mid
38:40.7,0,-0.008608,0.00276575,-0.004926,0.034481,0.068141,-0.011494,-0.006568,0.085383,0.328399,0.477811,-0.087026,-0.022988,0.017335,-0.034665
38:41.7,0.02,-0.007946,0.00255305,0.001642,0.003284,-0.002463,0.001642,0,0.006568,0,-0.019704,0.001642,0.003284,-0.010401,0.0104
38:42.7,0.03,-0.003973,0.001276525,-0.001642,0.003284,-0.000821,0,0,0.006568,0.003284,-0.018062,-0.001642,0,-0.048539,0.020799
38:43.7,0.05,-0.005959,0.001914627,0,0.003284,-0.004105,0,0,0.003284,0,-0.014778,-0.001642,0,-0.058941,0.062397
38:44.7,0.07,-0.025603,0.008226244,0.001642,0.001642,0.002463,-0.001642,0,0.006568,0,-0.044333,-0.004926,0.003284,-0.031204,0.034665
38:45.7,0.08,-0.012139,0.003900261,0,0.003284,-0.002463,0.001642,0,0.003284,0,0.029555,-0.004926,0,-0.020803,0.027732
38:46.7,0.1,-0.019644,0.006311617,0.001642,0.001642,-0.004105,0,0,0.006568,-0.009852,-0.024629,-0.001642,0,-0.017336,0.006933
38:47.7,0.12,-0.004414,0.001418218,0,0.003284,-0.002463,0,0,0.003284,0,-0.034481,-0.004926,0.003284,0.010401,-0.034665
38:48.7,0.13,-0.003752,0.001205518,0.001642,0.004926,-0.004105,0,0,0.009852,-0.003284,0.00821,0.001642,0.003284,-0.072809,0.006933
38:49.7,0.15,-0.009049,0.002907444,0,0.003284,-0.004105,0,0,0.006568,0,-0.00821,0.001642,0,-0.048539,0.017333
38:50.7,0.17,-0.006401,0.002056641,0.001642,0.003284,-0.000821,0,0,0.006568,0.006568,-0.018062,-0.004926,0,-0.072809,0.062397
38:51.7,0.18,-0.003973,0.001276525,0.001642,0.003284,-0.005747,0,0.003284,0.006568,-0.003284,0.004926,0.001642,0.003284,-0.045072,0.041598
38:52.7,0.2,-0.010815,0.00347486,0,0.003284,0.000821,0.001642,0,0.003284,0.003284,-0.004926,-0.004926,0.003284,0.003467,0.024266
38:53.7,0.22,-0.005959,0.001914627,0,0.003284,-0.004105,0,0.001642,0.003284,0.003284,0.049259,0.004926,0,-0.034671,0.027732
38:54.7,0.23,-0.006401,0.002056641,0,0.001642,-0.002463,-0.001642,0,0.006568,0,0.004926,-0.001642,0,-0.020803,-0.013866
38:55.7,0.25,-0.009491,0.003049458,0,0.003284,-0.003284,0,0,0.006568,0,-0.004926,0.003284,0.003284,-0.079743,0.048531
38:56.7,0.27,-0.011919,0.003829575,0,0.003284,-0.000821,0,0,0.003284,0,0.045975,-0.001642,0.003284,-0.072809,0.031199
38:57.7,0.28,-0.009049,0.002907444,0,0.003284,-0.001642,0,0,0.003284,0,-0.036123,-0.004926,0,-0.02427,0.072797
38:58.7,0.3,-0.011477,0.00368756,0.001642,0.003284,-0.002463,0,0,0.003284,-0.003284,0.057469,-0.004926,0,-0.006934,0.048531
38:59.7,0.32,-0.004856,0.001560233,0,0.001642,-0.004105,0,0,0.009852,0,-0.034481,-0.001642,0,0.020803,0.024266
39:00.7,0.33,-0.004856,0.001560233,-0.001642,0.003284,-0.002463,0.001642,0,0.006568,0,0.027913,-0.004926,0,-0.045072,0
39:01.7,0.35,-0.009491,0.003049458,0.001642,0.003284,-0.004105,-0.001642,0,0.004926,0,0.036123,-0.004926,0.003284,-0.02427,0.038132
39:02.7,0.37,-0.005739,0.001843941,0,0.004926,-0.000821,0,0,0.006568,0,-0.011494,-0.004926,0,-0.052007,0.051998
