TimeStamp,Time in Sec,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial,Stud2_Axial,Stud3_Axial,Stud4_Axial,Stud2_Top,Stud2_Mid,Stud2_Bottom,Stud3_Top,Stud3_Mid,Stud3_Bottom
44:22.7,0.00,-0.02472,0.007942536,-0.036123,-0.009031,-0.026271,-0.009852,-0.001642,-0.01642,-0.05747,0.080457,-0.004926,0
44:23.7,0.02,-0.030017,0.009644462,-0.004926,0,-0.011494,0,-0.009852,-0.029556,-0.036124,0.052544,0,0.003284
44:24.8,0.03,-0.037522,0.012055819,-0.010673,-0.003284,-0.004926,-0.010673,-0.006568,-0.036124,-0.036124,0.062396,-0.003284,0.003284
44:25.8,0.05,-0.04017,0.012906621,-0.001642,0,-0.011494,0.004926,0,-0.036124,-0.036124,0.055828,-0.003284,0
44:26.8,0.07,-0.051648,0.016594502,0.055827,0.021345,0.045975,0.098516,0,-0.03284,-0.03284,0.06568,-0.006568,0.003284
44:27.8,0.08,-0.732556,0.235370243,0.14285,0.060752,0.146134,0.256143,-0.006568,-0.042691,-0.036124,0.06568,0.003284,0.006568
44:28.8,0.10,-1.059216,0.340326101,0.297194,0.234799,0.341526,0.492582,-0.003284,-0.042691,-0.036124,0.068964,-0.003284,0.009852
44:29.8,0.12,-1.304432,0.419114002,0.464674,0.44661,0.579609,0.842316,0,-0.042691,-0.039408,0.06568,0,0.009852
44:30.8,0.14,-1.689581,0.542862375,0.541846,0.561547,0.724101,0.984344,-0.006568,-0.045975,-0.036124,0.064038,-0.003284,0.006568
44:31.8,0.15,-1.651839,0.530735871,0.663351,0.730668,0.914567,1.180556,0.006568,-0.042691,-0.03284,0.062396,0.003284,0.006568
44:32.8,0.17,-2.468267,0.793054187,0.808664,0.835753,1.147725,1.48842,0.013136,-0.049259,-0.029556,0.059112,-0.003284,0.003284
44:33.8,0.18,-2.207822,0.709373209,0.840682,0.861203,1.242958,1.561486,0.006568,-0.045975,-0.029556,0.062396,-0.003284,0.003284
44:34.8,0.20,-2.366076,0.760220219,0.972039,1.0607,1.527016,1.985107,0.006568,-0.045975,-0.036124,0.039408,-0.003284,-0.026272
44:35.8,0.22,-3.809117,1.223869292,1.088618,1.300425,1.796296,2.346335,0.009852,-0.049259,-0.036124,0.013136,-0.003284,-0.062397
44:36.8,0.24,-3.185153,1.023389659,1.246246,1.49007,2.045873,2.719056,0.004926,-0.047617,-0.03284,0.013136,-0.003284,-0.062397
44:37.8,0.25,-4.612523,1.48200364,1.385813,1.745394,2.359487,3.045803,0.006568,-0.049259,-0.03284,0.013136,-0.003284,-0.065681
44:38.8,0.27,-4.354065,1.398961085,1.420294,1.801221,2.477708,3.164023,0.009852,-0.052543,-0.029556,0.01642,0,-0.065681
44:39.8,0.28,-5.473536,1.758647117,1.545904,1.947354,2.630409,3.358593,0.011494,-0.050901,-0.031198,0.019704,-0.006568,-0.065681
44:40.8,0.30,-7.135087,2.292503453,1.604193,2.004823,2.702656,3.420166,0.006568,-0.052543,-0.029556,0.003284,-0.006568,-0.065681
44:41.8,0.32,-6.986765,2.244847595,1.65181,2.090204,2.779828,3.489127,0.013136,-0.049259,-0.022988,0.009852,0,-0.065681
44:42.8,0.34,-6.986765,2.244847595,1.699427,2.134537,2.829086,3.553163,0.026272,-0.045975,-0.022988,0.01642,-0.003284,-0.065681
44:43.8,0.35,-7.847999,2.521562079,1.758538,2.193647,2.881629,3.613915,0.052544,-0.029556,-0.01642,0.013136,0,-0.065681
44:44.8,0.37,-9.565611,3.073430814,1.889894,2.326646,3.001492,3.715716,0.088667,-0.019704,-0.019704,0.018062,-0.003284,-0.065681
44:45.8,0.39,-9.565611,3.073430814,1.926018,2.347991,3.037615,3.733777,0.105087,-0.013136,-0.019704,0.01642,0.003284,-0.062397
44:46.8,0.40,-10.750415,3.45410834,2.034387,2.453076,3.13449,3.830652,0.105087,0.049259,0.006568,0.01642,-0.003284,-0.065681
44:47.8,0.42,-11.648508,3.74266562,2.100065,2.494125,3.196884,3.855281,0.108371,0.068963,0.009852,0.01642,0.003284,-0.065681
44:48.8,0.43,-14.140613,4.543378957,2.22075,2.574581,3.311821,3.922601,0.105087,0.075531,0.088668,0.022988,0.003284,-0.009852
44:49.8,0.45,-15.451446,4.9645496,2.272471,2.613987,3.356154,3.953798,0.098519,0.082099,0.259436,0.029556,0,0.154351
44:50.8,0.47,-15.01818,4.825341234,2.287249,2.623839,3.375858,3.952156,0.105087,0.078815,0.259436,0.019704,0.003284,0.154351
44:51.8,0.49,-15.052391,4.836333228,2.322551,2.648468,3.418549,3.98089,0.137927,0.111655,0.26272,0.050902,0.045977,0.157635
44:52.8,0.50,-16.9543,5.44741659,2.374273,2.687876,3.472733,4.01455,0.200323,0.15763,0.275856,0.095235,0.111657,0.167487
44:53.8,0.52,-17.437006,5.602510028,2.416964,2.738776,3.530202,4.058882,0.197039,0.15763,0.37766,0.088667,0.118226,0.288997
44:54.8,0.53,-17.378958,5.583859205,2.428458,2.735492,3.526918,4.062166,0.197039,0.15763,0.380944,0.082099,0.113299,0.292281
44:55.8,0.55,-17.26264,5.546486232,2.42189,2.737134,3.52856,4.05724,0.197039,0.15763,0.37766,0.083741,0.118226,0.292281
44:56.8,0.57,-17.734531,5.69810481,2.474433,2.799528,3.607374,4.114708,0.236447,0.295556,0.433488,0.170767,0.229883,0.371099
44:57.8,0.59,-19.115551,6.141826536,2.508914,2.822516,3.645139,4.145905,0.252867,0.354668,0.466328,0.190471,0.282428,0.397371
44:58.8,0.60,-20.287994,6.518532472,2.558173,2.865206,3.702607,4.168892,0.256151,0.354668,0.463044,0.197039,0.285712,0.400655
44:59.8,0.62,-21.770544,6.994875787,2.618925,2.921033,3.759255,4.228003,0.380942,0.463038,0.686356,0.302126,0.426926,0.587847
45:00.8,0.63,-21.770544,6.994875787,2.643555,2.940736,3.806051,4.247706,0.384226,0.476174,0.692924,0.298842,0.433494,0.591131
