TimeStamp,,Kyowa PG 500 KUM _Load in bar_(bar),Stud1_Axial,Stud2_Axial,Stud3_Axial,Stud4_Axial,Stud2_Top,Stud2_Mid,Stud2_Bottom,Stud3_Top,Stud3_Mid,Stud3_Bottom,Load in kN
26:48.9,0.00,-0.011257,0.024629,0.00821,0.311976,0.068962,0.121507,0.426911,0.036124,0.200319,-0.06568,0.68963,6.429616874
26:49.9,0.02,-0.007946,0.003284,0.01642,0.36452,0.078814,0.026272,0.01642,-0.003284,-0.013136,-0.01642,-0.269284,6.42855305
26:51.0,0.03,-0.008387,0,0.00821,0.486026,0.072246,0.062395,-0.013136,-0.006568,0,-0.019704,-0.167481,6.428694743
26:52.0,0.05,-0.000883,0.006568,0.006568,0.361236,0.037765,0.01642,-0.022988,0.003284,-0.013136,-0.026272,-0.180617,6.426283708
26:53.0,0.07,-0.008166,-0.003284,0.006568,0.405569,0.064037,0.045975,-0.088666,0.013136,-0.006568,-0.019704,-0.203605,6.428623736
26:54.0,0.08,-0.008608,0.013136,0.003284,0.353026,0.052543,0.026272,0.062395,-0.029556,-0.022987,-0.011494,-0.193753,6.42876575
26:55.0,0.10,-0.005297,-0.006568,0.011494,0.408853,0.054185,0.022988,0.01642,0.029556,-0.013136,-0.009852,-0.190469,6.427701926
26:56.0,0.12,-0.005297,0.006568,0.006568,0.376014,0.052543,0.022988,0.029555,0.019704,-0.039407,-0.022988,-0.188827,6.427701926
26:57.0,0.13,-0.002428,0.044333,0.004926,0.417063,0.055827,0.022988,0.009852,-0.01642,0.088666,-0.059112,-0.190469,6.426780116
26:58.0,0.15,-0.002428,0.011494,-0.01642,0.35631,0.050901,0.022988,-0.022988,0.009852,0.003284,-0.026272,-0.197037,6.426780116
26:59.0,0.17,0.002649,0.001642,0.029555,0.43923,0.055827,0.021346,0.009852,-0.003284,-0.019703,0.006568,-0.192111,6.425148876
27:00.0,0.18,0.005518,-0.003284,-0.021345,0.311155,0.045975,0.029556,0.003284,-0.003284,-0.013136,0.009852,-0.211815,6.424227067
27:01.0,0.20,0.011919,0.007389,0.014778,0.204427,0.060753,0.022988,-0.018062,-0.009852,-0.019703,-0.006568,-0.28242,6.422170425
27:02.0,0.22,0.016554,0.003284,0.00821,0.105087,0.09195,-0.009852,-0.003284,0,-0.006568,-0.009852,-0.239728,6.4206812
27:03.0,0.23,0.078796,0.011494,0.00821,0.366162,0.039407,0.045975,0.006568,-0.003284,-0.019703,-0.019704,-0.177333,6.400682845
27:04.0,0.25,0.082106,0,0.009852,0.385866,0.073067,0.068963,0.055827,-0.003284,-0.019703,-0.019704,-0.197037,6.399619342
27:05.0,0.27,0.078796,0.013136,0.011494,0.366162,0.042691,0.022988,-0.009852,-0.009852,-0.009852,-0.029556,-0.210173,6.400682845
27:06.0,0.28,0.078796,-0.001642,0.013136,0.418705,0.054185,0.034482,-0.039407,0.042692,-0.011494,-0.026272,-0.224951,6.400682845
27:07.0,0.30,0.071291,0.022987,0.004926,0.346458,0.052543,0.01642,-0.001642,-0.004926,-0.052543,-0.01642,-0.205247,6.403094202
27:08.0,0.32,0.082548,-0.051722,0.013136,0.445798,0.055827,0.022988,-0.006568,-0.006568,0.032839,0,-0.198679,6.399477328
27:09.0,0.34,0.097336,0.027913,0.00821,0.349742,0.052543,0.022988,-0.009852,0.006568,0.006568,0,-0.216741,6.394725943
27:10.0,0.35,0.086962,-0.019703,0.06732,0.353026,0.055827,0.022988,0.01642,-0.022988,-0.026271,-0.045976,-0.177333,6.398059109
27:11.0,0.37,0.098881,0.024629,-0.006568,0.288168,0.054185,0.019704,0.011494,-0.003284,-0.037765,-0.04926,-0.14942,6.394229535
27:12.0,0.39,0.098881,0.014778,0.031197,1.036091,0.062395,0.026272,0.006568,-0.009852,0.003284,0,-0.239728,6.394229535
27:13.0,0.40,0.087624,0.004105,0.006568,0.347279,0.029555,0.026272,0.004926,0,-0.00821,-0.022988,-0.213457,6.397846409
27:14.0,0.42,0.092701,0.004926,0.019703,0.640373,0.07553,0.049259,-0.003284,-0.009852,-0.013136,-0.026272,-0.190469,6.396215169
27:15.0,0.44,0.086962,0,0.00821,0.405569,0.068962,0.019704,-0.036123,0,0.006568,-0.019704,-0.24958,6.398059109
27:16.1,0.45,0.092259,0.00821,0.006568,0.37273,0.050901,0.029556,-0.003284,0,-0.003284,-0.019704,-0.206889,6.396357183
27:17.1,0.47,0.092259,0,0.011494,0.420347,0.064037,0.052543,-0.013136,0.019704,-0.006568,-0.013136,-0.206889,6.396357183
27:18.1,0.49,0.092701,0.009852,0.00821,0.371088,0.052543,-0.003284,0.154345,-0.075531,-0.006568,-0.009852,-0.177333,6.396215169
27:19.1,0.50,0.094687,-0.009852,0.013136,0.402285,0.054185,0.03284,-0.054185,0.03284,-0.032839,-0.022988,-0.229877,6.395577067
27:20.1,0.52,0.094025,0.108369,0.004926,0.275853,0.050901,0.022988,0.07553,0.01642,0.003284,-0.039408,-0.162556,6.395789768
