Stud1-Axial,Stud1-Load,Stud2-Axial,Stud2-Load,Stud3-Axial,Stud3-Load,Stud4-Axial,Stud4-Load
0.355230501,1.035532087,0.149268786,0.296216596,0.518283525,0.140573885,2.552155458,1.158730555
0.544028739,1.287955358,0.338067025,0.449766417,0.784317407,0.316260838,2.740953696,1.395942526
0.732826978,1.540378629,0.526865263,0.709795338,0.973115645,0.424176759,2.929751935,1.511464097
0.921625216,1.72435105,0.715663502,0.886162108,1.161913884,0.60814918,3.118550173,1.718253468
1.110423455,1.862689571,0.90446174,1.123374079,1.350712122,0.746487701,3.307348412,1.985888039
1.299221693,2.084690242,1.093259979,1.3225578,1.53951036,0.839192321,3.49614665,2.21549436
1.488019932,2.337113513,1.282058217,1.491318921,1.728308599,1.023164742,3.684944889,2.285382031
1.613885424,2.421733543,1.470856456,1.720925242,1.917106837,1.260376713,3.873743127,2.537805302
1.882779885,2.826879375,1.659654694,2.003771113,2.105905076,1.345475684,4.062541365,2.828256823
2.071578123,3.094513946,1.848452932,2.172532234,2.294703314,1.521842455,4.251339604,3.179553544
2.260376362,3.575106717,2.037251171,2.310870755,2.483501553,1.774265726,4.440137842,3.614512415
2.4491746,4.215418138,2.226049409,2.646956176,2.672299791,2.049505947,4.628936081,4.216795586
2.637972839,4.91657476,2.414847648,2.922196397,2.86109803,2.263900968,4.817734319,4.902740908
2.826771077,5.648153981,2.603645886,3.212647918,3.049896268,2.326182988,5.006532558,5.436573229
3.015569316,6.607902703,2.792444125,3.556338989,3.238694507,2.66226841,5.195330796,6.2366033
3.204367554,7.841454825,2.981242363,4.01411481,3.427492745,2.929902981,5.384129035,7.378887622
3.393165793,9.135852147,3.170040602,4.517524531,3.616290984,3.197537551,5.572927273,8.597228444
3.581964031,10.44546077,3.35883884,4.929666452,3.805089222,3.533622973,5.761725512,9.648244966
3.77076227,11.70182984,3.547637079,5.258146223,3.993887461,3.968581844,5.95052375,10.64602194
3.959560508,12.92777631,3.736435317,5.822401145,4.182685699,4.555653715,6.139321989,11.75788366
4.148358747,14.22217364,3.925233556,6.622431216,4.371483937,5.074274736,6.328120227,12.97622448
4.337156985,15.61544441,4.114031794,7.544151688,4.560282176,5.646135308,6.516918466,14.0880862
4.525955224,17.09237733,4.302830033,8.46587216,4.749080414,6.392925829,6.705716704,15.40530048
4.714753462,18.683395,4.491628271,9.364775681,4.937878653,7.443942351,6.894514942,16.8518108
4.9035517,20.20596182,4.68042651,10.1572001,5.126676891,8.555804073,7.083313181,18.42761717
