Time in Minutes,Load in kN,O-Stud2-Axial,Stud2-Axial,O-Stud3-Axial,Stud3-Axial,O-Stud4-Axial,Stud4-Axial,O-Stud5-Axial,Stud5-Axial,O-Stud3-Bottom,Stud3-Bottom,O-Stud4-Bottom,Stud4-Bottom,O-Stud4-Mid,Stud4-Mid,O-Stud3-Mid,Stud3-Mid,O-Stud3-Top,Stud3-Top,O-Stud4-Top,Stud4-Top,Pb1-Mid-Left,Pb1-Pb2-Mid-Left,Pb2-Mid-Left,Pb3-Mid-Left,Pb3-Pb4-Mid-Left,Pb4-Mid-Left,Pb1-Mid-Top,Pb1-Pb2-Mid-Top,Pb2-Mid-Top,Pb3-Mid-Top,Pb3-Pb4-Mid-Top,Pb4-Mid-Top,Pb1-Mid-Mid,Pb1-Pb2-Mid-Mid,Pb2-Mid-Mid,Pb3-Mid-Mid,Pb3-Pb4-Mid-Mid,Pb4-Mid-Mid,Pb1-Mid-Bottom,Pb1-Pb2-Mid-Bottom,Pb2-Mid-Bottom,Pb3-Mid-Bottom,Pb3-Pb4-Mid-Bottom,Pb4-Mid-Bottom,Pb1-Mid-Right,Pb1-Pb2-Mid-Right,Pb2-Mid-Right,Pb3-Mid-Right,Pb3-Pb4-Mid-Right,Pb4-Mid-Right,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4,Stud2-Mid-HF,Stud2-Mid-CF,Stud3-Top-HF,Stud3-Top-CF,Stud3-Mid-HF,Stud3-Mid-CF,Stud3-Bottom-HF,Stud3-Bottom-CF,Stud4-Top-HF,Stud4-Top-CF,Stud4-Mid-HF,Stud4-Mid-CF,Stud4-Bottom-HF,Stud4-Bottom-CF,Stud5-Top-HF,Stud5-Top-CF,Stud5-Mid-HF,Stud5-Mid-CF,Stud5-Bottom-HF,Stud5-Bottom-CF
0,16.25,12.56,0,12.7,0,12.9,0,13.77,0,-1.71,0,-1.62,0,-2.6,0,-2.29,0,-1.97,0,-2.71,0,87.03,20.64,19.22,19.01,19.66,19.42,19.84,21.95,18.78,19.06,18.81,19.47,54.25,19.39,18.81,18.7,19.18,19.51,30.91,20.27,19.62,19.57,19.74,20.13,78.34,20.65,19.1,19.18,19.57,19.3,62.63,20.88,19.11,19.1,19.35,19.57,19.52,19.23,18.93,18.89,18.92,18.84,18.97,18.69,20.06,19.04,19.44,18.98,19.28,19.12,18.99,19.02,18.68,2293.72,20.11,18.82
0.83,16.06,12.66,0.1,12.79,0.09,12.97,0.07,13.84,0.07,-3.04,-1.33,-3.09,-1.47,-4.34,-1.74,-4.08,-1.79,-3.46,-1.49,-4.01,-1.3,366.18,20.8,19.32,19.01,19.65,19.44,21.8,32.13,18.86,19.03,18.8,19.46,401.89,19.39,18.88,18.71,19.18,19.52,280.13,20.38,19.65,19.55,19.74,20.12,357.59,20.78,19.18,19.19,19.57,19.29,351.45,23.52,19.18,19.1,19.35,19.57,19.58,19.25,19,18.9,18.97,18.85,19.02,18.7,20.05,19.04,19.46,18.98,19.31,19.11,19.06,19.03,18.7,2293.7,20.06,18.82
1.65,16.99,12.85,0.29,12.88,0.18,13.12,0.22,13.89,0.12,-3.7,-1.99,-3.77,-2.15,-5.15,-2.55,-4.87,-2.58,-4.07,-2.1,-4.69,-1.98,401.15,22.02,19.43,19.03,19.64,19.43,22.04,56.4,19.1,18.95,18.8,19.46,505.84,19.4,18.99,18.69,19.17,19.51,381.55,21.59,19.7,19.57,19.72,20.11,401.87,22.15,19.25,19.2,19.56,19.29,422.6,30.54,19.29,19.09,19.33,19.56,19.65,19.27,19.13,18.93,19.05,18.85,19.08,18.7,20.05,19.1,19.53,18.98,19.37,19.11,19.23,19.04,18.77,2293.72,20,18.82
2.48,16.67,12.88,0.32,12.89,0.19,13.15,0.25,13.89,0.12,-3.86,-2.15,-3.93,-2.31,-5.4,-2.8,-5,-2.71,-4.31,-2.34,-4.95,-2.24,410.63,28.23,19.57,19.04,19.62,19.42,22.1,72.04,19.99,18.98,18.8,19.46,523.5,19.45,19.41,18.73,19.15,19.5,407.77,28.93,19.74,19.57,19.72,20.12,421.23,29.79,19.34,19.21,19.57,19.28,440.78,39.75,19.61,19.11,19.32,19.56,19.78,19.27,19.32,18.94,19.17,18.85,19.19,18.7,20.05,19.23,19.66,18.98,19.5,19.12,19.53,19.08,18.88,2293.71,19.92,18.82
3.31,16.49,12.89,0.33,12.89,0.19,13.17,0.27,13.89,0.12,-4.03,-2.32,-4.22,-2.6,-5.98,-3.38,-5.38,-3.09,-4.67,-2.7,-5.46,-2.75,434.31,39.39,19.8,20.31,19.62,19.42,22.58,77.33,21.53,25.65,18.77,19.47,545.86,19.55,20.11,20.34,19.14,19.49,429.66,42.27,19.83,19.57,19.69,20.11,428.15,43.06,19.49,19.27,19.56,19.3,459.49,50.51,20.15,21.03,19.31,19.56,19.97,19.28,19.73,18.97,19.4,18.88,19.38,18.72,20.03,19.31,19.88,19,19.78,19.15,19.93,19.13,19.09,2293.71,19.71,18.84
4.13,16.39,12.9,0.34,12.89,0.19,13.19,0.29,13.89,0.12,-4.4,-2.69,-4.7,-3.08,-6.66,-4.06,-5.86,-3.57,-5.14,-3.17,-5.98,-3.27,455.86,53.13,20.78,20.95,19.62,19.41,22.57,77.33,22.93,31.15,18.77,19.46,522.57,19.66,21.02,21.92,19.15,19.5,415.19,56.1,20.14,19.64,19.69,20.1,459.77,58.05,19.99,19.48,19.55,19.33,463.35,61.15,20.97,22.63,19.31,19.56,20.38,19.32,20.6,19.05,19.89,18.9,19.8,18.76,20.03,19.6,20.28,19.05,20.43,19.2,20.55,19.2,19.52,2293.72,19.27,18.86
5.79,16.48,12.88,0.32,13.03,0.33,13.23,0.33,13.87,0.1,-4.85,-3.14,-5.18,-3.56,-7.3,-4.7,-6.48,-4.19,-5.53,-3.56,-6.49,-3.78,518.56,76.06,26.26,35.86,19.63,19.43,22.81,81.41,27.3,45.1,18.79,19.47,586.78,19.77,25.38,36.23,19.14,19.48,491.16,72.9,28.16,20.36,19.69,20.09,482.23,75.93,23.81,21.84,19.53,19.5,519.68,76.58,26.18,31.88,19.31,19.59,21.21,19.38,22.12,19.17,20.91,19,20.57,18.85,20.07,20.09,21.08,19.18,21.6,19.28,21.54,19.35,20.35,2293.7,18.42,18.95
6.61,16.8,12.89,0.33,13.03,0.33,13.24,0.34,13.84,0.07,-5.14,-3.43,-5.5,-3.88,-7.67,-5.07,-6.92,-4.63,-6,-4.03,-6.83,-4.12,522.7,82.53,30.14,40.43,19.66,19.46,22.81,86.7,31.12,55.23,18.84,19.48,571.53,19.8,29.61,44.82,19.16,19.49,496,77.49,34.57,21.48,19.7,20.11,477.77,80.21,27.68,25.69,19.54,19.73,517,81.73,30.62,37.53,19.34,19.66,22.64,19.54,24.45,19.4,22.6,19.19,21.8,19.01,20.1,21.18,22.51,19.47,23.4,19.49,23.05,19.58,21.77,2293.71,16.97,19.09
7.44,16.57,12.99,0.43,13.04,0.34,13.26,0.36,13.8,0.03,-5.46,-3.75,-5.7,-4.08,-7.99,-5.39,-7.34,-5.05,-6.31,-4.34,-7.14,-4.43,558.31,85.8,35.7,47.82,19.7,19.53,22.92,89.56,35.85,57.88,18.95,19.51,561.88,19.84,34.73,49.63,19.2,19.52,522.82,81.32,35.08,25.82,19.73,20.13,470.86,83.25,33.78,30.97,19.52,20.18,528.47,84.98,35.03,42.43,19.4,19.77,24.76,19.85,27.61,19.82,25.21,19.56,23.64,19.31,20.15,23.05,24.62,20.1,25.87,19.9,25.17,19.98,23.97,2293.71,14.9,19.37
8.26,16.4,12.96,0.4,13.04,0.34,13.26,0.36,13.76,-0.01,-5.79,-4.08,-5.94,-4.32,-8.42,-5.82,-7.77,-5.48,-6.72,-4.75,-7.45,-4.74,575.8,87.33,41.81,51.78,19.78,19.71,22.97,89.89,41.8,60.43,19.15,19.55,518.18,19.86,40.67,53.83,19.3,19.55,532.19,83.81,37.63,32.57,19.77,20.18,491.9,85.45,40.54,38.02,19.5,21.02,529.52,86.62,40.49,47.33,19.5,20,27.6,20.38,32.23,20.86,28.56,20.18,26.55,19.91,20.21,26.01,28.21,21.65,28.95,20.57,28.36,20.8,27.16,2293.72,11.7,19.9
9.09,16.53,12.99,0.43,13.04,0.34,13.27,0.37,13.7,-0.07,-6.14,-4.43,-6.23,-4.61,-8.79,-6.19,-8.19,-5.9,-7.04,-5.07,-7.82,-5.11,594.35,87.59,47.7,56.05,19.93,19.97,22.99,90.26,46.56,65,19.45,19.64,484.2,19.86,46.51,57.4,19.46,19.65,574.24,85.47,39.33,41.66,19.88,20.24,499.56,86.86,47.31,45.03,19.51,22.44,538.09,87.55,45.48,53.03,19.68,20.39,31.26,21.34,37.24,22.49,33,21.26,29.98,20.84,20.27,30.41,32.75,24.12,32.72,21.77,32.03,22.18,31.39,2293.7,8.02,20.76
9.92,16.45,13.12,0.56,13.04,0.34,13.27,0.37,13.64,-0.13,-6.44,-4.73,-6.44,-4.82,-9.13,-6.53,-8.58,-6.29,-7.37,-5.4,-8.19,-5.48,605.64,88.17,53.47,60.73,20.17,20.49,23.04,92.02,52.35,66.99,19.97,19.77,494.98,19.87,52.36,61.36,19.74,19.83,607.83,86.64,43.38,51.62,20.03,20.32,511.1,88.28,53.17,48.02,19.49,24.38,554.89,88.78,50.95,57.75,19.98,20.96,35.56,22.92,42.89,25.03,38.13,22.71,34.23,22.39,20.35,34.9,38.32,27.72,37.29,23.68,36.59,24.32,35.83,2293.71,3.81,22.12
10.74,16.45,13.09,0.53,13.04,0.34,13.27,0.37,13.58,-0.19,-6.73,-5.02,-6.67,-5.05,-9.54,-6.94,-8.97,-6.68,-7.77,-5.8,-8.51,-5.8,612.5,88.8,59.2,65.41,20.52,21.23,23.07,94.38,57.73,70.35,20.83,20.03,496.85,19.89,57.6,64.65,20.17,20.61,629.87,88.37,48.02,57.86,20.26,20.47,509.45,90.59,58.17,56.3,19.49,26.78,562.17,90.54,56.14,62.91,20.45,21.82,40.6,25.31,48.26,28.24,43.67,24.74,39.49,24.59,20.43,39.59,44.15,31.94,42.53,26.3,41.38,27.11,40.76,2293.71,,24
