Time in Minutes,Pb1-Mid-Left,Pb3-Pb4-Mid-Left,Pb3-Mid-Left,Pb2-Mid-Left,Pb1-Pb2-Mid-Left,Pb4-Mid-Left,Pb1-Top,Pb3-Pb4-Top,Pb3-Top,Pb2-Top,Pb1-Pb2-Top,Pb4-Top,Pb1-Mid-Mid,Pb3-Pb4-Mid-Mid,Pb3-Mid-Mid,Pb2-Mid-Mid,Pb1-Pb2-Mid-Mid,Pb4-Mid-Mid,Pb1-Bottom,Pb3-Pb4-Bottom,Pb3-Bottom,Pb2-Bottom,Pb1-Pb2-Bottom,Pb4-Bottom,Pb1-Mid-Right,Pb3-Pb4-Mid-Right,Pb3-Mid-Right,Pb2-Mid-Right,Pb1-Pb2-Mid-Right,Pb4-Mid-Right,Average-Pb1,Average-Pb3-Pb4,Average-Pb3,Average-Pb2,Average-Pb1-Pb2,Average-Pb4,Stud2-Mid-CF,Stud2-Mid-HF,Stud3-Mid-CF,Stud3-Mid-HF,Stud4-Top-CF,Stud4-Top-HF,Stud4-Mid-CF,Stud4-Mid-HF,Stud4-Mid-CF.1,Stud4-Mid-HF.1,Stud5-Top-CF,Stud5-Top-HF,Stud5-Mid-CF,Stud5-Mid-HF,Stud5-Bottom-CF,Stud5-Bottom-HF,Stud3-Bottom,Stud4-Bottom,Stud4-Mid,Stud3-Mid,Stud3-Top,Stud4-Top,Time2
0,250,24,23,23,25,24,161,24,23,23,25,24,165,23,23,23,35,24,95,23,23,23,23,23,172,24,23,23,24,24,168,23,23,23,27,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0,0,0,0,0,0,
1,248,24,23,23,27,24,168,24,23,23,27,24,168,23,23,23,34,24,102,23,23,23,23,23,178,23,23,23,25,24,173,23,23,23,27,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,-0.14,-0.16,-0.19,-0.19,-0.18,-0.17,1
2,303,23,23,23,35,24,300,24,23,24,32,24,405,23,23,23,77,24,259,23,23,22,24,23,242,23,23,23,28,24,302,23,23,23,39,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,-1.17,-1.15,-1.59,-1.83,-1.8,-1.49,1
3,343,23,23,23,44,24,382,24,23,24,45,24,449,23,23,23,52,24,345,23,23,22,27,23,298,23,23,23,35,24,363,23,23,23,41,24,23,24,23,23,23,24,23,23,23,23,23,24,23,23,23,23,-1.14,-1.28,-1.78,-1.78,-1.79,-1.59,1
4,359,23,24,24,55,24,424,24,23,25,63,24,489,23,23,24,53,24,361,23,23,23,33,23,346,23,24,24,48,24,396,23,23,24,50,24,23,24,23,23,23,24,23,24,23,23,23,24,23,24,23,23,-1.2,-1.51,-2.22,-1.91,-1.87,-1.78,1
5,,23,24,26,69,24,,24,24,27,76,24,,23,23,25,66,23,,23,25,23,45,23,,23,26,26,66,23,,23,24,25,64,23,24,25,23,24,23,26,23,26,23,24,23,26,23,25,23,24,-2.2,-2.6,-3.78,-3.25,-3.43,-3.29,1
6,,23,24,28,73,24,,24,24,30,79,23,569,23,23,27,74,23,452,22,28,25,59,23,,23,30,30,71,23,511,23,26,28,71,23,24,27,23,25,23,28,23,29,23,25,24,28,24,27,23,26,-2.08,-2.46,-3.52,-3.17,-3.22,-2.93,1
7,508,23,26,32,75,24,574,24,25,36,81,23,599,23,23,32,77,23,521,22,32,28,67,23,544,23,34,37,75,22,549,23,28,33,75,23,25,30,23,28,25,31,24,34,24,28,25,33,25,31,23,30,-2.28,-2.45,-3.49,-3.39,-3.18,-2.62,1
8,542,23,27,38,78,24,584,24,28,42,83,23,610,23,23,38,79,23,538,22,36,33,73,23,580,24,37,46,78,21,571,23,30,39,78,23,26,35,23,32,27,37,26,39,25,32,28,39,28,38,24,35,-2.58,-2.47,-3.51,-3.77,-3.31,-2.46,1
9,557,23,29,43,80,24,584,24,31,47,84,23,626,23,23,44,81,23,541,23,38,39,75,23,593,24,41,53,80,22,580,23,32,45,80,23,28,40,24,36,31,43,29,45,26,36,32,46,31,44,25,39,-2.86,-2.5,-3.62,-4.16,-3.47,-2.4,1
