TimeStamp,Time in Minutes,Load-in-bar,Load in kN,Stud5-Axial-Old,Stud5-Axial,Stud4-Axial-Old,Stud4-Axial,Stud3-Axial-Old,Stud3-Axial,Stud2-Axial-Old,Stud2-Axial,Stud4-Bottom-Old,Stud4-Bottom,Stud3-Bottom-Old,Stud3-Bottom,Stud4-Mid-Old,Stud4-Mid,Stud3-Mid-Old,Stud3-Mid,Stud4-Top-Old,Stud4-Top,Stud3-Top-Old,Stud3-Top,Stud2-Mid-Amb-HF,Stud2-Mid-Fire-CF,Stud2-Mid-Fire-HF,Stud2-Mid-Amb-CF,Stud3-Top-Amb-HF,Stud3-Top-Fire-HF,Stud3-Top-Fire-CF,Stud3-Top-Amb-CF,Stud3-Mid-Fire-HF,Stud3-Mid-Fire-CF,Stud3-Mid-Amb-CF,Stud3-Mid-Amb-HF,Stud3-Bottom-Fire-HF,Stud3-Bottom-Amb-CF,Stud3-Bottom-Fire-CF,Stud3-Bottom-Amb-HF,Stud4-Bottom-Amb-CF,Stud4-Bottom-Fire-HF,Stud4-Bottom-Amb-HF,Stud4-Bottom-Fire-CF,Stud4-Mid-Amb-CF,Stud4-Mid-Fire-CF,Stud4-Mid-Fire-HF,Stud4-Mid-Amb-HF,Stud4-Top-Amb-CF,Stud4-Top-Fire-CF,Stud4-Top-Fire-HF,Stud4-Top-Amb-HF,Stud5-Mid-Amb-HF,Stud5-Mid-Fire-HF,Stud5-Mid-Fire-CF,Stud5-Mid-Amb-CF,Pb1-Bottom-Right,Pb1-Top-Right,Pb1-Top-Left,Pb1-Bottom-Left,Pb1-Mid-Mid,Pb1-Pb2-Mid-Right,Pb1-Pb2-Mid-Mid,Pb2-Top-Left,Pb2-Bottom-Right,Pb2-Top-Right,Pb2-Mid-Mid,Pb2-Bottom-Left,Pb3-Bottom-Right,Pb3-Top-Left,Pb3-Bottom-Left,Pb3-Top-Right,Pb3-Mid-Mid,Pb3-Pb4-Mid-Left,Pb3-Pb4-Mid-Right,Pb3-Pb4-Mid-Mid,Pb4-Top-Right,Pb4-Top-Left,Pb4-Mid-Mid,Pb4-Bottom-Right,Pb4-Bottom-Left,Pb4-Top of Stud,Pb4-on Pb Joint,Ins-Side-Top-Left,Furnace-Top-Left,Furnace-Bottom-Right,Furnace-Bottom-Left,Furnace-Top-Right,Average-Furnace,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4
42913.4931,0,-89.108131,28.63044249,6.625579,0,5.649368,0,5.732151,0,7.379198,0,3.6436,0,3.635358,0,3.241276,0,3.034378,0,-1.622246,0,-1.23475,0,19.496466,20.960148,18.990629,19.875357,19.399813,18.546749,19.112123,21.603273,18.953529,19.237314,19.90432,19.604931,19.034683,19.479315,19.293182,19.762051,19.38521,18.7374,19.264206,18.783783,19.575035,18.584326,18.732298,19.535404,19.723583,18.775667,18.377178,19.454514,19.418587,18.948427,18.709106,19.924707,111.341293,150.130859,127.861832,134.656708,167.746689,19.15432,20.546406,19.044886,18.821119,18.376947,18.408033,18.589428,19.919611,19.936293,19.755329,19.782673,19.95645,20.072981,20.29026,20.010199,20.627453,20.79277,20.438257,20.813606,20.861298,20.385221,20.375727,22.168806,120.403816,106.191742,198.068909,136.237701,146.832784,138.3474762,19.15432,18.6480826,19.8700712,20.1502295,20.7066768
42913.4931,1,-89.108131,28.63044249,6.625579,0,5.649368,0,5.732151,0,7.379198,0,3.6436,0,3.635358,0,3.241276,0,3.034378,0,-1.622246,0,-1.23475,0,19.496466,20.960148,18.990629,19.875357,19.399813,18.546749,19.112123,21.603273,18.953529,19.237314,19.90432,19.604931,19.034683,19.479315,19.293182,19.762051,19.38521,18.7374,19.264206,18.783783,19.575035,18.584326,18.732298,19.535404,19.723583,18.775667,18.377178,19.454514,19.418587,18.948427,18.709106,19.924707,111.341293,150.130859,127.861832,134.656708,167.746689,19.15432,20.546406,19.044886,18.821119,18.376947,18.408033,18.589428,19.919611,19.936293,19.755329,19.782673,19.95645,20.072981,20.29026,20.010199,20.627453,20.79277,20.438257,20.813606,20.861298,20.385221,20.375727,22.168806,120.403816,106.191742,198.068909,136.237701,146.832784,138.3474762,19.15432,18.6480826,19.8700712,20.1502295,20.7066768
42913.4938,2,-92.072128,29.58277473,6.741343,0.115764,5.763489,0.114121,5.832312,0.100161,7.51877,0.139572,3.796307,0.152707,3.740445,0.105087,3.352931,0.111655,3.183798,0.14942,-1.661652,0.039406,-1.298786,0.064036,19.491135,20.940933,19.003845,19.860065,19.418356,18.620741,19.129976,21.584995,18.971151,19.209496,19.90988,19.591257,19.059261,19.478155,19.285997,19.753475,19.391235,18.772652,19.268379,18.780073,19.568546,18.581774,18.732531,19.536098,19.711533,18.784016,18.399218,19.462858,19.413952,18.94866,18.704931,19.934902,203.71257,233.867615,230.024796,205.551849,287.052277,20.101244,20.575352,19.054625,18.816946,18.38669,18.437262,18.595922,19.925171,19.936062,19.755098,19.802601,19.962009,20.079237,20.289566,20.016918,20.618652,20.786055,20.436867,20.811985,20.863844,20.3836,20.362757,25.801945,277.950867,325.667389,428.989502,307.360443,354.005778,232.0418214,20.101244,18.658289,19.8761882,20.153242,20.7034806
42913.4945,3,-92.384438,29.68311993,6.7709,0.145321,5.78894,0.139572,5.848732,0.116581,7.533548,0.15435,3.857061,0.213461,3.825828,0.19047,3.458018,0.216742,3.254403,0.220025,-1.714195,0.091949,-1.323415,0.088665,19.472361,20.94672,19.049986,19.870028,19.397726,18.790045,19.11305,21.603968,19.042336,19.213205,19.903856,19.594967,19.148754,19.487194,19.267452,19.74861,19.376865,18.876312,19.243574,18.773579,19.557421,18.568321,18.759432,19.520802,19.717094,18.767317,18.488064,19.445938,19.414879,18.977413,18.676636,19.925171,244.675995,272.780029,276.496521,236.526031,344.508575,27.217556,20.688812,19.109341,18.837353,18.440741,18.529352,18.664345,19.908722,19.921696,19.746292,19.785685,19.948109,20.084333,20.282387,20.019466,20.62421,20.809902,20.455858,20.800179,20.852268,20.399118,20.369705,29.384996,381.322235,456.079742,530.743591,400.265015,462.3627827,274.9974302,27.217556,18.7162264,19.8621008,20.1509265,20.7084834
42913.49519,4,-92.022247,29.56674796,6.767616,0.142037,5.793867,0.144499,5.848732,0.116581,7.534369,0.155171,3.847209,0.203609,3.83568,0.200322,3.415327,0.174051,3.270823,0.236445,-1.710911,0.088665,-1.320131,0.085381,19.487194,20.925886,19.311264,19.863077,19.405375,19.24172,19.147596,21.571808,19.428785,19.219233,19.898294,19.582914,19.438753,19.472361,19.286461,19.712923,19.384977,19.217379,19.246819,18.782856,19.555336,18.561827,19.100763,19.51779,19.720339,18.773579,18.837122,19.444315,19.399813,19.142263,18.690552,19.927258,288.401215,325.851044,325.577698,280.238037,410.693207,43.913246,20.90621,19.470739,18.948427,18.747604,18.857296,19.003382,19.906404,19.927952,19.753708,19.783833,19.951817,20.073214,20.284239,20.029196,20.63023,20.814533,20.46188,20.796242,20.82958,20.401434,20.364609,32.662422,443.475891,544.301453,581.079895,460.310455,528.5639343,326.1522402,43.913246,19.0054896,19.8647428,20.1567175,20.706493
42913.49589,5,-92.567635,29.74198113,6.765974,0.140395,5.819318,0.16995,5.851195,0.119044,7.552432,0.173234,3.990063,0.346463,3.96704,0.331682,3.540118,0.298842,3.39233,0.357952,-1.720762,0.098516,-1.329983,0.095233,19.461931,20.909451,19.956913,19.849638,19.432262,20.281691,19.217146,21.589161,20.453773,19.301065,19.900845,19.604467,20.093832,19.470507,19.30802,19.730999,19.369678,20.066496,19.229897,18.798162,19.546297,18.603807,20.095684,19.514544,19.728449,18.832716,19.730303,19.447098,19.394018,19.56901,18.723717,19.911964,347.802124,416.657562,420.060638,360.127167,493.507568,63.503601,21.075191,20.913618,19.518484,19.667967,19.970119,20.084333,19.906868,19.925171,19.75139,19.783136,19.952047,20.09638,20.286556,20.021551,20.633009,20.805965,20.44173,20.796474,20.855742,20.402361,20.375494,36.271473,539.807068,610.068542,627.905396,566.343079,601.4390057,407.6310118,63.503601,20.0309042,19.8637224,20.1540535,20.706584
42913.49659,6,-92.980812,29.8747349,6.776647,0.151068,5.833275,0.183907,5.86351,0.131359,7.560642,0.181444,4.011409,0.367809,4.013015,0.377657,3.559822,0.318546,3.421885,0.387507,-1.737182,0.114936,-1.339835,0.105085,19.483486,20.891163,21.520906,19.845467,19.449183,22.315636,19.440144,21.546125,22.719727,19.567156,19.892271,19.650354,21.653708,19.464712,19.401203,19.737951,19.36458,21.762669,19.246355,18.934515,19.54421,18.775667,22.415285,19.518948,19.741657,19.039322,21.676149,19.448952,19.401667,20.787212,18.833179,19.888563,405.66275,470.196228,484.040558,375.518402,550.022339,72.169342,21.141157,24.36047,21.342039,22.520704,22.959152,22.733131,19.892502,19.923086,19.754635,19.781746,19.947182,20.08526,20.270109,20.012285,20.636019,20.818932,20.454237,20.777489,20.830738,20.411856,20.369009,39.613579,528.396545,633.203247,643.930908,564.208374,613.780843,457.0880554,72.169342,22.7830992,19.8598302,20.141197,20.703483
42913.49729,7,-92.704697,29.78601915,6.792246,0.166667,5.838201,0.188833,5.86351,0.131359,7.554895,0.175697,3.993347,0.349747,4.022867,0.387509,3.572957,0.331681,3.405466,0.371088,-1.750318,0.128072,-1.323415,0.088665,19.60076,20.872643,24.135889,19.843613,19.536562,25.576048,19.891808,21.563248,26.38652,20.255981,19.889027,19.787075,24.154125,19.466335,19.623472,19.770624,19.36342,24.338314,19.321001,19.287851,19.533085,19.200222,26.036551,19.536562,19.745365,21.18652,24.776964,19.562519,19.480009,23.05158,19.094734,19.895979,458.714752,520.17688,529.368469,435.593781,568.979004,77.87693,21.167774,30.257524,25.037165,29.214081,28.201342,27.271416,19.906404,19.904087,19.763441,19.765526,19.945097,20.103561,20.272427,20.016918,20.631851,20.799021,20.450531,20.774248,20.827497,20.406761,20.35465,38.314709,555.824524,658.077332,665.219238,582.497681,635.2647503,502.5665772,77.87693,27.9963056,19.856911,20.1446725,20.6966296
42913.49799,8,-92.48597,29.71574216,6.788962,0.163383,5.838201,0.188833,5.861868,0.129717,7.548326,0.169128,3.988421,0.344821,4.026151,0.390793,3.592661,0.351385,3.425169,0.390791,-1.760169,0.137923,-1.320131,0.085381,19.914051,20.871946,27.755575,19.845467,19.921465,30.39316,20.893476,21.557232,31.288242,22.08486,19.900381,20.091978,27.567139,19.461699,20.088734,19.842918,19.38405,27.492813,19.429018,19.917063,19.547455,20.11746,30.611839,19.661942,19.746988,22.557922,29.713657,19.968729,19.609335,26.41186,19.650818,19.912428,488.793549,553.828918,551.926392,493.846832,583.413513,81.182472,21.180502,37.453278,29.951073,39.377365,35.224319,32.69059,19.896673,19.915442,19.762051,19.770391,19.952744,20.110973,20.268721,20.015297,20.638798,20.805271,20.450994,20.770311,20.830507,20.400276,20.372948,40.1782,576.642517,672.636169,679.614136,598.525574,650.2586263,534.3618408,81.182472,34.939325,19.8594602,20.142009,20.6991762
42913.49869,9,-92.449333,29.70397069,6.788962,0.163383,5.839843,0.190475,5.861868,0.129717,7.545043,0.165845,3.998273,0.354673,4.022867,0.387509,3.625501,0.384225,3.40875,0.374372,-1.724046,0.1018,-1.251169,0.016419,20.755262,20.904821,33.146408,19.906174,21.023806,37.884304,23.309879,21.563942,37.389214,25.151327,19.98958,20.946259,32.039371,19.475374,20.975657,19.94973,19.450573,31.702036,19.696934,21.167311,19.59033,21.993046,36.072212,19.997921,19.759733,26.919434,36.300457,20.963156,19.879992,31.198586,20.894403,19.957607,516.532166,578.763245,566.621033,508.832977,591.861938,83.74131,21.185364,46.063183,36.288132,50.095219,43.586502,39.289059,19.921232,19.921928,19.797503,19.778271,19.961315,20.116766,20.273815,20.011358,20.644587,20.813837,20.441036,20.783278,20.824257,20.406528,20.401434,42.153564,591.332886,683.519287,689.096008,611.237793,661.2843627,552.5222718,83.74131,43.064419,19.8760498,20.1425865,20.701399
