,TimeStamp,Time in Minutes,Kyowa PG 500 KUM -Load in bar-(bar),Load in bar,Load in kN,Stud2-Axial-Old,Stud2-Axial,Stud3-Axial-Old,Stud3-Axial,Stud4-Axial-Old,Stud4-Axial,Stud5-Axial-Old,Stud5-Axial,Stud3-Top-Old,Stud3-Top,Stud3-Mid-Old,Stud3-Mid,Stud3-Bottom-Old,Stud3-Bottom,Stud4-Top-Old,Stud4-Top,Stud4-Mid-Old,Stud4-Mid,Stud4-Bottom-Old,Stud4-Bottom,Pb1-Top-Left,Pb1-Top-Right,Pb1-Mid-Mid,Pb1-Bottom-Left,Pb1-Bottom-Right,Pb1-Pb2-Mid-Left,Pb1-Pb2-Mid-Mid,Pb1-Pb2-Mid-Right,Pb2-Top-Left,Pb2-Top-Right,Pb2-Mid-Mid,Pb2-Bottom-Left,Pb2-Bottom-Right,Pb3-Top-Left,Pb3-Top-Right,Pb3-Mid-Mid,Pb3-Bottom-Left,Pb3-Bottom-Right,Pb3-Pb4-Mid-Left,Pb3-Pb4-Mid-Mid,Pb3-Pb4-Mid-Right,Pb4-Top-Left,Pb4-Top of stud,Pb4-Inbetween stud,Pb4-Top-Right,Pb4-Mid-Mid,Pb4-Bottom-Left,Pb4-Bottom-Right,Stud2-Mid-Fire-HF,Stud2-Mid-Fire-CF,Stud2-Mid-Amb-HF,Stud2-Mid-Amb-CF,Stud3-Top-Fire-HF,Stud3-Top-Fire-CF,Stud3-Top-Amb-HF,Stud3-Top-Amb-CF,Stud3-Mid-Fire-HF,Stud3-Mid-Fire-CF,Stud3-Mid-Amb-HF,Stud3-Mid-Amb-CF,Stud3-Bottom-Fire-HF,Stud3-Bottom-Fire-CF,Stud3-Bottom-Amb-HF,Stud3-Bottom-Amb-CF,Stud4-Top-Fire-HF,Stud4-Top-Fire-CF,Stud4-Top-Amb-HF,Stud4-Top-Amb-CF,Stud4-Mid-Fire-HF,Stud4-Mid-Fire-CF,Stud4-Mid-Amb-HF,Stud4-Mid-Amb-CF,Stud4-Bottom-Fire-HF,Stud4-Bottom-Fire-CF,Stud4-Bottom-Amb-HF,Stud4-Bottom-Amb-CF,Stud5-Mid-Fire-HF,Stud5-Mid-Fire-CF,Stud5-Mid-Amb-HF,Stud5-Mid-Amb-CF,Furnace-Top-Left,Furnace-Top-Right,Furnace-Bottom-Left,Furnace-Bottom-Right,Average-Furnace,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4,Time2
0,37:59.8,0,-69.833,-89.833,28.8633429,8.300134,0,8.754965,0,7.592438,0,5.403689,0,-0.627246,0,-0.991775,0,-3.333283,0,0.633809,0,0.374378,0,2.374276,0,28.985229,23.539017,24.879391,23.376177,23.886789,22.03352,22.332747,22.851925,20.816153,21.768913,22.076303,21.676149,22.218985,20.223783,20.009041,20.178616,20.473921,19.968035,19.705971,19.893661,19.852186,20.486197,20.326393,2293.711426,20.760357,20.195293,20.657553,20.328709,21.196009,21.118011,20.489437,20.577898,22.463371,21.860977,21.109678,20.802261,22.140131,22.016405,20.68696,21.028202,21.650007,20.42552,20.732342,20.290724,22.012474,21.813097,20.533669,20.742529,22.460829,21.762669,20.716827,20.407686,21.686096,22.056416,20.417183,20.566551,22.064278,21.338337,20.563078,20.230038,30.7901,28.337702,26.714729,25.465849,27.827095,24.9333206,22.592336,21.9350875,20.1706792,19.81727267,20.398829,
36,38:29.6,1,-71.03833,-91.03833,29.25061543,8.575165,0.275031,8.863336,0.108371,7.758277,0.165839,5.597442,0.193753,-0.710988,-0.083742,-1.123136,-0.131361,-3.513904,-0.180621,0.637093,0.003284,0.374378,0,2.420251,-0.045975,91.54644,63.134605,69.297607,168.846313,70.0298,22.015249,22.342457,22.847765,20.801104,21.744625,22.071447,21.64538,22.206961,20.211739,20.003017,20.171665,20.472763,19.95923,19.704117,19.875357,19.838284,20.472301,20.313192,2293.695557,20.757809,20.1807,20.650839,20.309948,21.194159,21.105282,20.488512,20.550343,22.436092,21.854038,21.106901,20.795084,22.124174,22.005304,20.684645,21.020565,21.62664,20.437099,20.718218,20.285629,21.985184,21.792278,20.531586,20.740444,22.441872,21.755035,20.710114,20.40954,21.67985,22.037451,20.396107,20.547794,22.047165,21.35685,20.576277,20.241158,89.719269,79.878464,67.106316,63.785812,75.12246525,92.570953,22.595111,21.91710325,20.1636828,19.80591933,20.385396,1
109,39:29.8,2,-69.597275,-89.597275,28.78760446,9.062011,0.761877,8.884682,0.129717,7.782907,0.190469,5.648343,0.244654,-0.903103,-0.275857,-1.307041,-0.315266,-3.750353,-0.41707,0.637093,0.003284,0.371094,-0.003284,2.581163,-0.206887,172.740921,143.646408,173.518097,179.876404,149.384079,22.007616,22.533649,23.354462,20.810366,21.729588,22.100124,21.63682,22.183836,20.198999,19.996761,20.169813,20.46628,19.947645,19.689054,19.859369,19.837126,20.482027,20.327784,2293.711426,20.779573,20.168423,20.648754,20.30578,21.170088,21.104355,20.476238,20.542933,22.437248,21.855196,21.104124,20.800179,22.1066,21.990271,20.665195,21.027046,21.600729,20.453543,20.699232,20.275206,21.987034,21.790426,20.530659,20.732109,22.423607,21.747631,20.711735,20.40514,21.656946,22.007616,20.382673,20.568636,22.041382,21.338337,20.581604,20.227491,261.993805,284.378601,257.088074,214.93602,254.599125,163.8331818,22.9440555,21.912592,20.1558996,19.795183,20.3865536,1
182,40:30.2,3,-70.131851,-90.131851,28.95936373,9.122764,0.82263,8.915879,0.160914,7.832166,0.239728,5.697601,0.293912,-0.909671,-0.282425,-1.316893,-0.325118,-3.760205,-0.426922,0.637093,0.003284,0.374378,0,2.564744,-0.190468,205.881165,182.256912,194.70195,211.452576,169.842392,22.011549,25.025631,27.065166,20.798094,21.72473,22.28026,21.646769,22.178518,20.195061,19.97035,20.160547,20.442194,19.939074,19.670979,19.85265,19.812796,20.47369,20.328478,2293.706299,20.724701,20.154293,20.611012,20.286093,21.150877,21.079126,20.4811,20.521395,22.468689,21.833683,21.093245,20.784899,22.122093,21.977087,20.638103,21.017323,21.620855,20.418108,20.69599,20.254824,22.024731,21.777473,20.515839,20.710577,22.416672,21.718485,20.68395,20.376884,21.625483,21.98472,20.343533,20.533901,22.036757,21.312418,20.557983,20.213129,352.224213,362.849396,345.238708,289.564056,337.4690933,192.826999,26.0453985,21.95756925,20.1414452,19.77880833,20.3707132,1
254,41:29.8,4,-69.557991,-89.557991,28.77498251,9.121121,0.820987,8.915879,0.160914,7.838734,0.246296,5.705811,0.302122,-0.942511,-0.315265,-1.392426,-0.400651,-3.756921,-0.423638,0.637093,0.003284,0.371094,-0.003284,2.564744,-0.190468,245.321564,216.019501,262.892853,238.64299,216.554611,22.133886,31.877821,34.711105,20.833517,21.835072,22.70216,21.797136,22.330666,20.187185,19.983324,20.137383,20.449837,19.930037,19.672138,19.838747,19.801905,20.498007,20.371326,2293.709473,20.742992,20.152672,20.624441,20.280766,21.248314,21.063848,20.521627,20.521627,22.579189,21.834146,21.063154,20.777258,22.256676,21.965755,20.609623,21.006212,21.684477,20.402822,20.659637,20.257139,22.193087,21.763594,20.49708,20.71706,22.471926,21.70229,20.657785,20.38059,21.596563,22.020105,20.30879,20.545248,22.107756,21.30131,20.5471,20.207569,414.899353,424.91687,429.711487,356.620636,406.5370865,235.8863038,33.294463,22.1662585,20.1375532,19.77093,20.3854424,1
327,42:30.0,5,-69.84845,-89.84845,28.86830699,9.124406,0.824272,8.929015,0.17405,7.840375,0.247937,5.717305,0.313616,-0.983561,-0.356315,-1.497514,-0.505739,-3.773341,-0.440058,0.637093,0.003284,0.226597,-0.147781,2.646842,-0.272566,276.920868,256.255951,302.124786,276.550629,250.462875,22.637209,42.228485,47.392906,20.838146,22.292051,23.63209,22.381762,22.885202,20.173519,19.952974,20.13715,20.432467,19.906637,19.648964,19.832491,19.785454,20.491985,20.382906,2293.693848,20.740908,20.140858,20.612633,20.264551,21.534327,21.041164,20.525101,20.493374,22.977177,21.848949,21.061766,20.769154,22.700773,21.969687,20.629999,21.001583,21.914408,20.432467,20.650606,20.232819,22.64345,21.755728,20.485733,20.681635,22.736366,21.697201,20.652227,20.358818,21.583839,22.131111,20.298136,20.508659,22.426613,21.283028,20.530426,20.180931,454.730499,473.063904,479.42627,413.048401,455.0672685,272.4630218,44.8106955,22.79777625,20.1205494,19.75563633,20.3785866,1
399,43:29.6,6,-70.101395,-90.101395,28.94957821,9.147393,0.847259,8.95036,0.195395,7.853511,0.261073,5.735366,0.331677,-1.024611,-0.397365,-1.602603,-0.610828,-3.835737,-0.502454,0.640377,0.006568,0.177337,-0.197041,2.653409,-0.279133,311.637146,292.274048,332.096436,347.936157,279.542847,24.056248,55.762482,61.767616,20.89093,23.55172,25.507118,23.826756,24.191288,20.167265,19.958303,20.138309,20.416256,19.896442,19.656843,19.83226,19.786148,20.522322,20.417414,2293.721191,20.766838,20.151976,20.599665,20.278448,22.242107,21.080746,20.540154,20.491291,23.909416,21.946789,21.068016,20.752716,23.684744,22.030514,20.604992,21.002741,22.326504,20.393097,20.633936,20.210581,23.57135,21.805,20.471375,20.674456,23.42145,21.723343,20.637873,20.343069,21.589853,22.440716,20.287251,20.496616,23.241266,21.291822,20.516996,20.159851,484.033997,500.624481,516.116455,457.315277,489.5225525,312.6973268,58.765049,24.2692205,20.115315,19.758417,20.393965,1
472,44:29.8,7,-69.736771,-89.736771,28.83242452,9.150677,0.850543,8.956928,0.201963,7.865005,0.272567,5.733725,0.330036,-1.067304,-0.440058,-1.684704,-0.692929,-3.94411,-0.610827,0.633809,0,0.052544,-0.321834,2.771631,-0.397355,412.409515,400.396881,445.731323,499.71698,421.275024,27.001396,64.5709,72.370735,20.879818,26.287001,28.316776,26.692852,26.368322,20.149427,19.949499,20.118387,20.414171,19.879528,19.641548,19.805149,19.771782,20.509354,20.452152,2293.684082,20.747391,20.135298,20.586699,20.234671,23.322353,21.16708,20.562614,20.460026,25.531324,22.255287,21.178419,20.772396,25.3923,22.344074,20.655701,21.015934,22.97995,20.381285,20.637177,20.221468,25.090443,21.986801,20.490364,20.681171,24.362085,21.897755,20.62722,20.347239,21.648849,23.120205,20.27289,20.464195,24.691141,21.37837,20.495228,20.158463,566.811157,585.252075,568.22467,539.993652,565.0703885,435.9059446,68.4708175,26.91623775,20.1022024,19.739493,20.3836348,1
545,45:30.2,8,-69.527969,-89.527969,28.76533644,9.155603,0.855469,8.960213,0.205248,7.881425,0.288987,5.743577,0.339888,-1.060735,-0.433489,-1.684704,-0.692929,-3.94411,-0.610827,0.637093,0.003284,0.052544,-0.321834,2.765063,-0.390787,410.040863,380.271362,433.448914,408.213104,335.912262,32.040516,70.987511,76.924156,20.883059,31.122221,32.67662,31.64909,30.219652,20.155914,19.961082,20.119776,20.385454,19.885784,19.630192,19.80121,19.757183,20.529732,20.476469,2293.707275,20.765219,20.155682,20.573498,20.251118,25.081448,21.417477,20.566088,20.466047,28.25423,22.744688,21.641447,20.800179,28.20916,22.969551,20.777952,21.026583,24.206524,20.394718,20.617727,20.19043,27.585777,22.263844,20.490364,20.685339,26.055677,22.229622,20.615179,20.332415,21.767294,24.278999,20.262466,20.464659,27.43298,21.553299,20.466743,20.143637,540.376404,544.667847,548.444641,502.010651,533.8748858,393.577301,73.9558335,31.41689575,20.101602,19.72952833,20.3972998,1
617,46:29.9,9,-69.401505,-89.401505,28.72470356,9.158887,0.858753,8.963496,0.208531,7.889635,0.297197,5.746861,0.343172,-1.109996,-0.48275,-1.855473,-0.863698,-4.049198,-0.715915,0.637093,0.003284,-0.124793,-0.499171,2.906272,-0.531996,452.218445,435.819702,511.550537,471.827911,413.360229,37.786079,74.511452,78.965378,20.910145,36.398361,37.88681,37.259933,35.607132,20.158926,19.977997,20.143406,20.389158,19.868174,19.62463,19.79171,19.750463,20.552425,20.497774,2293.709473,20.749012,20.150124,20.582993,20.236988,27.529631,21.787189,20.587624,20.445436,31.852154,24.108419,22.813791,20.882597,32.021957,24.171669,21.044174,21.028666,25.96788,20.400043,20.603601,20.176531,31.004797,22.715796,20.529964,20.686728,28.578186,22.698692,20.639725,20.326857,22.06451,25.867861,20.267099,20.433857,31.242153,21.964136,20.514448,20.136919,561.162109,574.112183,605.130371,553.651733,573.514099,456.9553648,76.738415,36.788059,20.1075322,19.72226767,20.4040608,1
