Time in Minutes,Pb4-Top-Left,Pb4-Top-Right,Pb4-Mid-Mid,Pb4-Bottom-Left,Pb4-Bottom-Right,Pb4-Top of Pb Joint,Pb4-Top of Stud,Pb4-Between Studs,Pb4-Average-Gun
0,27,27,26,25,25,,28,28,26.57142857
10,28,28,27,27,27,,29,29,27.85714286
20,31,31,30,28,28,,32,32,30.28571429
30,37,37,34,32,32,,38,42,36
40,41,41,37,35,33,,52,43,40.28571429
50,45,44,41,39,37,,57,47,44.28571429
60,47,47,43,42,40,,59,51,47
70,48,49,45,45,43,,54,54,48.28571429
80,54,52,50,50,47,,72,56,54.42857143
90,57,57,55,52,52,,77,61,58.71428571
100,58,58,55,54,54,,82,67,61.14285714
110,59,59,56,55,55,,86,69,62.71428571
120,64,61,56,57,56,,92,78,66.28571429
130,67,66,57,57,58,,94,88,69.57142857
140,67,67,65,59,60,,106,94,74
150,73,73,68,62,60,,110,104,78.57142857
160,80,77,75,67,64,,115,117,85
170,82,81,80,69,67,,117,125,88.71428571
180,87,87,87,74,71,,131,132,95.57142857
190,91,93,94,76,73,,142,140,101.2857143
210,116,148,147,84,72,,182,179,132.5714286
