TimeStamp,Time in Minutes,Pb1-Top-Left,Pb1-Top-Right,Pb1-Mid-Mid,Pb1-Bottom-Left,Pb1-Bottom-Right,Pb1-Pb2-Top,Pb1-Pb2-Mid-Left,Pb1-Pb2-Mid-Mid,Pb1-Pb2-Mid-Right,Pb1-Pb2-Bottom,Pb3-Top,Pb3-Mid-Left,Pb3-Mid-Right,Pb3-Bottom,Pb3-Pb4-Top,Pb3-Pb4-Mid-Left,Pb3-Pb4-Mid-Mid,Pb3-Pb4-Mid-Right,Pb3-Pb4-Bottom,Pb2-Top,Pb2-Mid-Mid,Pb2-Mid-Right,Pb2-Bottom,Pb2-Mid-Left,Pb4-Top-Left,Pb4-Top-Right,Pb4-Mid-Mid,Pb4-Bottom-Left,Pb4-Bottom-Right,Stud1-Top-Fire-HF,Stud1-Top-Fire-CF,Stud1-Top-Amb-HF,Stud1-Top-Amb-CF,Stud1-Bottom-Fire-HF,Stud1-Bottom-Fire-CF,Stud1-Bottom-Amb-HF,Stud1-Bottom-Amb-CF,Stud2-Top-Fire-HF,Stud2-Top-Fire-CF,Stud2-Top-Amb-HF,Stud2-Top-Amb-CF,Stud2-Bottom-Fire-HF,Stud2-Bottom-Fire-CF,Stud2-Bottom-Amb-HF,Stud2-Bottom-Amb-CF,Right-Side,Left-Side,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4
52:17.5,1,20.370167,20.30879,20.190891,19.96479,20.083406,19.951584,20.255285,20.350481,20.349554,20.332184,19.794954,19.813955,19.810478,19.706434,19.862381,20.285166,2293.716797,19.805382,19.72451,19.621386,19.57851,19.558117,19.529146,19.544443,19.813723,20.161011,20.060472,20.067421,20.097769,20.177689,19.785685,19.810942,20.990473,19.985178,20.053986,20.073214,20.214056,19.909416,19.938377,20.048889,19.981009,19.733316,19.851492,19.768538,19.801674,19.686737,19.699715,20.1836088,19.951584,19.5663204,19.78145525,19.79742433,20.0400792
53:07.9,2,20.71706,20.540154,20.437563,19.961315,20.298136,19.938841,20.235828,20.342375,20.324078,20.331026,19.791943,19.799126,19.798662,19.701569,19.860065,20.282618,2293.696533,19.806772,19.709448,19.61536,19.557421,19.542124,19.508518,19.539112,19.796808,20.133907,20.031977,20.057692,20.062788,20.1807,19.766916,19.762051,20.974731,19.978691,20.060009,20.076225,20.226332,19.907562,19.956913,20.033598,19.977764,19.720108,19.854736,19.759964,19.808393,19.682566,19.685347,20.3908456,19.938841,19.552507,19.772825,19.792095,20.0166344
53:58.2,3,251.038193,103.334877,113.789368,19.974752,68.454063,19.936525,20.239536,20.333111,20.320372,20.301842,19.795881,19.82415,19.797039,19.703653,19.852186,20.313192,2293.704102,19.808857,19.701801,19.609566,19.541893,19.547224,19.546064,19.548382,19.811174,20.127884,20.003712,20.055143,20.047962,20.182552,19.749769,19.748842,20.947184,19.974752,20.057461,20.060703,20.201548,19.928415,19.976143,20.038231,19.94417,19.708984,19.853113,19.757416,19.792173,19.678394,19.660088,111.3182506,19.936525,19.5586258,19.78018075,19.78761467,20.009175
54:48.3,3,412.034698,317.161285,250.169785,20.369705,214.045563,20.095684,20.56493,20.323151,20.327784,20.280533,20.107498,20.254128,19.905014,19.715704,19.846857,20.307402,2293.713135,19.779661,19.702959,19.890881,19.632278,19.690908,19.841761,19.716864,19.835272,20.180468,20.008114,20.058619,20.031282,21.116159,20.054216,19.955523,20.918016,19.994213,20.114679,20.094294,20.186722,20.067884,20.311338,20.052364,20.173983,19.745134,19.846394,19.842688,19.979155,20.087112,19.749769,242.7562072,20.095684,19.7545384,19.995586,19.77649233,20.022751
55:38.7,4,441.867645,336.498444,267.497803,32.170197,234.352173,27.469341,21.885265,20.362757,20.373873,20.301611,20.342606,20.54409,20.055607,19.868406,19.832724,20.345154,2293.70874,19.788929,19.702496,20.228416,19.779892,19.986336,20.103329,19.951353,19.870955,20.144794,20.014601,20.080858,20.072056,22.04624,20.414865,20.15406,20.876808,20.075993,20.198769,20.161936,20.188576,20.183479,20.540848,20.125799,20.406065,19.819748,19.874893,19.972435,20.134834,20.523479,19.828785,262.4772524,27.469341,20.0098652,20.20267725,19.77471633,20.0366528
56:29.0,5,467.774414,387.862152,294.889069,55.08112,263.411591,48.652203,24.375933,20.39217,20.535059,20.348629,20.684645,20.83861,20.220541,20.005102,19.838516,20.35025,2293.710937,19.788698,19.710375,20.617958,20.051668,20.439648,20.238146,20.243242,19.892965,20.126495,20.022709,20.068117,20.058386,23.252356,20.928896,20.4547,20.770544,20.22448,20.319677,20.257833,20.201778,20.477163,20.954128,20.266867,20.776794,19.980312,19.940695,20.162632,20.42112,21.095329,19.970814,293.8036692,48.652203,20.3181324,20.4372245,19.77919633,20.0337344
57:19.1,6,474.891449,399.42865,334.538361,72.180527,297.388367,68.324211,28.744608,20.44451,20.727711,20.438721,21.172865,21.141388,20.510742,20.192514,19.848248,20.374105,2293.694336,19.834114,19.707594,21.744856,20.646208,21.205961,20.531122,20.7974,19.922159,20.137383,20.015064,20.101477,20.065105,25.225355,21.783718,21.071024,20.571415,20.491522,20.515606,20.437794,20.261309,20.987926,21.608362,20.47508,21.219152,20.268721,20.057924,20.401897,20.745306,21.712008,20.241388,315.6854708,68.324211,20.9851094,20.75437725,19.796652,20.0482376
58:09.4,7,510.375763,470.069885,394.355743,79.963959,348.781281,78.028419,33.746849,20.490133,21.026119,20.55891,21.925974,21.591011,21.037924,20.473227,19.892965,20.359514,2293.695312,19.875126,19.733316,24.429474,22.652695,22.689217,21.572966,22.01918,19.93861,20.147343,20.02549,20.111437,20.071592,28.284815,23.05805,22.372282,20.097769,21.117317,20.868011,20.908062,20.375263,22.15493,22.65547,20.889772,22.300375,20.967787,20.240461,20.799715,21.309179,22.421989,20.610548,360.7093262,78.028419,22.6727064,21.257034,19.83380233,20.0588944
59:00.0,8,565.062927,520.196106,435.623169,83.953835,394.196777,83.153496,35.567165,20.52047,21.140694,20.613096,23.073994,22.716259,21.810553,20.917553,19.971741,20.362061,2293.710937,19.945097,19.786612,28.937202,26.056137,25.355639,23.91588,24.41678,19.962242,20.132286,20.055607,20.130432,20.10611,31.711662,24.979502,24.164743,19.247747,22.235401,21.577129,21.563248,20.64204,23.818213,24.006613,21.557463,23.417986,22.085554,20.62722,21.484118,22.167881,23.498365,21.149952,399.8065628,83.153496,25.7363276,22.12958975,19.90115,20.0773354
59:50.2,8,605.573608,544.591797,484.017578,85.979034,443.045197,85.499359,36.386723,20.549646,21.191381,20.621895,24.860245,23.947512,22.996819,21.559776,20.091745,20.319677,2293.705078,20.068348,19.839443,34.793385,31.463638,29.184902,27.718765,28.585772,20.00742,20.132517,20.048426,20.123251,20.092905,35.785015,27.392477,26.837694,17.87924,24.139584,22.75116,22.901381,21.179808,26.393431,25.725422,22.538736,25.199295,23.907568,21.240908,22.536425,23.248198,24.435936,22.076073,432.6414428,85.499359,30.3492924,23.341088,19.99984533,20.0809038
00:40.5,9,587.922363,574.151306,503.384491,87.705078,482.02002,86.048042,36.893669,20.552658,21.214293,20.606611,26.836082,26.458389,24.62077,22.598145,20.2715,20.21892,2293.701904,20.276827,19.922855,41.265938,37.620373,34.728931,32.667919,35.22752,20.005798,20.138309,20.051437,20.099854,20.088503,40.530205,31.528286,30.341064,15.414818,26.721638,24.582005,24.827486,22.395634,29.958651,28.779314,24.387703,27.750975,26.417849,22.36974,24.281538,24.97904,25.658115,24.483242,447.0366516,86.048042,36.3021362,25.1283465,20.15706067,20.0767802
01:30.8,10,596.609619,563.468811,535.187012,88.381424,521.820129,86.099579,37.505711,20.556362,21.244379,20.594109,29.66658,28.504162,26.932327,23.772493,20.555437,20.064178,2293.715332,20.595497,20.04912,46.901031,44.157623,40.002155,38.263908,42.148342,20.053986,20.103792,20.050974,20.120703,20.070896,45.939823,34.878166,34.2603,12.407564,30.139317,26.80707,26.827103,23.86878,34.368217,32.100319,26.874765,31.117405,29.602278,23.802973,26.372698,27.115582,26.618694,26.42568,461.093399,86.099579,42.2946118,27.2188905,20.400018,20.0800702
02:21.1,11,601.024658,589.476013,561.866699,88.390167,548.209595,86.293396,37.722034,20.579056,21.254099,20.608927,33.47802,31.144236,29.695745,25.161936,21.011768,19.851492,2293.706787,21.102736,20.270342,52.027592,50.773678,45.346409,44.146515,48.367085,20.085955,20.120239,20.05051,20.121861,20.062788,51.783245,38.428604,38.098274,9.317281,35.306786,28.731966,29.282312,25.686007,39.54372,35.991173,30.27313,35.72382,33.788254,25.485447,28.901581,29.825712,28.685766,29.218676,477.7934264,86.293396,48.1322558,29.86998425,20.79494867,20.0882706
03:11.3,12,636.631287,619.713928,598.75354,88.851822,578.78186,86.76442,37.847385,20.576277,21.268448,20.592024,35.103466,33.968498,32.467529,26.606949,21.594481,19.556494,2293.71167,21.816566,20.534826,55.652275,55.610889,50.362625,48.05592,53.279392,20.147343,20.13275,20.062557,20.124409,20.071823,56.822395,41.981224,41.704834,6.167942,38.927105,30.912134,31.844133,27.611547,44.177795,39.274719,33.668381,39.374409,38.111263,27.493732,31.61058,32.422867,30.902042,31.783171,504.5464874,86.76442,52.5922202,32.0366105,21.315291,20.1077764
04:01.6,13,670.185974,632.697693,613.386108,89.635834,603.091858,86.965218,37.842144,20.586699,21.253637,20.574425,38.320858,36.288589,35.260414,28.193521,22.325809,19.08778,2293.696533,22.782824,20.866854,59.02409,59.231113,55.111942,51.040962,57.326515,20.218225,20.138309,20.048426,20.145027,20.048656,60.933094,45.443558,44.918785,2.784133,44.110249,33.611645,34.050831,29.758434,48.331837,42.410095,37.209766,42.439835,42.623001,29.735243,34.344212,35.093414,33.784595,34.016071,521.7994934,86.965218,56.3469244,34.5158455,21.991829,20.1197286
04:52.0,13,663.573425,650.512756,610.275269,91.109062,620.587769,87.587402,37.916664,20.595728,21.282564,20.564468,40.988472,38.433159,36.993114,29.500992,23.234106,18.535847,2293.71582,23.810823,21.305475,61.790268,62.084305,58.839951,53.132092,59.947021,20.347702,20.183249,20.073677,20.180931,20.05051,64.145096,47.664207,47.331402,-0.02973,49.126518,35.474213,35.672215,31.56909,52.17905,45.19558,40.86483,45.266922,47.1315,31.698368,36.234043,37.383511,35.673355,36.180408,527.2116562,87.587402,59.1587274,36.47893425,22.783468,20.1672138
05:42.1,14,651.724121,651.000305,609.405518,92.815643,613.317261,88.382996,38.052475,20.59457,21.28002,20.561689,43.330219,40.281673,38.767036,30.753395,24.291,17.894093,2293.706055,24.903151,21.790659,63.617027,63.981037,61.513474,54.606556,61.70369,20.498932,20.237452,20.084797,20.222858,20.056301,66.652351,49.256363,49.269463,-2.39341,53.369255,37.11832,37.182175,33.178909,55.889099,46.993538,43.632538,47.604752,51.268059,33.513489,38.265732,39.640884,37.193348,37.572506,523.6525696,88.382996,61.0843568,38.28308075,23.66160333,20.220068
06:32.5,15,675.466736,651.730042,621.64386,93.956055,616.416504,89.733398,38.257755,20.60615,21.309874,20.572109,45.269413,41.657364,40.554306,31.947485,25.743401,17.149382,2293.716309,26.023876,22.435862,65.459534,65.724113,63.754433,55.717049,62.933498,20.706873,20.29582,20.145027,20.262466,20.058849,68.725861,50.445656,50.892551,-4.495027,56.827114,38.817814,38.863583,34.564819,59.367397,48.668919,44.762012,49.335167,55.41407,35.098438,40.351486,41.837929,38.979244,39.381462,531.8426394,89.733398,62.7177254,39.857142,24.73437967,20.293807
07:22.8,16,676.124268,675.414062,633.343506,95.196533,623.038818,90.961861,38.452293,20.612864,21.343658,20.591097,47.445587,43.188671,41.880394,33.072704,27.280853,16.31967,2293.693359,27.179346,23.030554,66.609123,66.937233,65.701935,56.501827,63.936882,21.018944,20.380358,20.164948,20.331257,20.066032,70.389038,52.18153,52.00415,-6.193537,59.273998,40.215496,40.171604,35.981358,62.018818,50.264469,46.446987,50.671036,58.648163,36.581589,42.611652,43.643875,40.903015,40.95779,540.6234374,90.961861,63.9374,41.396839,25.830251,20.3923078
08:12.9,17,713.928711,684.230164,660.069031,96.851181,642.842957,91.589302,38.613548,20.636251,21.35199,20.601517,49.325008,45.206905,43.672447,34.169975,28.930307,15.388311,2293.703369,28.448753,23.672966,67.805649,68.126732,67.714294,57.304268,64.976257,21.300615,20.498007,20.207108,20.412319,20.072287,71.609215,53.202816,53.40979,-7.68809,61.12582,41.889481,41.219582,37.225273,64.751961,52.177246,48.291389,51.75935,61.509884,38.008499,45.136013,45.038162,42.234844,41.939213,559.5844088,91.589302,65.18544,43.09358375,27.017342,20.4980672
