Time in sec,Time in Minutes,Pb1,Pb1-Pb2,Pb2,Pb3,Fire-HF,Pb3-Pb4,Fire-CF,Pb4,Amb-HF,Amb-CF
60,1,56.96,19.85,19.97,20,19.99,20,20,20,20,20
120,2,102.73,18.62,20.09,20,20.03,20,20,20,20,20
180,3,137.8,20.34,20.03,20.01,20.02,20,20.01,20,20.01,20.01
240,4,160.41,24.79,19.71,19.99,19.87,20,19.99,20,19.99,20
300,5,186.63,29.01,19.62,19.97,19.8,20,19.94,20,19.95,19.97
360,6,229.34,31.91,20.16,19.97,20.04,20,19.93,20,19.94,19.97
420,7,350.23,32.22,21,20.03,20.5,20,20.02,20,20.03,20
480,8,422.9,31.66,22.45,20.16,21.3,19.99,20.26,20,20.23,20.11
540,9,480.46,35.53,23.26,20.33,21.91,19.99,20.61,20,20.53,20.28
600,10,512.54,40.7,23.84,20.48,22.4,20,20.97,20,20.83,20.46
660,11,538.91,46.98,24.68,20.65,23,20.02,21.35,20,21.14,20.66
720,12,565.11,51.87,25.96,20.86,23.84,20.05,21.78,20,21.5,20.9
780,13,588,55.98,27.79,21.14,25.01,20.08,22.32,20,21.97,21.2
840,14,606.24,60.12,29.79,21.49,26.35,20.12,23.01,20,22.57,21.58
900,15,621.08,64.21,31.93,21.91,27.84,20.18,23.84,20.01,23.28,22.04
960,16,632.6,68.46,34.1,22.38,29.4,20.25,24.79,20.02,24.09,22.58
1020,17,642.53,72.31,36.33,22.91,31.05,20.34,25.83,20.03,24.98,23.18
1080,18,654.64,75.52,38.67,23.48,32.78,20.44,26.95,20.05,25.95,23.84
1140,19,665.24,79.34,40.97,24.1,34.54,20.57,28.15,20.07,26.99,24.57
1200,20,677.59,85,43.13,24.76,36.28,20.73,29.4,20.1,28.07,25.34
1260,21,689.03,90.22,45.33,25.44,38.04,20.9,30.67,20.14,29.18,26.15
1320,22,698.64,96.18,47.69,26.17,39.91,21.1,31.98,20.19,30.34,27.01
1380,23,707.91,103.56,50.14,26.94,41.86,21.32,33.35,20.24,31.55,27.91
1440,24,718.98,112.64,52.73,27.76,43.91,21.56,34.78,20.3,32.81,28.86
1500,25,726.69,122,55.53,28.64,46.09,21.82,36.29,20.38,34.15,29.86
1560,26,736.14,132.14,58.6,29.58,48.43,22.11,37.89,20.46,35.58,30.94
1620,27,745.02,143.59,61.69,30.59,50.79,22.42,39.58,20.55,37.09,32.08
1680,28,754.69,154.78,64.12,31.62,52.89,22.76,41.3,20.66,38.62,33.25
1740,29,764.43,164.75,66.19,32.62,54.76,23.12,42.95,20.77,40.11,34.42
1800,30,772.38,175.47,68.22,33.62,56.53,23.52,44.53,20.9,41.54,35.58
1860,31,780.84,185.96,70.03,34.6,58.2,23.93,46.04,21.04,42.92,36.72
1920,32,789.34,196.74,71.85,35.58,59.87,24.37,47.49,21.19,44.26,37.85
1980,33,796.91,210.56,73.81,36.56,61.63,24.82,48.91,21.35,45.59,38.97
2040,34,804.27,230.75,75.55,37.56,63.38,25.29,50.33,21.53,46.91,40.09
2100,35,810.75,254.58,76.87,38.52,64.88,25.77,51.69,21.71,48.18,41.2
2160,36,816.39,275.68,77.96,39.44,66.23,26.26,52.97,21.91,49.37,42.25
2220,37,822.01,293.85,79.7,40.36,67.62,26.77,54.19,22.11,50.53,43.29
2280,38,828.48,309.91,81.73,41.33,69.06,27.28,55.43,22.33,51.71,44.33
2340,39,834.15,324.99,83.73,42.33,70.72,27.79,56.73,22.55,52.95,45.4
2400,40,839.69,338.5,85.34,43.34,72.53,28.32,58.08,22.78,54.23,46.5
2460,41,846.04,351.12,87.14,44.36,74.39,28.85,59.46,23.01,55.52,47.61
2520,42,853.33,362.46,89,45.41,76.29,29.4,60.89,23.25,56.85,48.75
