TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Load in kN-20 added,Stud1_Axial-O,Stud1_Axial-Zero,Stud1_Axial-O,Stud2_Axial-O,Stud2_Axial-Zero,Stud2_Axial,Stud3_Axial-O,Stud3_Axial-Zero,,Stud4_Axial-O,Stud4_Axial-Zero,Stud4_Axial-O,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom,Stud3_Top-O,Stud3_Top,Stud3_Mid-O,Stud3_Mid,Stud3_Bottom-O,Stud3_Bottom
,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,
41:30.2,-43.253498,13.89734891,20.32334891,3.416939,3.454704,,3.526942,3.556497,,3.234658,3.229732,,3.756819,3.74943,,0.223306,0.233158,-0.18062,-0.185546,-0.321833,-0.308697,0.065678,0.072246,-0.055828,-0.039408,-0.042692,-0.047618
41:31.2,-44.583309,14.32461718,20.75061718,3.449778,3.487543,,3.551571,3.581126,,3.269961,3.265035,,3.814288,3.806899,,0.221664,0.231516,-0.170768,-0.175694,-0.328401,-0.315265,0.055826,0.062394,-0.026272,-0.009852,-0.03284,-0.037766
41:32.2,-45.27018,14.54530883,20.97130883,3.497395,3.53516,,3.60904,3.638595,,3.315114,3.310188,,3.91609,3.908701,,0.21017,0.220022,-0.151064,-0.15599,-0.331685,-0.318549,0.039407,0.045975,0.036124,0.052544,-0.036124,-0.04105
41:33.2,-45.348972,14.5706247,20.9966247,3.510531,3.548296,,3.613145,3.6427,,3.321682,3.316756,,3.921837,3.914448,,0.200319,0.210171,-0.154348,-0.159274,-0.331685,-0.318549,0.029555,0.036123,0.042692,0.059112,-0.03284,-0.037766
41:34.2,-46.893986,15.0670377,21.4930377,3.589346,3.627111,,3.661583,3.691138,,3.390645,3.385719,,3.976843,3.969454,,0.200319,0.210171,-0.108372,-0.113298,-0.331685,-0.318549,0.006568,0.013136,0.0821,0.09852,-0.029556,-0.034482
41:35.2,-47.026196,15.10951677,21.53551677,3.632037,3.669802,,3.7092,3.738755,,3.43662,3.431694,,4.011325,4.003936,,0.183899,0.193751,-0.068964,-0.07389,-0.331685,-0.318549,-0.019703,-0.013135,0.134645,0.151065,-0.01642,-0.021346
41:36.2,-48.396843,15.54990566,21.97590566,3.681296,3.719061,,3.760101,3.789656,,3.494088,3.489162,,4.04088,4.033491,,0.185541,0.195393,-0.022988,-0.027914,-0.334969,-0.321833,-0.042691,-0.036123,0.197041,0.213461,0.003284,-0.001642
41:37.3,-48.188267,15.48289019,21.90889019,3.776531,3.814296,,3.828243,3.857798,,3.581112,3.576186,,4.121337,4.113948,,0.157628,0.16748,0.04926,0.044334,-0.331685,-0.318549,-0.082098,-0.07553,0.305413,0.321833,0.006568,0.001642
41:38.3,-49.996811,16.06397537,22.48997537,3.794593,3.832358,,3.852051,3.881606,,3.59589,3.590964,,4.132831,4.125442,,0.141208,0.15106,0.06568,0.060754,-0.334969,-0.321833,-0.101801,-0.095233,0.328401,0.344821,0.009852,0.004926
41:39.3,-50.726719,16.29849481,22.72449481,3.917741,3.955506,,3.953854,3.983409,,3.737099,3.732173,,4.28225,4.274861,,0.124789,0.134641,0.187188,0.182262,-0.334969,-0.321833,-0.147776,-0.141208,0.476182,0.492602,0.052544,0.047618
41:40.3,-52.527321,16.87702824,23.30302824,3.97521,4.012975,,3.989977,4.019532,,3.761728,3.756802,,4.303596,4.296207,,0.08374,0.093592,0.21346,0.208534,-0.334969,-0.321833,-0.193751,-0.187183,0.512306,0.528726,0.068964,0.064038
41:41.3,-53.570206,17.21210719,23.63810719,4.054025,4.09179,,4.049088,4.078643,,3.817555,3.812629,,4.352855,4.345466,,0.05911,0.068962,0.252869,0.247943,-0.334969,-0.321833,-0.216738,-0.21017,0.584554,0.600974,0.085384,0.080458
41:42.3,-53.282612,17.11970324,23.54570324,4.060593,4.098358,,4.05894,4.088495,,3.822481,3.817555,,4.356139,4.34875,,0.032839,0.042691,0.256153,0.251227,-0.334969,-0.321833,-0.229873,-0.223305,0.591122,0.607542,0.088668,0.083742
41:43.3,-54.619709,17.5493125,23.9753125,4.145976,4.183741,,4.113125,4.14268,,3.87995,3.875024,,4.408682,4.401293,,0.01642,0.026272,0.298845,0.293919,-0.334969,-0.321833,-0.256145,-0.249577,0.630531,0.646951,0.09852,0.093594
41:44.3,-54.347343,17.46180131,23.88780131,4.208371,4.246136,,4.185371,4.214926,,3.93906,3.934134,,4.487497,4.480108,,0.009852,0.019704,0.344821,0.339895,-0.334969,-0.321833,-0.279132,-0.272564,0.709347,0.725767,0.118224,0.113298
