TimeStamp,Time in Sec,Kyowa PG 500 KUM _Load in bar_(bar),Load in bar,Load in kN,Stud1_Axial,Stud2_Axial,Stud3_Axial,Stud4_Axial
,,,0,0,0,0,0,0
,,,,0.08,0.02,0.017777778,0.016,0.014545455
,,,,0.16,0.04,0.035555556,0.032,0.029090909
,,,,0.24,0.06,0.053333333,0.048,0.043636364
,,,,0.32,0.08,0.071111111,0.064,0.058181818
,,,,0.4,0.1,0.088888889,0.08,0.072727273
,,,,0.48,0.12,0.106666667,0.096,0.087272727
,,,,0.56,0.14,0.124444444,0.112,0.101818182
,,,,0.64,0.16,0.142222222,0.128,0.116363636
,,,,0.72,0.18,0.16,0.144,0.130909091
,,,,0.8,0.2,0.177777778,0.16,0.145454545
,,,,0.88,0.22,0.195555556,0.176,0.16
,,,,0.96,0.24,0.213333333,0.192,0.174545455
,,,,1.04,0.26,0.231111111,0.208,0.189090909
,,,,1.12,0.28,0.248888889,0.224,0.203636364
,,,,1.2,0.3,0.266666667,0.24,0.218181818
,,,,1.28,0.32,0.284444444,0.256,0.232727273
,,,,1.36,0.34,0.302222222,0.272,0.247272727
,,,,1.44,0.36,0.32,0.288,0.261818182
,,,,1.52,0.38,0.337777778,0.304,0.276363636
,,,,1.6,0.4,0.355555556,0.32,0.290909091
,,,,1.68,0.42,0.373333333,0.336,0.305454545
,,,,1.76,0.44,0.391111111,0.352,0.32
,,,,1.84,0.46,0.408888889,0.368,0.334545455
,,,,1.92,0.48,0.426666667,0.384,0.349090909
,,,,2,0.5,0.444444444,0.4,0.363636364
,,,,2.08,0.52,0.462222222,0.416,0.378181818
,,,,2.16,0.54,0.48,0.432,0.392727273
,,,,2.24,0.56,0.497777778,0.448,0.407272727
,,,,2.32,0.58,0.515555556,0.464,0.421818182
,,,,2.4,0.6,0.533333333,0.48,0.436363636
,,,,2.48,0.62,0.551111111,0.496,0.450909091
,,,,2.56,0.64,0.568888889,0.512,0.465454545
,,,,2.64,0.66,0.586666667,0.528,0.48
,,,,2.72,0.68,0.604444444,0.544,0.494545455
,,,,2.8,0.7,0.622222222,0.56,0.509090909
,,,,2.88,0.72,0.64,0.576,0.523636364
,,,,2.96,0.74,0.657777778,0.592,0.538181818
,,,,3.04,0.76,0.675555556,0.608,0.552727273
,,,,3.12,0.78,0.693333333,0.624,0.567272727
,,,,3.2,0.8,0.711111111,0.64,0.581818182
,,,,3.28,0.82,0.728888889,0.656,0.596363636
,,,,3.36,0.84,0.746666667,0.672,0.610909091
,,,,3.44,0.86,0.764444444,0.688,0.625454545
,,,,3.52,0.88,0.782222222,0.704,0.64
,,,,3.6,0.9,0.8,0.72,0.654545455
