TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),LVDT12 - 50mm_Stud1_Axial_(mm),LVDT12 - 50mm_Stud2_Axial_(mm),LVDT12 - 50mm_Stud3_Axial_(mm),LVDT12 - 50mm_Stud4_Axial_(mm),LVDT Type 100mm_Stud2_Top_(mm),LVDT Type 100mm_Stud2_Mid_(mm),LVDT Type 100mm_Stud2_Bottom_(mm),LVDT Type 100mm_Stud3_Top_(mm),LVDT Type 100mm_Stud3_Mid_(mm),LVDT Type 100mm_Stud3_Bottom_(mm)
12:37:30.194 PM 13/03/2018,0.001545,-0.037765,-0.029555,0.004926,0.007389,-0.009852,0.004926,-0.013136,-0.006568,-0.016420,0.004926
12:37:31.196 PM 13/03/2018,-0.007946,-0.003284,-0.006568,0.000000,0.001642,-0.001642,0.000000,-0.003284,0.000000,-0.003284,0.000000
12:37:32.198 PM 13/03/2018,0.006401,-0.001642,0.000000,0.000000,0.001642,-0.003284,-0.003284,-0.003284,0.006568,0.000000,0.003284
12:37:33.199 PM 13/03/2018,-0.003973,-0.001642,-0.006568,0.001642,0.001642,0.003284,0.000000,-0.003284,-0.001642,0.000000,0.000000
12:37:34.204 PM 13/03/2018,-0.013243,-0.001642,-0.006568,0.001642,0.001642,0.006568,0.000000,-0.003284,0.003284,-0.003284,0.000000
12:37:35.206 PM 13/03/2018,-0.009049,0.003284,-0.004926,0.000000,-0.001642,0.000000,0.000000,-0.003284,0.006568,0.000000,0.003284
12:37:36.207 PM 13/03/2018,-0.002869,0.001642,-0.001642,0.000000,0.001642,0.000000,0.000000,-0.003284,0.003284,-0.003284,0.000000
12:37:37.209 PM 13/03/2018,-0.003311,0.001642,-0.011494,0.000000,0.001642,0.000000,0.000000,-0.003284,0.000000,0.000000,0.000000
12:37:38.214 PM 13/03/2018,-0.012581,-0.004926,-0.003284,0.001642,0.000000,-0.003284,0.000000,-0.003284,0.009852,-0.003284,0.000000
12:37:39.215 PM 13/03/2018,-0.006180,0.001642,-0.003284,0.000000,0.001642,-0.006568,-0.003284,-0.003284,0.003284,0.000000,0.000000
12:37:40.217 PM 13/03/2018,-0.013243,0.000000,-0.003284,-0.001642,0.001642,0.000000,0.000000,0.000000,0.009852,-0.003284,0.000000
12:37:41.224 PM 13/03/2018,-0.005959,-0.004926,-0.006568,0.000000,0.001642,-0.003284,0.000000,0.000000,0.000000,-0.003284,0.003284
12:37:42.230 PM 13/03/2018,-0.005739,0.000000,-0.009031,0.001642,0.001642,-0.003284,0.003284,-0.003284,0.003284,0.000000,0.003284
12:37:43.235 PM 13/03/2018,-0.009491,0.001642,-0.006568,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003284,-0.003284,0.000000
12:37:44.237 PM 13/03/2018,-0.009712,-0.001642,0.004926,0.001642,0.001642,0.006568,0.000000,0.000000,-0.003284,0.000000,0.003284
12:37:45.240 PM 13/03/2018,-0.007504,-0.004926,-0.006568,0.000000,0.001642,0.000000,0.000000,0.000000,-0.009852,-0.003284,0.003284
12:37:46.241 PM 13/03/2018,-0.008608,-0.003284,-0.007389,0.001642,0.001642,0.000000,0.000000,-0.003284,0.003284,-0.003284,0.003284
12:37:47.247 PM 13/03/2018,-0.008608,0.019704,0.008210,0.013957,0.024629,0.000000,0.000000,-0.003284,0.016420,0.000000,0.006568
12:37:48.248 PM 13/03/2018,-2.286397,0.060753,0.037765,0.041049,0.073888,0.003284,0.003284,-0.003284,0.013136,-0.003284,0.003284
12:37:49.254 PM 13/03/2018,-1.426708,0.068963,0.037765,0.044333,0.082098,0.000000,0.000000,-0.003284,0.011494,-0.003284,0.000000
12:37:50.256 PM 13/03/2018,-2.868867,0.180616,0.139567,0.106727,0.256146,0.000000,0.000000,-0.003284,0.019703,-0.006568,0.000000
12:37:51.262 PM 13/03/2018,-2.124392,0.187184,0.139567,0.105085,0.254504,-0.006568,0.000000,-0.006568,0.013136,-0.006568,0.003284
12:37:52.264 PM 13/03/2018,-3.550438,0.408850,0.321824,0.238084,0.596033,-0.003284,0.000000,-0.006568,0.018061,-0.022988,0.000000
