Length,Load factor
1,118.8338494
1.05,118.6405557
1.11,118.36291
1.17,116.5725473
1.24,103.807048
1.3,94.45511973
1.37,85.05796254
1.45,75.93979937
1.53,68.21391619
1.61,61.61072475
1.7,55.26772799
1.79,49.85719298
1.89,44.72863343
1.99,40.35362211
2.1,36.24451419
2.21,32.73358973
2.33,29.45631268
2.46,26.43311588
2.59,23.85364098
2.73,21.47747104
2.88,19.30625837
3.04,17.33536337
3.2,15.65266386
3.38,14.03790007
3.56,12.6618411
3.76,11.35868
3.96,10.2479514
4.18,9.205574689
4.4,8.315623312
4.64,7.485493141
4.89,6.747452073
5.16,6.067767491
5.44,5.467071292
5.74,4.918512276
6.05,4.435212136
6.38,3.99617264
6.72,3.609773231
7.09,3.250828847
7.47,2.936291499
7.88,2.646650725
8.31,2.387755084
8.76,2.156598741
9.24,1.946297462
9.74,1.759444486
10.27,1.59040774
10.83,1.438066292
11.41,1.30332023
12.04,1.178442307
12.69,1.068581669
13.38,0.969018619
14.11,0.879162964
14.87,0.799303729
15.68,0.726635182
16.53,0.661561637
17.43,0.60276496
18.38,0.549830005
19.38,0.502307759
20.43,0.459739861
21.54,0.421356523
22.72,0.386595547
23.95,0.355735463
25.25,0.327954891
26.62,0.303045246
28.07,0.280644772
29.6,0.260597968
31.21,0.242736379
32.9,0.226887513
34.69,0.212736047
36.58,0.20018797
38.57,0.189138071
40.66,0.179476229
42.87,0.171022598
45.2,0.16370757
47.66,0.157432914
50.25,0.152135683
52.98,0.147736271
55.86,0.144169701
58.9,0.141383339
62.1,0.139340545
65.48,0.137999857
69.04,0.137340552
72.79,0.137344442
76.75,0.138005022
80.92,0.139321797
85.32,0.141305094
89.95,0.143961763
94.84,0.147317555
100,0.151387357
105.44,0.156178216
111.17,0.161683241
117.21,0.167884335
123.58,0.174733478
130.3,0.182138682
137.38,0.189936676
144.85,0.197909988
152.72,0.205732306
161.03,0.21302207
169.78,0.219308893
179.01,0.224175061
188.74,0.22730849
199,0.228620276
209.82,0.22827524
221.22,0.226650864
233.25,0.224234175
245.93,0.221533458
259.29,0.219008167
273.39,0.217038985
288.25,0.215939218
303.92,0.2159545
320.44,0.217282797
337.86,0.220087584
356.22,0.224506821
375.59,0.230671217
396.01,0.238695052
417.53,0.248687985
440.23,0.260770443
464.16,0.275042934
515.99,0.31052718
544.04,0.331845969
573.62,0.355502635
604.8,0.381261738
637.67,0.408591914
672.34,0.436407852
747.42,0.483567459
830.88,0.491264364
876.05,0.474553355
923.67,0.448462858
973.88,0.417559266
1026.82,0.385064978
1082.64,0.352877928
1141.49,0.32203107
1203.54,0.293037253
1268.96,0.266120969
1337.94,0.241335135
1410.67,0.218639994
1487.35,0.197946177
1568.2,0.179129756
1653.45,0.162060362
1743.33,0.146601823
1838.09,0.132621337
1938.01,0.119989741
2043.36,0.108586386
2154.43,0.098298351
2271.55,0.089022115
2395.03,0.080659624
2525.22,0.073125525
2662.49,0.06633937
2807.22,0.060225729
2959.81,0.054724043
3120.71,0.04977036
3290.34,0.045310278
3469.2,0.041295733
3657.79,0.037680561
3856.62,0.034428332
4066.26,0.031500652
4287.3,0.028869237
4520.35,0.026496062
4766.08,0.024359973
5025.15,0.022439469
5298.32,0.02071043
5586.33,0.019157577
5890,0.017756925
6210.17,0.016492065
6547.75,0.015364177
6903.68,0.014330257
7278.95,0.013415849
7674.63,0.01257765
8091.82,0.011826703
8531.68,0.011130477
8995.45,0.010547144
9484.44,0.009979625
10000,0.009486142
