Length,Load factor
1,118.8338494
2,39.95184647
3,17.79866021
4,10.04556292
5,6.457231723
6,4.508127219
7,3.332925741
8,2.570185881
9,2.047243844
10,1.673163818
11,1.396357428
12,1.185791341
13,1.021889759
14,0.891810031
15,0.786844018
20,0.476361249
30,0.255876634
40,0.1823359
50,0.152595638
60,0.140586872
70,0.137278127
80,0.138981281
90,0.143993352
100,0.151387357
200,0.228654059
300,0.215836136
400,0.24043335
500,0.298984535
600,0.37726537
700,0.456665614
800,0.588168773
900,0.462119843
1000,0.401366287
2000,0.113066597
3000,0.053426526
4000,0.032381672
5000,0.022614911
6000,0.017301262
7000,0.014082529
8000,0.011967611
9000,0.010527634
10000,0.009486142
