Length,Load factor
1,139.7702131
2,46.99063542
3,20.93446052
4,11.81540846
5,7.594878548
6,5.302377268
7,3.920126658
8,3.023005902
9,2.407930987
10,1.967944862
11,1.642370219
12,1.394706215
13,1.201928154
14,1.048930744
15,0.925471627
20,0.56028744
30,0.300957445
40,0.214460171
50,0.179480215
60,0.165355723
70,0.161464036
80,0.163467256
90,0.169362362
100,0.178059057
200,0.268938746
300,0.253862537
400,0.282793334
500,0.351660168
600,0.44373267
700,0.537121769
800,0.691793503
900,0.543537037
1000,0.472079966
2000,0.132985753
3000,0.062835975
4000,0.038081516
5000,0.026599773
6000,0.020351871
7000,0.016555954
8000,0.014099716
9000,0.012392182
10000,0.01112951
