Length,Load factor
1,123.6971822
1.05,123.4447569
1.11,123.1332406
1.17,122.8123097
1.24,122.4243765
1.3,122.0759024
1.37,121.6345939
1.45,120.976915
1.53,114.8006796
1.61,103.7576692
1.7,93.11358177
1.79,84.03104048
1.89,75.42073882
1.99,68.07513964
2.1,61.17584413
2.21,55.28091981
2.33,49.77838664
2.46,44.70260354
2.59,40.37197624
2.73,36.38286202
2.88,32.73803301
3.04,29.42968788
3.2,26.60529976
3.38,23.89514009
3.56,21.58579541
3.76,19.3989705
3.96,17.53522489
4.18,15.78632304
4.4,14.29329257
4.64,12.90074292
4.89,11.66278062
5.16,10.52279796
5.44,9.515373368
5.74,8.595447771
6.05,7.784999974
6.38,7.048791794
6.72,6.400849772
7.09,5.798916629
7.47,5.271395649
7.88,4.785540919
8.31,4.351136682
8.76,3.963119972
9.24,3.609914001
9.74,3.295858645
10.27,3.011480254
10.83,2.754887437
11.41,2.527611595
12.04,2.316633031
12.69,2.130680824
13.38,1.961824455
14.11,1.809122234
14.87,1.673148025
15.68,1.549216556
16.53,1.438116014
17.43,1.337704127
18.38,1.24738328
19.38,1.166498237
20.43,1.094373046
21.54,1.029802006
22.72,0.97193905
23.95,0.921322943
25.25,0.876660879
26.62,0.837672947
28.07,0.803837799
29.6,0.77495502
31.21,0.750790767
32.9,0.731094635
34.69,0.715464034
36.58,0.703792725
38.57,0.695950406
40.66,0.691795674
42.87,0.691195835
45.2,0.694098468
47.66,0.700472794
50.25,0.710285058
52.98,0.72354448
55.86,0.740284149
58.9,0.760542988
62.1,0.784262271
65.48,0.811466459
69.04,0.841906941
72.79,0.875190602
76.75,0.910639882
80.92,0.946769855
85.32,0.981280765
89.95,1.010349795
94.84,1.028966358
100,1.031809935
105.44,1.016394762
111.17,0.985354621
117.21,0.944626661
123.58,0.899893594
130.3,0.855057086
137.38,0.812521824
144.85,0.773566931
152.72,0.738985128
161.03,0.709076365
169.78,0.684066405
179.01,0.663892568
188.74,0.648464123
199,0.637631013
209.82,0.631280754
221.22,0.629403082
233.25,0.632115336
245.93,0.639646061
259.29,0.652272254
273.39,0.670323409
303.92,0.723858012
320.44,0.75991867
337.86,0.802514409
356.22,0.851786168
375.59,0.90779077
396.01,0.97017728
417.53,1.037982723
440.23,1.109121652
464.16,1.179225304
489.39,1.240808819
515.99,1.284078493
544.04,1.301678531
573.62,1.293459159
604.8,1.265524717
672.34,1.181372937
747.42,1.096353069
788.05,1.061264403
830.88,1.033117033
876.05,1.012630431
923.67,1.008838409
973.88,0.997969642
1026.82,0.999312464
1082.64,1.010247431
1141.49,1.027727428
1268.96,1.075841383
1337.94,1.100949647
1410.67,1.121091609
1487.35,1.13076756
1568.2,1.124816997
1653.45,1.100439665
1838.09,1.00302455
1938.01,0.952263442
2043.36,0.870728252
2154.43,0.801859168
2271.55,0.765956992
2395.03,0.670311314
2525.22,0.609849705
2662.49,0.553575925
2807.22,0.50160727
2959.81,0.460289474
3120.71,0.41025881
3290.34,0.370501994
3469.2,0.334362174
3657.79,0.301576204
3856.62,0.271882297
4066.26,0.245020686
4287.3,0.220745365
4520.35,0.19882579
4766.08,0.179045009
5025.15,0.16120601
5298.32,0.14512287
5586.33,0.130752319
5890,0.117572006
6210.17,0.105811213
6547.75,0.095228783
6903.68,0.085684682
7278.95,0.077100243
7674.63,0.069372914
8091.82,0.062417684
8531.68,0.056158654
8995.45,0.050525369
9484.44,0.045456724
10000,0.040895606
