Length,Load factor
1,123.6971822
2,67.40055173
3,30.20735792
4,17.19564489
5,11.17600505
6,7.907269681
7,5.936593703
8,4.657254422
9,3.779484339
10,3.150742247
11,2.684573317
12,2.329059836
13,2.051535123
14,1.830633531
15,1.651911565
20,1.122485484
30,0.768401642
40,0.692700221
50,0.709213176
60,0.768443084
70,0.850342492
80,0.93900075
90,1.010609652
100,1.031809935
200,0.636838708
300,0.761045648
400,1.010453609
500,1.261090649
600,1.270672187
700,1.147426331
800,1.052514152
900,1.005267269
1000,0.996587688
2000,0.898604331
3000,0.44239311
4000,0.253576664
5000,0.162818893
6000,0.113320088
7000,0.083349872
8000,0.063855976
9000,0.050474535
10000,0.040895606
