TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial-O,Stud1_Axial,Stud2_Axial-O,Stud2_Axial,Stud1_Top-O,Stud1_Top,Stud1_Mid-O,Stud1_Mid,Stud1_Bottom-O,Stud1_Bottom,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom
,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,0.13,,0.015370106,,0.015558688,,0.002306568,,0.003271111,,0.003900173,,0.001845234,,0.002474309,,0.004067926
,,0.26,,0.030740213,,0.031117377,,0.004613137,,0.006542222,,0.007800345,,0.003690468,,0.004948617,,0.008135852
,,0.39,,0.046110319,,0.046676065,,0.006919705,,0.009813333,,0.011700518,,0.005535703,,0.007422926,,0.012203777
,,0.52,,0.061480426,,0.062234753,,0.009226273,,0.013084443,,0.01560069,,0.007380937,,0.009897235,,0.016271703
,,0.65,,0.076850532,,0.077793442,,0.011532841,,0.016355554,,0.019500863,,0.009226171,,0.012371543,,0.020339629
,,0.78,,0.092220639,,0.09335213,,0.01383941,,0.019626665,,0.023401036,,0.011071405,,0.014845852,,0.024407555
,,0.91,,0.107590745,,0.108910818,,0.016145978,,0.022897776,,0.027301208,,0.012916639,,0.017320161,,0.028475481
,,1.04,,0.122960852,,0.124469507,,0.018452546,,0.026168887,,0.031201381,,0.014761873,,0.01979447,,0.032543407
,,1.17,,0.138330958,,0.140028195,,0.020759114,,0.029439998,,0.035101554,,0.016607108,,0.022268778,,0.036611332
,,1.3,,0.153701065,,0.155586883,,0.023065683,,0.032711109,,0.039001726,,0.018452342,,0.024743087,,0.040679258
,,1.43,,0.169071171,,0.171145572,,0.025372251,,0.03598222,,0.042901899,,0.020297576,,0.027217396,,0.044747184
,,1.56,,0.184441277,,0.18670426,,0.027678819,,0.03925333,,0.046802071,,0.02214281,,0.029691704,,0.04881511
,,1.69,,0.199811384,,0.202262948,,0.029985387,,0.042524441,,0.050702244,,0.023988044,,0.032166013,,0.052883036
,,1.82,,0.21518149,,0.217821637,,0.032291956,,0.045795552,,0.054602417,,0.025833278,,0.034640322,,0.056950962
,,1.95,,0.230551597,,0.233380325,,0.034598524,,0.049066663,,0.058502589,,0.027678513,,0.03711463,,0.061018887
,,2.08,,0.245921703,,0.248939013,,0.036905092,,0.052337774,,0.062402762,,0.029523747,,0.039588939,,0.065086813
