TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial-O,Stud1_Axial,Stud2_Axial-O,Stud2_Axial,Stud1_Top-O,Stud1_Top,Stud1_Mid-O,Stud1_Mid,Stud1_Bottom-O,Stud1_Bottom,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom
29:13.0,0.007284,-0.002340349,-0.001642,0,0.001642,0,0.003284,0,0.003284,0,0.009852,0,0,0,-0.003284,0,-0.009852,0
29:14.0,-0.008829,0.002836758,-0.001642,0,0.001642,0,0,-0.003284,0.003284,0,0.009852,0,0,0,0,0.003284,-0.003284,0.006568
29:15.0,0.000662,-0.000212701,-0.003284,-0.001642,0.001642,0,0,-0.003284,0.003284,0,0.009852,0,0,0,0,0.003284,-0.003284,0.006568
29:16.0,-0.003973,0.001276525,0,0.001642,0.001642,0,-0.003284,-0.006568,0.003284,0,0.006568,-0.003284,0,0,-0.003284,0,-0.003284,0.006568
29:16.8,-0.007946,0.00255305,-0.004926,-0.003284,0.00821,0.006568,0.013136,0.009852,-0.006568,-0.009852,0.019704,0.009852,0.006568,0.006568,0.019704,0.022988,-0.022988,-0.013136
29:17.8,-0.005959,0.001914627,-0.003284,-0.001642,0.001642,0,0.013136,0.009852,0,-0.003284,0.006568,-0.003284,0,0,-0.003284,0,-0.004926,0.004926
29:18.8,-0.007946,0.00255305,-0.001642,0,0.001642,0,0,-0.003284,-0.003284,-0.006568,0.009852,0,0,0,-0.003284,0,-0.009852,0
29:19.9,-0.009932,0.003191152,0.001642,0.003284,0.003284,0.001642,0.013136,0.009852,0,-0.003284,0.006568,-0.003284,0,0,-0.003284,0,-0.003284,0.006568
29:20.9,-0.00309,0.000992817,0,0.001642,0.001642,0,0.003284,0,0.003284,0,0.013136,0.003284,0,0,0,0.003284,-0.003284,0.006568
29:21.9,0.005959,-0.001914627,-0.003284,-0.001642,0.003284,0.001642,-0.003284,-0.006568,0.003284,0,0.009852,0,0,0,0.003284,0.006568,-0.009852,0
29:22.9,-0.003752,0.001205518,-0.001642,0,0,-0.001642,-0.01642,-0.019704,0.003284,0,0.013136,0.003284,0,0,0.003284,0.006568,-0.003284,0.006568
29:23.9,-0.003973,0.001276525,-0.004926,-0.003284,0.001642,0,0,-0.003284,0.001642,-0.001642,0.01642,0.006568,0.003284,0.003284,-0.001642,0.001642,-0.009852,0
29:24.9,-0.00927,0.002978451,0,0.001642,0,-0.001642,-0.009852,-0.013136,0,-0.003284,0.006568,-0.003284,0,0,-0.003284,0,-0.003284,0.006568
29:25.9,-0.006401,0.002056641,-0.003284,-0.001642,0.001642,0,0.009852,0.006568,-0.003284,-0.006568,0.006568,-0.003284,0,0,0.003284,0.006568,-0.009852,0
29:26.9,-0.001545,0.000496409,0,0.001642,0,-0.001642,0.006568,0.003284,0.003284,0,0.013136,0.003284,0,0,-0.003284,0,-0.003284,0.006568
29:27.9,-0.007946,0.00255305,-0.001642,0,0.001642,0,0.013136,0.009852,0,-0.003284,0.009852,0,0,0,0.003284,0.006568,-0.003284,0.006568
29:28.9,-0.007946,0.00255305,0,0.001642,0.001642,0,-0.006568,-0.009852,0.001642,-0.001642,0.006568,-0.003284,0,0,-0.003284,0,-0.003284,0.006568
29:29.9,-0.002649,0.000851124,-0.001642,0,0.001642,0,-0.006568,-0.009852,0.003284,0,0.01642,0.006568,0,0,0.003284,0.006568,-0.003284,0.006568
