Time in Minutes,Load in kN,O-Stud2-Axial,Stud2-Axial,O-Stud3-Axial,O-Stud3-Axial,Stud3-Axial,O-Stud4-Axial,O-Stud4-Axial,Stud4-Axial,O-Stud5-Axial,Stud5-Axial,O-Stud3-Bottom,Stud3-Bottom,O-Stud4-Bottom,Stud4-Bottom,O-Stud4-Mid,Stud4-Mid,O-Stud3-Mid,Stud3-Mid,Pb1-Mid-Right,Pb1-Pb2-Mid-Right,Pb2-Mid-Right,Pb3-Mid-Right,Pb3-Pb4-Mid-Right,Pb4-Mid-Right,Pb1-Mid-Top,Pb1-Pb2-Mid-Top,Pb2-Mid-Top,Pb3-Mid-Top,Pb3-Pb4-Mid-Top,Pb4-Mid-Top,Pb1-Mid-Mid,Pb1-Pb2-Mid-Mid,Pb2-Mid-Mid,Pb3-Mid-Mid,Pb3-Pb4-Mid-Mid,Pb4-Mid-Mid,Pb1-Mid-Bottom,Pb1-Pb2-Mid-Bottom,Pb2-Mid-Bottom,Pb3-Mid-Bottom,Pb3-Pb4-Mid-Bottom,Pb4-Mid-Bottom,Pb1-Mid-Left,Pb1-Pb2-Mid-Left,Pb2-Mid-Left,Pb3-Mid-Left,Pb3-Pb4-Mid-Left,Pb4-Mid-Left,Stud5-Top-HF,Stud5-Top-CF,Stud5-Mid-HF,Stud5-Mid-CF,Stud5-Bottom-HF,Stud5-Bottom-CF,Stud4-Top-HF,Stud4-Top-CF,Stud4-Mid-HF,Stud4-Mid-CF,Stud4-Bottom-HF,Stud4-Bottom-CF,Stud3-Top-HF,Stud3-Top-CF,Stud3-Mid-HF,Stud3-Mid-CF,Stud3-Bottom-HF,Stud3-Bottom-CF,Stud2-Mid-HF,Stud2-Mid-CF,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4
0,15.56,-8.49,0,-8.29,0,0,-7.45,0,0,-7.1,0,0,0,0,0,0,0,0,0,2293.7,19.17,19.18,19.48,19.6,19.62,19.4,19.53,19.22,19.17,19.41,19.61,23.67,19.33,20.13,19.97,19.98,20.37,19.79,19.52,19.34,20.14,20.01,19.99,33.09,19.09,19.36,19.37,19.92,19.8,19.924707,19.675383,19.446865,20.42552,19.158724,19.730999,19.31,19.09,19.29,19.19,19.11,19.54,19.86,19.59,19.44,19.78,19.57,19.51,19.95,19.51,28.38,19.28,19.45,19.63,19.92,19.9
1.01,15.52,-8.48,0.01,-8.31,-0.02,0.02,-7.47,-0.02,0.02,-7.13,-0.03,-0.17,-0.17,-0.17,-0.17,-0.39,-0.39,-0.35,-0.35,2293.71,19.31,19.17,19.47,19.58,19.59,19.39,19.53,19.23,19.27,19.39,19.59,378.7,19.35,20.11,19.97,19.95,20.35,20.18,19.55,19.32,20.13,20.02,19.94,191.66,19.16,19.35,19.34,19.97,19.81,19.932354,19.673992,19.433653,20.390549,19.15432,19.730072,19.3,19.08,19.27,19.15,19.12,19.56,19.81,19.59,19.44,19.78,19.54,19.51,19.92,19.5,285.18,19.34,19.44,19.64,19.97,19.87
2.02,15.51,-8.54,-0.05,-8.31,-0.02,0.02,-7.47,-0.02,0.02,-7.15,-0.05,-0.48,-0.48,-0.36,-0.36,-0.71,-0.71,-0.79,-0.79,2293.71,20.98,19.17,19.47,19.58,19.58,19.39,19.56,20.93,22.08,19.38,19.58,485.01,20.52,20.12,20,19.94,20.35,20.25,20.44,19.32,20.11,20,19.93,391.18,21.04,19.39,19.34,19.94,19.79,19.954132,19.665417,19.430872,20.393097,19.145277,19.711302,19.33,19.08,19.26,19.14,19.14,19.56,19.82,19.6,19.42,19.77,19.55,19.51,19.88,19.51,438.1,20.74,19.78,20.2,19.94,19.86
3.04,15.56,-8.54,-0.05,-8.31,-0.02,0.02,-7.47,-0.02,0.02,-7.15,-0.05,-0.16,-0.16,-0.54,-0.54,-0.91,-0.91,-0.99,-0.99,2293.71,31.63,19.19,19.57,19.58,19.6,19.43,19.65,23.66,21.05,19.38,19.59,500.26,29.62,20.15,20.64,19.93,20.37,20.3,26.85,19.34,20.12,19.99,19.94,483.02,29.42,19.49,19.48,19.91,19.75,20.076456,19.702263,19.48905,20.358124,19.222477,19.709448,19.42,19.08,19.26,19.13,19.26,19.53,19.81,19.59,19.48,19.78,19.62,19.5,19.81,19.5,491.64,29.38,20.37,20.17,19.91,19.87
4.05,15.39,-8.52,-0.03,-8.29,0,0,-7.42,0.03,-0.03,-7.13,-0.03,-0.29,-0.29,-0.67,-0.67,-1.15,-1.15,-1.18,-1.18,2293.71,50.24,19.38,19.52,19.57,19.6,19.63,19.78,27.25,22.66,19.36,19.58,539.22,47.78,20.31,20.97,19.92,20.38,20.32,39.8,19.47,20.12,19.97,19.93,523.74,45.82,19.69,19.44,19.87,19.71,20.386612,19.74073,19.69902,20.333111,19.424614,19.704117,19.72,19.08,19.25,19.12,19.58,19.52,19.8,19.6,19.73,19.76,19.84,19.49,19.49,19.52,531.48,45.91,21.22,20.54,19.87,19.87
5.06,15.42,-8.53,-0.04,-8.29,0,0,-7.41,0.04,-0.04,-7.13,-0.03,-0.4,-0.4,-0.81,-0.81,-1.41,-1.41,-1.39,-1.39,811.86,65.07,20.33,19.78,19.57,19.6,20.46,19.89,33.55,24.97,19.39,19.57,605.69,61.6,21.1,20.96,19.91,20.36,20.39,54.01,20.02,20.17,19.95,19.9,545.62,63.59,20.35,19.54,19.87,19.71,21.229336,19.859138,20.395876,20.279606,20.041243,19.728218,20.62,19.12,19.28,19.13,20.3,19.52,19.8,19.66,20.64,19.82,20.47,19.49,18.53,19.56,575.65,61.07,23.07,21.08,19.87,19.86
6.07,15.42,-8.51,-0.02,-8.3,-0.01,0.01,-7.41,0.04,-0.04,-7.14,-0.04,-0.51,-0.51,-0.86,-0.86,-1.48,-1.48,-1.59,-1.59,964.33,71.51,22.78,20.28,19.58,19.6,22.71,19.95,42.52,28.71,19.39,19.57,588.44,68.78,23.37,21.07,19.91,20.38,20.42,62.97,21.51,20.35,19.95,19.91,566.61,71.93,22.18,19.89,19.86,19.74,23.107727,20.086649,21.870693,20.195061,21.267059,19.798429,22.58,19.27,19.38,19.12,21.68,19.6,19.81,19.85,22.35,19.95,21.67,19.57,16.44,19.74,577.53,68.8,26.47,22.06,19.86,19.86
7.08,15.5,-8.51,-0.02,-8.32,-0.03,0.03,-7.41,0.04,-0.04,-7.12,-0.02,-0.66,-0.66,-0.9,-0.9,-1.56,-1.56,-1.77,-1.77,1583.01,74.91,27.12,21.32,19.56,19.59,26.8,19.97,52.02,28.63,19.38,19.57,605.73,72.16,26.9,21.91,19.89,20.39,20.43,67.52,24.66,20.85,19.93,19.91,578.83,75.95,25.91,20.68,19.87,19.74,26.288845,20.546173,24.222219,19.957376,23.210079,19.944633,25.66,19.61,19.62,19.11,23.78,19.72,19.8,20.34,24.93,20.3,23.49,19.76,12.98,20.19,592.28,72.63,31.32,22.68,19.87,19.86
8.1,14.37,-8.3,0.19,-8.18,0.11,-0.11,-7.23,0.22,-0.22,-6.86,0.24,-0.77,-0.77,-1.02,-1.02,-1.71,-1.71,-1.89,-1.89,2293.71,77.32,32.83,22.81,19.58,19.61,32.11,19.98,58.58,34.53,19.39,19.63,620.25,74.87,32.02,23.36,19.89,20.4,20.45,70.85,28.44,21.63,19.92,19.91,613.97,80.5,31.09,21.93,19.91,19.74,30.746742,21.468151,27.386723,19.445705,25.692692,20.25297,29.91,20.39,19.84,19.11,26.58,19.99,19.81,21.48,28.13,20.95,25.83,20.08,8.7,21,617.11,75.89,36.59,24.85,19.91,19.89
9.11,14.49,-8.32,0.17,-8.18,0.11,-0.11,-7.23,0.22,-0.22,-6.87,0.23,-0.9,-0.9,-1.14,-1.14,-1.88,-1.88,-2.07,-2.07,2293.71,78.71,39.27,24.8,19.59,19.61,37.94,19.98,62.98,39.22,19.38,19.77,636.82,77.46,37.78,25.42,19.9,20.4,20.49,73.07,32.79,22.92,19.94,19.89,624.04,83.23,36.72,23.73,19.99,19.8,36.343132,23.229715,31.202713,,28.452662,20.729563,35.19,21.94,20.04,19.11,30.04,20.43,19.83,23.59,31.84,22.18,28.61,20.8,3.94,22.22,630.43,78.12,41.91,27.22,19.99,19.92
