Time in Minutes,Load in bar,Load in kN,Stud1-Axial-O,Stud1-Axial,Stud2-Axial-O,Stud2-Axial,Stud3-Axial-O,Stud3-Axial,Stud4-Axial-O,Stud4-Axial,Stud1-Bottom-O,Stud1-Bottom,Stud2-Bottom-O,Stud2-Bottom,Stud3-Bottom-O,Stud3-Bottom,Stud4-Bottom-O,Stud4-Bottom,Stud1-Mid-O,Stud1-Mid,Stud2-Mid-O,Stud2-Mid,Stud3-Mid-O,Stud3-Mid,Stud4-Mid-O,Stud4-Mid,Stud1-Top-O,Stud1-Top,Stud2-Top-O,Stud2-Top,Stud3-Top-O,Stud3-Top,Stud4-Top-O,Stud4-Top,Pb1-Mid-Left,Pb1-Pb2-Mid-Left,Pb1-Mid-Mid,Pb1-Pb2-Mid-Mid,Pb2-Mid-Mid,Pb3-Mid-Mid,Pb2-Mid-L,Pb3-Pb4-Mid-Mid,Pb1-Mid-Right,Pb1-Pb2-Mid-Right,Pb2-Mid-Right,Pb3-Mid-Right,Pb3-Pb4-Mid-Right,Pb3-Mid-Left,Pb3-Pb4-Mid-Left,Pb4-Top-Left,Pb4-Top-Right,Pb4-Bottom-Left,Pb4-Bottom-Right,Pb4-Mid-Mid,Stud4-Mid-HF,Stud1-Mid-HF,Stud3-Mid-CF,Stud2-Mid-HF,Stud2-Mid-CF,Stud3-Mid-HF,Stud1-Mid-CF,Stud4-Mid-CF,Stud1-Mid-HF,Stud2-Mid-HF,Stud3-Mid-HF,Stud4-Mid-HF,Stud1-Mid-CF,Stud2-Mid-CF,Stud3-Mid-CF,Stud4-Mid-CF,Stud2-T-HF,Stud3-T-HF,Stud2-Mid-HF,Stud3-Mid-HF,Stud2-L-HF,Stud3-L-HF,Stud2-T-CF,Stud3-T-CF,Stud2-Mid-CF,Stud3-Mid-CF,Stud2-L-CF,Stud3-L-CF,Stud2-Mid-HF,Stud3-Mid-HF,Stud2-Mid-CF,Stud3-Mid-CF,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4
0,-0.285714286,14.96525974,-4.147744786,0,-4.892213536,0,-5.481828501,0,-6.076428645,0,1.290517683,0,-0.727984737,0,-0.14422592,0,-0.111361746,0,1.66521029,0,0.903893734,0,0.151636511,0,-0.044638151,0,0.002378593,0,-0.231231231,0,-0.264699939,0,0.050214242,0,20.7083067,20.17443002,18.50043478,17.86982561,17.86982561,19.15539761,17.89407807,19.51930962,18.54894707,17.91833067,18.06384919,19.13113792,19.47078621,19.25243775,19.42226336,20.65976968,20.7083067,20.27149351,20.41709291,20.39282599,22.35889578,22.67452261,23.06301856,22.40745222,22.79592378,22.69880257,23.01445463,22.67452261,24.83598125,24.9331512,25.63769944,24.61735696,24.37445421,24.30158609,24.49590386,24.08298918,17.60305771,17.8213211,24.9331512,25.63769944,17.33630663,20.46562715,17.96683629,18.28213636,24.30158609,24.49590386,20.58696519,20.78111327,24.9331512,25.63769944,24.30158609,24.49590386,19.25256285,18.65419543,17.94258429,19.17965776,19.4707864,19.73767528
1,-2.030075188,15.08279221,-4.133360732,-0.014384054,-4.967918124,0.075704588,-5.572737592,0.090909091,-6.063098068,-0.013330577,1.16719631,-0.123321373,-0.18676574,-0.541218997,0.300554715,-0.444780635,-0.255686071,-0.144324325,1.388383013,-0.276827277,-0.000709795,-0.904603529,-0.719699126,-0.871335637,-0.426555848,-0.381917697,-0.002319128,0.004697721,0.45045045,-0.681681681,-1.004243281,-0.739543342,-0.276841461,-0.327055703,434.610545,27.82496729,502.3545297,22.26178454,18.40341187,17.99108931,18.33064615,18.28213636,434.5161852,22.69880257,17.84557329,17.99108931,18.18511845,18.01534246,18.23362713,20.5626973,20.5626973,20.17443002,20.24722743,20.34429258,22.43173066,22.69880257,23.08730074,22.45600923,22.86876615,22.7473629,23.06301856,22.7473629,24.83598125,24.9331512,25.63769944,24.61735696,24.37445421,24.30158609,24.49590386,24.08298918,18.13661033,18.28213636,24.9331512,25.63769944,16.77860872,21.63061561,17.19081313,17.36055603,24.30158609,24.49590386,21.72771242,21.41215592,24.9331512,25.63769944,24.30158609,24.49590386,457.16042,24.26185147,18.19321044,17.99917369,18.23362731,18.48103284
2,-2.022556391,15.10941558,-4.098428028,-0.049316758,-4.931197285,0.038983749,-5.532081313,0.050252812,-6.015355999,-0.061072646,0.891440287,-0.399077396,0.036148208,-0.764132945,0.479072113,-0.623298033,-0.489490644,-0.378128898,1.014066966,-0.651143324,-0.317258163,-1.221151897,-1.011689368,-1.163325879,-0.762801541,-0.71816339,0.001337958,0.001040635,0.814814815,-1.046046046,-1.333602748,-1.068902809,-0.633319731,-0.683533973,576.7400962,39.28969822,482.4133569,30.28089416,18.57320343,17.96683629,18.52469086,18.20937272,434.7049034,32.49485508,17.96683629,17.94258341,18.13661033,17.99108931,18.20937272,20.46562715,20.48989448,20.05310379,20.19869568,20.19869568,22.79592378,22.48028794,22.86876615,22.82020443,23.20871369,22.50456679,22.82020443,23.13586551,24.95744403,25.39473865,26.75549687,25.00603011,24.22871921,24.47161365,24.49590386,24.30158609,18.33064615,18.50043478,25.39473865,26.75549687,16.89984114,21.72771242,17.26355925,17.33630663,24.47161365,24.49590386,21.80053648,21.41215592,25.39473865,26.75549687,24.47161365,24.49590386,497.9527855,34.02181582,18.35491019,17.96683634,18.18511859,18.47133116
3,-2.293233083,15.12305195,-4.076851947,-0.070892839,-4.927082905,0.034869369,-5.520730575,0.038902074,-5.980944508,-0.095484137,0.676063557,-0.614454126,0.399638518,-1.127623255,0.748361069,-0.892586989,-0.684573805,-0.573212059,0.655002042,-1.010208248,-0.76759278,-1.671486514,-1.411953649,-1.56359016,-1.068376242,-1.023738091,-0.006392468,0.008771061,1.303303303,-1.534534534,-1.768033946,-1.503334007,-1.01152826,-1.061742502,606.5593959,59.22086696,518.1789243,45.48467896,19.64062057,17.96683629,19.47078621,18.16086432,500.2234275,49.00051013,20.68403812,17.94258341,18.11235648,17.96683629,18.18511845,20.39282599,20.36855922,19.98030971,20.05310379,20.17443002,22.77164327,22.60168357,23.01445463,22.79592378,23.18443083,22.67452261,22.99017287,23.08730074,25.37044333,26.07506367,28.35980239,25.54051347,24.25300803,24.64164799,24.61735696,24.42303365,18.71874447,19.00984156,26.07506367,28.35980239,17.38480557,22.31033988,17.40905525,17.26355925,24.64164799,24.61735696,21.58206804,21.75198697,26.07506367,28.35980239,24.64164799,24.61735696,541.6539159,51.23535202,19.93181497,17.958752,18.15277975,18.47618288
4,-3.368421053,14.8237013,-3.991575054,-0.156169732,-4.873904546,-0.01830899,-5.448911361,-0.03291714,-5.8953808,-0.181047845,0.341568426,-0.948949257,0.759112361,-1.487097098,1.110438729,-1.254664649,-1.032214137,-0.920852391,0.151490404,-1.513719886,-1.288744677,-2.192638411,-1.896442366,-2.048078877,-1.563004257,-1.518366106,-0.006342914,0.008721507,1.873873874,-2.105105105,-2.293392605,-2.028692666,-1.513364619,-1.563578861,604.2805688,73.28886914,547.7075792,65.66207807,24.30158609,17.91833067,26.85271043,18.11235648,517.6640748,65.46603084,29.52694604,17.91833067,18.06384919,17.96683629,18.16086432,20.27149351,20.29575973,19.88325289,19.98030971,20.05310379,22.60168357,22.86876615,23.25727984,22.62596311,23.01445463,22.91732842,23.2329967,22.96589125,26.48817093,27.53326711,30.49980696,26.24516183,24.37445421,24.71452193,24.95744403,24.47161365,19.39800214,20.51416195,27.53326711,30.49980696,18.54894707,22.89304722,17.40905525,17.36055603,24.71452193,24.95744403,21.89763718,21.55779447,27.53326711,30.49980696,24.71452193,24.95744403,556.550741,68.13899268,26.89374752,17.93449921,18.11235666,18.44222523
5,-4.263157895,14.76915584,-3.946368026,-0.20137676,-4.825252006,-0.06696153,-5.41537509,-0.066453411,-5.85053219,-0.225896455,0.122091235,-1.168426448,0.933828698,-1.661813435,1.295007564,-1.439233484,-1.232525988,-1.121164242,-0.195018375,-1.860228665,-1.571709592,-2.475603326,-2.214637121,-2.366273632,-1.865984188,-1.821346037,0.00172448,0.000654113,2.215215215,-2.446446446,-2.628813902,-2.364113963,-1.817935115,-1.868149357,615.1633082,80.63092617,599.9124482,75.81705271,38.82663586,17.94258341,51.59023419,18.11235648,557.1157181,73.31340932,46.63191522,17.89407807,18.06384919,18.23362713,18.08810277,20.19869568,20.27149351,19.81046174,19.98030971,19.93178103,22.94160977,22.62596311,22.99017287,22.96589125,23.35441381,22.62596311,22.94160977,23.28156313,28.62724488,31.27825321,32.81122729,28.01944508,24.37445421,25.2975582,25.22467431,24.71452193,20.8539211,23.57297334,31.27825321,32.81122729,20.58696519,24.59306606,17.23931041,17.72431376,25.2975582,25.22467431,21.99474009,21.70343801,31.27825321,32.81122729,25.2975582,25.22467431,590.7304915,76.5871294,45.68292842,18.02342954,18.08810281,18.41311831
6,-4.443609023,13.61655844,-3.870338025,-0.277406761,-4.746153055,-0.146060481,-5.331173254,-0.150655247,-5.777059006,-0.299369639,-0.163095848,-1.453613531,1.183853801,-1.911838538,1.571356531,-1.715582451,-1.493128898,-1.381767152,-0.618966925,-2.284177215,-1.964124924,-2.868018658,-2.589632039,-2.74126855,-2.21125076,-2.166612609,-0.004291378,0.006669971,2.642642643,-2.873873874,-3.018791675,-2.754091736,-2.165007141,-2.215221383,655.6875387,84.76006183,613.5640912,81.2697843,55.25732828,18.28213636,68.87336621,18.08810277,592.2846781,76.82371948,59.63697566,17.96683629,18.01534246,19.83472532,18.06384919,20.1501645,20.19869568,19.761935,19.93178103,19.90751689,22.89304722,22.67452261,23.08730074,22.91732842,23.33013011,22.69880257,23.01445463,23.25727984,32.73821628,37.85192488,36.19540717,30.67008013,25.00603011,26.05076448,26.07506367,24.49590386,24.05870133,26.90131804,37.85192488,36.19540717,24.3501647,27.26589268,17.67581092,17.67581092,26.05076448,26.07506367,22.16467553,21.89763718,37.85192488,36.19540717,26.05076448,26.07506367,620.5121026,80.95118854,61.25589005,18.69456599,18.05576481,18.39856463
7,-4.165413534,14.75357143,-3.843624782,-0.304120004,-4.71673524,-0.175478296,-5.320751212,-0.161077289,-5.746884365,-0.32954428,-0.396719631,-1.687237314,1.361582488,-2.089567225,1.754916793,-1.899142713,-1.716413721,-1.605051975,-0.937811352,-2.603021642,-2.272500507,-3.176394241,-2.882374466,-3.034010977,-2.473363065,-2.428724914,0.001942517,0.000436076,2.970970971,-3.202202202,-3.338048091,-3.073348152,-2.424954091,-2.475168333,678.0947717,87.3174992,632.1404913,83.94877303,67.96616878,19.761935,76.70094613,18.06384919,596.8841199,79.32884103,68.21134245,18.33064615,18.03959576,23.50011891,18.03959576,20.07736876,20.12589911,19.66488318,19.83472532,19.83472532,22.94160977,22.77164327,23.1601481,22.94160977,23.35441381,22.82020443,23.13586551,23.25727984,37.43773739,47.24226291,40.21596671,35.36738114,25.05461674,27.58188243,26.43956801,25.07891027,28.14099817,31.42422745,47.24226291,40.21596671,28.87038884,30.86468623,17.77281715,18.33064615,27.58188243,26.43956801,22.52884577,22.26178454,47.24226291,40.21596671,27.58188243,26.43956801,635.706461,83.53170442,70.95948579,20.53090002,18.04768024,18.37916152
8,-4.120300752,14.92045455,-3.755265591,-0.392479195,-4.64339642,-0.248817116,-5.239335466,-0.242493035,-5.662044022,-0.414384623,-0.648487955,-1.939005638,1.635706396,-2.363691133,2.027231467,-2.171457387,-1.958929314,-1.847567568,-1.292711311,-2.957921601,-2.718272156,-3.62216589,-3.250335434,-3.401971945,-2.816359213,-2.771721062,0.001625372,0.000753221,3.39039039,-3.621621621,-3.69367549,-3.428975551,-2.761416038,-2.81163028,693.6344997,89.06399484,658.5752285,85.69439682,75.52245085,22.99017287,80.11497298,18.06384919,618.5038892,81.90870717,73.58335822,19.54357153,17.96683629,27.87358591,18.16086432,20.02883896,20.02883896,19.6163581,19.71340881,19.7861983,22.91732842,22.91732842,23.35441381,22.89304722,23.30584655,22.96589125,23.30584655,23.20871369,42.72760061,57.53230774,45.5578983,41.3374947,25.54051347,29.3810358,27.26589268,25.56480975,34.00391339,36.14669546,57.53230774,45.5578983,34.95342652,35.19692451,18.59745992,18.71874447,29.3810358,27.26589268,23.11158305,22.79592378,57.53230774,45.5578983,29.3810358,27.26589268,656.9045391,85.55569961,76.40692735,23.46911011,18.06384993,18.34035272
9,-4.609022556,15.36006494,-3.676153293,-0.471591493,-4.567177535,-0.325036001,-5.156165514,-0.325662987,-5.56862664,-0.507802005,-0.851870835,-2.142388518,1.943970278,-2.671955015,2.280383258,-2.424609178,-2.148950104,-2.037588358,-1.617415272,-3.282625562,-3.168890692,-4.072784426,-3.631713763,-3.783350274,-3.155706467,-3.111068316,-0.00555996,0.007938553,3.817817818,-4.049049049,-4.0513235,-3.786623561,-3.094817384,-3.145031626,697.044054,91.20466075,678.4511991,86.85020249,80.01670103,27.29019876,82.59684979,18.13661033,633.2485908,83.82585926,77.41306658,21.89763718,18.03959576,32.54352623,18.25788167,19.90751689,19.9560453,19.49504785,19.66488318,19.66488318,23.03873653,22.86876615,23.25727984,23.03873653,23.45154999,22.89304722,23.20871369,23.40298162,48.17014447,66.81400048,51.76130329,48.60973153,26.31806311,32.12983877,28.4327396,26.26946212,40.58165165,41.92275045,66.81400048,51.76130329,40.84983951,40.36223712,19.17965744,20.05310379,32.12983877,28.4327396,23.84011688,23.81583041,66.81400048,51.76130329,32.12983877,28.4327396,669.5812813,87.29357417,80.00887247,27.24378739,18.14469592,18.32580035
