,Time in Minutes,Pressure,Load in kN,O-Stud3-Top,Stud3-Top,O-Stud3-Mid,Stud3-Mid,O-Stud3-Bottom,Stud3-Bottom,O-Stud4-Top,Stud4-Top,O-Stud4-Mid,Stud4-Mid,O-Stud4-Bottom,Stud4-Bottom,O-Stud2-Axial,Stud2-Axial,O-Stud3-Axial,Stud3-Axial,O-Stud4-Axial,Stud4-Axial,O-Stud5-Axial,Stud5-Axial,Pb1-Top-Left,Pb1-Top-Right,Pb1-Mid-Mid,Pb1-Bottom-Left,Pb1-Bottom-Right,Pb1-Pb2-Mid-Left,Pb1-Pb2-Mid-Mid,Pb1-Pb2-Mid-Right,Pb2-Top-Left,Pb2-Top-Right,Pb2-Mid-Mid,Pb2-Bottom-Left,Pb2-Bottom-Right,Pb3-Top-Left,Pb3-Top-Right,Pb3-Mid-Mid,Pb3-Bottom-Left,Pb3-Bottom-Right,Pb3-Pb4-Mid-Left,Pb3-Pb4-Mid-Mid,Pb3-Pb4-Mid-Right,Pb4-Top-Left,Pb4-Top-Right,Pb4-Mid-Mid,Pb4-Bottom-Left,Pb4-Bottom-Right,Pb4-Top of Pb Joint (between Studs 3 & 4),Pb4-Top of Stud 4,Stud2-Mid-Fire-HF,Stud2-Mid-Fire-CF,Stud2-Mid-Amb-HF,Stud2-Mid-Amb-CF,Stud3-Top-Fire-HF,Stud3-Top-Fire-CF,Stud3-Top-Amb-HF,Stud3-Top-Amb-CF,Stud3-Mid-Fire-HF,Stud3-Mid-Fire-CF,Stud3-Mid-Amb-HF,Stud3-Mid-Amb-CF,Stud3-Bottom-Fire-HF,Stud3-Bottom-Fire-CF,Stud3-Bottom-Amb-HF,Stud3-Bottom-Amb-CF,Stud4-Top-Fire-HF,Stud4-Top-Fire-CF,Stud4-Top-Amb-CF,Stud4-Top-Amb-HF,Stud4-Mid-Fire-HF,Stud4-Mid-Fire-CF,Stud4-Mid-Amb-HF,Stud4-Mid-Amb-CF,Stud4-Bottom-Fire-HF,Stud4-Bottom-Fire-CF,Stud4-Bottom-Amb-HF,Stud4-Bottom-Amb-CF,Stud5-Mid-Fire-HF,Stud5-Mid-Fire-CF,Stud5-Mid-Amb-HF,Stud5-Mid-Amb-CF,Furnace-Top-Left,Furnace-Top-Right,Furnace-Bottom-Left,Furnace-Bottom-Right,Average-Furnace,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4
42696.43609,0,-90.72686,28.30628453,1.934231,0,1.898105,0,1.34312,0,1.861981,0,1.75364,0,1.119814,0,7.784597,0,7.814085,0,7.302732,0,7.096632,0,38.46209,32.593948,30.608398,33.134277,29.843163,24.825872,24.191288,25.100821,22.775427,21.693268,22.007154,20.419498,22.184067,21.688179,21.295525,21.603968,21.067322,21.222162,21.12426,20.987694,20.782351,21.280481,20.948341,21.315889,21.25757,20.757809,21.392254,21.062923,21.886652,21.576435,21.267059,20.797632,22.872725,21.694193,20.940239,20.909681,21.959511,21.479027,21.302698,21.118937,22.050402,21.334402,21.567411,20.749012,21.177958,21.781637,21.206656,21.370966,21.897755,21.617386,20.690434,21.026119,22.124638,21.584764,20.902273,20.811754,21.059219,21.189066,20.608002,20.612864,46.846066,44.165104,35.901226,36.454041,40.84160925,32.9283752,24.70599367,22.15861633,21.4524585,20.96476833,21.14503814
42696.43678,1,-88.099236,28.30628453,1.947367,0.013136,1.894821,-0.003284,1.352971,0.009851,1.852129,-0.009852,1.747072,-0.006568,1.142801,0.022987,7.816616,0.032019,7.845283,0.031198,7.356918,0.054186,7.151638,0.055006,134.028183,120.207283,144.912109,258.445862,130.603958,24.971197,24.365778,25.307447,22.84453,21.751797,22.072603,20.263161,22.225922,21.703909,21.313112,21.608826,20.974962,21.249239,21.120325,20.963388,20.786751,21.227022,20.918941,21.25271,21.210127,20.717985,21.34042,21.01038,21.951647,21.640289,21.274696,20.812449,22.925644,21.738148,20.966166,20.923573,22.001373,21.527847,21.311724,21.111067,22.106136,21.295988,21.456814,20.757809,21.138147,21.84178,21.226097,21.384619,21.96113,21.688179,20.718912,21.04973,22.199329,21.619699,20.857363,20.825413,21.019638,21.327923,20.649681,20.617495,188.64566,170.658752,206.362061,136.423386,175.5224648,157.639479,24.881474,22.22297667,21.4687715,20.95682133,21.09679786
42696.43679,1,-88.063705,28.29486842,1.973638,0.039407,1.898105,0,1.362823,0.019703,1.871833,0.009852,1.747072,-0.006568,1.139517,0.019703,7.810868,0.026271,7.845283,0.031198,7.356918,0.054186,7.152459,0.055827,134.028183,120.207283,144.912109,258.445862,130.603958,24.971197,24.365778,25.307447,22.84453,21.751797,22.072603,20.263161,22.225922,21.703909,21.313112,21.608826,20.974962,21.249239,21.120325,20.963388,20.786751,21.227022,20.918941,21.25271,21.210127,20.717985,21.34042,21.01038,21.951647,21.640289,21.274696,20.812449,22.925644,21.738148,20.966166,20.923573,22.001373,21.527847,21.311724,21.111067,22.106136,21.295988,21.456814,20.757809,21.138147,21.84178,21.226097,21.384619,21.96113,21.688179,20.718912,21.04973,22.199329,21.619699,20.857363,20.825413,21.019638,21.327923,20.649681,20.617495,188.64566,170.658752,206.362061,136.423386,175.5224648,157.639479,24.881474,22.22297667,21.4687715,20.95682133,21.09679786
42696.43748,2,-86.150536,27.68016722,1.960503,0.026272,1.894821,-0.003284,1.362823,0.019703,1.848845,-0.013136,1.750356,-0.003284,1.142801,0.022987,7.835498,0.050901,7.869912,0.055827,7.378264,0.075532,7.191867,0.095235,211.040054,205.505341,254.587646,221.85791,193.555756,26.86095,25.964653,27.420553,22.965853,21.781174,22.130419,20.163559,22.274017,21.720104,21.333477,21.62826,20.924728,21.248777,21.134212,20.963156,20.790918,21.250397,20.941397,21.277937,21.20735,20.719839,21.34551,21.020102,22.014093,21.68679,21.298765,20.810596,23.024315,21.775854,20.975889,20.936768,22.047626,21.565098,21.324221,21.119169,22.185686,21.269836,21.385313,20.761515,21.125881,21.891972,21.223087,21.405676,22.03352,21.749945,20.728868,21.078663,22.260605,21.670364,20.854353,20.828886,20.974962,21.359163,20.664038,20.629305,353.898621,299.968567,281.159576,266.063599,300.2725908,217.3093414,26.74871867,22.292482,21.4826545,20.962762,21.10893314
42696.43749,2,-86.126038,27.67229601,1.960503,0.026272,1.894821,-0.003284,1.356255,0.013135,1.858697,-0.003284,1.747072,-0.006568,1.152653,0.032839,7.832214,0.047617,7.869912,0.055827,7.376622,0.07389,7.193509,0.096877,211.040054,205.505341,254.587646,220.082321,199.793076,27.24955,26.246454,27.843454,22.967934,21.785337,22.130419,20.163559,22.274017,21.720104,21.316814,21.622244,20.924728,21.25757,21.115696,20.963156,20.790918,21.250397,20.933525,21.277937,21.207813,20.719839,21.337412,21.020102,22.022186,21.68679,21.298765,20.800409,23.030554,21.775854,20.975889,20.921488,22.047626,21.568106,21.321907,21.119169,22.179905,21.269836,21.385313,20.760818,21.128195,21.891972,21.223087,21.390635,22.031439,21.749945,20.733961,21.078663,22.253901,21.670364,20.854353,20.824488,20.974962,21.345974,20.664038,20.613327,371.336609,299.968567,291.551697,266.063599,307.230118,218.2016876,27.11315267,22.29456333,21.479183,20.95659,21.10671786
42696.43818,3,-85.749054,27.55117105,1.947367,0.013136,1.888253,-0.009852,1.356255,0.013135,1.850487,-0.011494,1.747072,-0.006568,1.152653,0.032839,7.842066,0.057469,7.87648,0.062395,7.386474,0.083742,7.201719,0.105087,283.260773,255.088577,307.316742,250.545303,229.223495,34.67865,33.619194,37.271107,23.295324,21.851032,22.22176,20.025259,22.334827,21.74925,21.341808,21.65579,20.843472,21.260347,21.124493,20.949266,20.780268,21.239058,20.930285,21.278862,21.200176,20.696222,21.346668,21.009686,22.191004,21.714783,21.307558,20.827267,23.234106,21.850338,20.991398,20.957832,22.089254,21.606743,21.351065,21.137686,22.298063,21.237667,21.286036,20.748316,21.116854,21.940313,21.239058,21.428583,22.148918,21.78557,20.755495,21.094866,22.366734,21.691187,20.825413,20.830971,20.951815,21.387627,20.67631,20.622358,473.079254,397.899872,368.637604,373.174133,403.1977158,265.086978,35.18965033,22.45603867,21.50179875,20.95134233,21.10013671
42696.43819,3,-85.740891,27.54854828,1.953935,0.019704,1.894821,-0.003284,1.359539,0.016419,1.852129,-0.009852,1.750356,-0.003284,1.142801,0.022987,7.83714,0.052543,7.873196,0.059111,7.386474,0.083742,7.201719,0.105087,283.260773,255.088577,307.316742,250.545303,229.223495,34.67865,33.619194,37.271107,23.295324,21.851032,22.22176,20.025259,22.334827,21.74925,21.341808,21.65579,20.843472,21.260347,21.124493,20.949266,20.780268,21.239058,20.930285,21.278862,21.200176,20.696222,21.346668,21.009686,22.191004,21.714783,21.307558,20.827267,23.234106,21.850338,20.991398,20.957832,22.089254,21.606743,21.351065,21.137686,22.298063,21.237667,21.286036,20.748316,21.116854,21.940313,21.239058,21.428583,22.148918,21.78557,20.755495,21.094866,22.366734,21.691187,20.825413,20.830971,20.951815,21.387627,20.67631,20.622358,473.079254,397.899872,368.637604,373.174133,403.1977158,265.086978,35.18965033,22.45603867,21.50179875,20.95134233,21.10013671
42696.43888,4,-92.47493,29.71219501,2.072156,0.137925,2.118128,0.220023,1.497463,0.154343,1.996621,0.13464,1.917838,0.164198,1.270873,0.151059,8.027611,0.243014,8.08501,0.270925,7.645909,0.343177,7.436523,0.339891,330.409943,304.926697,388.576141,289.65625,282.723846,47.868553,56.314995,56.252037,24.181133,21.978939,22.519779,19.757647,22.471695,21.819342,21.390865,22.063585,20.754337,21.287888,21.121946,20.966398,20.773554,21.239752,20.924728,21.263819,21.195547,20.706177,21.338568,20.999731,22.581963,21.797136,21.364023,20.837221,23.736238,21.965755,21.038157,20.974499,22.475163,21.692343,21.409842,21.190454,22.612938,21.197166,21.170088,20.777721,21.099958,22.075611,21.28974,21.49291,22.577803,21.878326,20.805504,21.132362,22.667257,21.741617,20.81407,20.856436,20.933064,21.268448,20.705715,20.641346,545.702026,460.981018,445.655945,442.69165,473.7576598,319.2585754,53.47852833,22.89328367,21.64042,20.953966,21.09547457
42696.43889,4,-92.452644,29.70503452,2.070514,0.136283,2.118128,0.220023,1.497463,0.154343,1.99498,0.132999,1.912913,0.159273,1.270873,0.151059,8.022684,0.238087,8.086652,0.272567,7.645909,0.343177,7.436523,0.339891,329.291992,306.108368,391.254578,289.65625,282.723846,47.868553,56.314995,56.252037,24.181133,21.978939,22.522322,19.754402,22.475163,21.816336,21.390865,22.063585,20.755495,21.287888,21.121946,20.969639,20.779341,21.232346,20.924728,21.272614,21.195547,20.694138,21.338568,21.002741,22.581963,21.802456,21.369114,20.837221,23.736238,21.974081,21.03862,20.974499,22.469614,21.692343,21.409842,21.183975,22.612938,21.196703,21.180271,20.777721,21.099958,22.083935,21.290434,21.49291,22.577803,21.875319,20.805504,21.130972,22.667257,21.745781,20.80805,20.856436,20.940239,21.268448,20.715672,20.641346,545.702026,462.075134,445.655945,443.798981,474.3080215,319.8070068,53.47852833,22.89413133,21.6396685,20.95697533,21.09438314
42696.43958,5,-90.707222,29.14423043,2.068872,0.134641,2.118128,0.220023,1.484328,0.141208,1.963782,0.101801,1.901419,0.147779,1.274157,0.154343,8.034179,0.249582,8.106356,0.292271,7.675466,0.372734,7.461153,0.364521,392.380707,375.882202,425.386047,339.541748,316.284393,63.50338,74.79248,74.926727,26.041389,22.467764,23.8099,19.262119,22.825348,21.966217,21.568569,23.667885,20.620737,21.375362,21.132593,20.99024,20.773321,21.229799,20.922876,21.262894,21.190687,20.704325,21.344353,21.002047,23.606686,21.937538,21.447327,20.910145,25.026554,22.208811,21.11639,21.038157,23.054354,21.875088,21.544506,21.276548,23.328129,21.203648,21.098801,20.810596,21.084681,22.331358,21.353609,21.589161,23.74132,22.007616,20.930517,21.226097,23.407129,21.838541,20.781425,20.869864,20.987694,21.334866,20.783972,20.681635,576.16687,530.6745,504.957672,501.067932,528.2167435,369.8950194,71.07419567,24.106351,22.14450825,20.96538467,21.09385443
