TimeStamp,Time in Minutes,Kyowa PG 500 KUM -Load in bar-(bar),Load in kN,O-Stud2-Axial,Stud2-Axial,O-Stud3-Axial,Stud3-Axial,O-Stud4-Axial,Stud4-Axial,O-Stud5-Axial,Stud5-Axial,O-Stud3-Top,Stud3-Top,O-Stud3-Mid,Stud3-Mid,O-Stud3-Bottom,Stud3-Bottom,O-Stud4-Top,Stud4-Top,O-Stud4-Mid,Stud4-Mid,O-Stud4-Bottom,Stud4-Bottom,Pb1-Top-Right,Pb1-Top-Left,Pb1-Mid-Mid,Pb1-Bottom-Right,Pb1-Bottom-Left,Pb1-Pb2-Mid-Right,Pb1-Pb2-Mid-Mid,Pb1-Pb2-Mid-Left,Pb2-Mid-Right,Pb2-Mid-Mid,Pb2-Mid-Left,Pb3-Mid-Right,Pb3-Mid-Mid,Pb3-Mid-Left,Pb3-Pb4-Mid-Right,Pb3-Pb4-Mid-Mid,Pb3-Pb4-Mid-Left,Pb4-Top-Right,Pb4-Top-Left,Pb4-Mid-Mid,Pb4-Bottom-Right,Pb4-Bottom-Left,Stud2-Mid-Fire-HF,Stud2-Mid-Fire-CF,Stud2-Mid-Amb-HF,Stud2-Mid-Amb-CF,Stud3-Top-Fire-HF,Stud3-Top-Fire-CF,Stud3-Top-Amb-HF,Stud3-Top-Amb-CF,Stud3-Mid-Fire-HF,Stud3-Mid-Fire-CF,Stud3-Mid-Amb-HF,Stud3-Mid-Amb-CF,Stud3-Bottom-Fire-HF,Stud3-Bottom-Fire-CF,Stud3-Bottom-Amb-HF,Stud3-Bottom-Amb-CF,Stud4-Top-Fire-HF,Stud4-Top-Fire-CF,Stud4-Top-Amb-HF,Stud4-Top-Amb-CF,Stud4-Mid-Fire-HF,Stud4-Mid-Fire-CF,Stud4-Mid-Amb-HF,Stud4-Mid-Amb-CF,Stud4-Bottom-Fire-HF,Stud4-Bottom-Fire-CF,Stud4-Bottom-Amb-HF,Stud4-Bottom-Amb-CF,Stud5-Mid-Fire-HF,Stud5-Mid-Fire-CF,Stud5-Mid-Amb-HF,Stud5-Mid-Amb-CF,Furnace-Top-Left,Furnace-Top-Right,Furnace-Bottom-Left,Furnace-Bottom-Right,Left-Side-Top,Left-Side-Bottom,Right-Side-Top,Right-Side-Bottom,Average-Furnace,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4
51:03.0,1,-58.730988,18.87026644,7.480704,0,6.727059,0,6.49228,0,7.584165,0,1.668251,0,1.714246,0,0.715911,0,-1.944097,0,2.029496,0,0.801294,0,139.130905,126.476028,179.001038,120.205688,139.056107,23.733931,22.791374,24.309002,21.589622,20.81708,21.076349,20.834675,20.890467,20.916626,20.852964,21.120094,21.225864,21.348751,21.590317,21.560701,21.405676,21.568336,20.942554,20.700621,20.905977,20.574888,21.201565,20.545015,21.185825,20.946259,20.769617,20.837452,21.395956,21.147869,21.238825,20.921024,21.016628,21.466532,20.877502,21.035378,21.201796,20.849491,21.031212,20.637177,20.840925,20.915932,20.565857,20.784203,20.946953,20.667742,20.780962,20.562614,20.752947,20.885374,209.976303,252.269379,194.220657,160.645081,21.220774,21.021259,21.208044,21.297377,204.277855,140.7739532,24.0214665,20.9467145,20.88058933,21.06630733,21.4947562
52:03.4,2,-58.748203,18.87579762,7.482346,0.001642,6.731985,0.004926,6.493922,0.001642,7.582523,-0.001642,1.661683,-0.006568,1.63543,-0.078816,0.715911,0,-1.914541,-0.029556,1.953964,-0.075532,0.794726,-0.006568,222.62471,214.688202,279.486511,196.010361,202.666672,25.746397,24.84894,26.756411,21.577129,20.987463,21.297607,20.836988,20.88167,20.910145,20.83861,21.091856,21.200176,21.310566,21.5452,21.504015,21.378601,21.517435,20.927044,20.716133,20.910839,20.547564,21.199018,20.600359,21.162682,20.947184,20.975426,20.870558,21.387627,21.133287,21.393181,20.942322,20.996954,21.439692,21.105513,21.065701,21.207119,20.845554,21.157589,20.681866,20.834675,20.905977,20.66589,20.801104,20.9326,20.642735,20.902737,20.588087,20.752947,20.885143,356.208099,458.962036,372.394867,344.452972,21.199482,20.996954,21.165689,21.248314,383.0044935,223.0952912,26.251404,21.142535,20.87626767,21.04354733,21.4511634
53:03.6,3,-61.634727,19.80323779,7.482346,0.001642,6.773854,0.046795,6.557959,0.065679,7.644096,0.059931,1.638696,-0.029555,1.664986,-0.04926,0.729047,0.013136,-1.881702,-0.062395,1.953964,-0.075532,0.801294,0,260.027954,256.938507,317.31955,239.242355,242.07193,35.152584,33.686913,35.42168,21.544506,21.24276,21.545431,20.843472,20.885143,20.914774,20.80805,21.075422,21.185825,21.266365,21.524145,21.469309,21.344585,21.480185,20.902273,20.777952,20.915007,20.554047,21.185595,20.681635,21.149952,20.955286,21.219152,20.942785,21.392717,21.135834,21.65394,20.980749,21.003202,21.409147,21.47463,21.143009,21.243454,20.824951,21.348982,20.739056,20.85088,20.898569,20.890699,20.835136,20.933064,20.632315,21.074497,20.632545,20.754799,20.881439,425.690033,512.635193,448.297516,428.901031,21.20735,20.96825,21.161293,21.229105,453.8809433,263.1200592,35.287132,21.3940955,20.88112967,21.023099,21.4169178
54:04.0,4,-61.222206,19.67069479,7.482346,0.001642,6.792737,0.065678,6.566168,0.073888,7.666263,0.082098,1.599288,-0.068963,1.609158,-0.105088,0.745467,0.029556,-1.806171,-0.137926,1.845593,-0.183903,0.79801,-0.003284,324.560242,306.988403,397.480896,309.009735,299.641998,51.391853,52.699799,50.047604,21.527847,21.969917,22.195629,20.896023,20.931906,20.983295,20.795084,21.058525,21.169394,21.240213,21.476019,21.426964,21.309179,21.449179,20.865929,20.883755,20.936535,20.556826,21.170319,20.870558,21.123335,21.023342,21.800142,21.074959,21.440847,21.188835,22.21829,21.075191,21.017323,21.398966,22.133886,21.297144,21.338568,20.857363,21.796209,20.83884,20.873104,20.916395,21.289045,20.929359,20.940933,20.629768,21.528772,20.724701,20.778879,20.917089,490.29715,563.6698,518.889954,513.233643,21.188372,20.949499,21.126343,21.203648,521.5226368,327.5362548,50.7197285,22.082773,20.93707467,21.00766767,21.3803108
55:04.3,5,-61.126637,19.63998847,7.482346,0.001642,6.791095,0.064036,6.57602,0.08374,7.677756,0.093591,1.510621,-0.15763,1.566466,-0.14778,0.745467,0.029556,-1.727356,-0.216741,1.829173,-0.200323,0.791442,-0.009852,363.581818,352.993073,410.476807,303.086182,316.436676,65.465363,66.468689,63.780659,21.511189,24.05163,23.943586,21.031906,21.106207,21.139769,20.79138,21.049267,21.168468,21.206886,21.438534,21.405907,21.26544,21.414238,20.850185,21.105049,21.01825,20.606611,21.166616,21.2703,21.102503,21.219616,23.178196,21.324915,21.543812,21.35523,23.490513,21.239519,21.080515,21.371197,23.472498,21.606976,21.546589,20.927275,22.89953,21.065701,21.008528,20.989315,22.205341,21.040934,20.98538,20.652922,22.728741,20.92658,20.88167,20.982138,528.180603,556.354736,519.936279,505.371704,21.188141,20.907598,21.09255,21.162218,527.4608305,349.3149112,64.623011,23.997608,21.09262733,21.00303833,21.346201
56:04.7,6,-61.109421,19.63445697,7.482346,0.001642,6.807515,0.080456,6.59244,0.10016,7.695818,0.111653,1.428522,-0.239729,1.464662,-0.249584,0.732331,0.01642,-1.602566,-0.341531,1.720802,-0.308694,0.79801,-0.003284,418.454865,400.067413,495.96994,376.638885,390.832916,72.449059,73.403862,70.651352,21.509338,27.839775,27.700359,21.418402,21.546589,21.519981,20.798326,21.047878,21.17379,21.174023,21.408915,21.360088,21.22193,21.381611,20.83884,21.639364,21.286963,20.76985,21.159672,22.062428,21.089773,21.610676,25.827528,21.815409,21.855888,21.824894,25.860256,21.613453,21.365412,21.362404,26.075033,22.318411,22.113306,21.145554,25.161936,21.630342,21.386469,21.216608,24.03224,21.398966,21.189297,20.777025,25.098745,21.366106,21.15134,21.217764,547.767639,583.768005,571.374573,551.762329,21.181892,20.902506,21.078432,21.133287,563.6681365,416.3928038,71.5502055,27.770067,21.49499067,21.00666467,21.3093134
57:05.2,7,-61.162174,19.65140651,7.482346,0.001642,6.810798,0.083739,6.602292,0.110012,7.69746,0.113295,1.330003,-0.338248,1.33987,-0.374376,0.719195,0.003284,-1.533604,-0.410493,1.599295,-0.430201,0.804578,0.003284,471.660858,465.038483,556.698608,462.11499,471.190735,77.120834,77.94249,76.107681,21.508181,33.645962,33.230865,22.213898,22.430544,22.297369,20.845324,21.094172,21.205961,21.159672,21.386932,21.346436,21.191843,21.353609,20.827728,22.808477,21.920654,21.198092,21.166616,23.625624,21.092319,22.52001,29.809641,22.900455,22.643219,22.73683,29.355824,22.447882,22.017561,21.336023,29.923523,23.789351,23.271069,21.627102,28.598185,22.774502,22.234709,21.801762,26.939924,22.172043,21.662962,21.043016,28.777475,22.3013,21.860977,21.823044,572.373352,613.353455,619.915161,601.424927,21.217764,20.905283,21.071257,21.110605,601.7667238,485.3407348,76.6142575,33.4384135,22.313937,21.04848567,21.2876984
58:05.5,8,-61.501415,19.76040464,7.482346,0.001642,6.807515,0.080456,6.599829,0.107549,7.69746,0.113295,1.14446,-0.523791,1.162535,-0.551711,0.683071,-0.03284,-1.326715,-0.617382,1.431812,-0.597684,0.794726,-0.006568,504.177887,509.045166,573.729919,505.620575,515.198059,80.5,80.760979,80.094666,21.488281,40.342392,39.526199,23.33783,23.709913,23.44709,20.979824,21.185131,21.317047,21.136295,21.371891,21.306864,21.174948,21.32584,20.8356,24.528702,23.438082,22.112381,21.189297,25.840897,21.123104,23.869242,34.988995,24.684219,24.383318,24.224527,33.793976,23.914957,23.338985,21.305014,34.65625,26.251753,25.240574,22.650846,33.341866,24.612925,24.032701,23.115122,31.087133,23.519615,22.580114,21.578518,33.588993,23.902719,23.378487,22.969551,594.549072,631.442078,638.282898,625.385864,21.29159,20.92033,21.137453,21.128195,622.414978,521.5543212,80.297333,39.9342955,23.49827767,21.16066733,21.2631676
59:05.9,9,-61.97485,19.91251931,7.482346,0.001642,6.805872,0.078813,6.599008,0.106728,7.695818,0.111653,0.880101,-0.78815,0.903099,-0.811147,0.637095,-0.078816,-1.04758,-0.896517,1.136254,-0.893242,0.79801,-0.003284,530.529846,545.019775,601.545166,538.351807,541.893188,82.87764,82.388428,82.670532,21.491522,47.471134,45.838184,24.945824,25.248877,25.013407,21.204803,21.396883,21.506098,21.215681,21.375362,21.293211,21.146017,21.283258,20.86014,27.262209,26.25037,24.015387,21.217764,29.181686,21.187447,25.999681,40.600002,27.492813,27.390635,26.848516,38.554562,26.643799,25.63368,21.282797,39.472267,30.093636,28.492895,24.643612,38.631996,27.418022,26.973999,25.407747,35.683403,25.552765,24.14143,22.703547,38.816219,26.463457,26.133327,25.180616,610.071411,648.940308,653.220764,646.761841,21.365643,20.951351,21.121483,21.11153,639.748581,551.4679564,82.774086,46.654659,25.06936933,21.36926133,21.2627058
00:06.2,10,-62.437248,20.06108778,7.480704,0,6.807515,0.080456,6.603933,0.111653,7.69746,0.113295,0.571409,-1.096842,0.535291,-1.178955,0.591119,-0.124792,-0.758592,-1.185505,0.801289,-1.228207,0.794726,-0.006568,556.817627,570.151611,624.174927,568.023193,571.005432,84.637833,83.43631,84.518898,21.495224,53.361599,52.165302,27.046289,27.52779,26.91621,21.636589,21.754108,21.855427,21.307558,21.381842,21.273077,21.148563,21.256182,20.865234,31.060987,30.515011,26.788877,21.241371,33.5382,21.282564,29.087484,47.077221,31.182533,31.526222,30.328213,44.453396,30.494818,29.199146,21.279093,45.058323,34.772358,32.750122,27.650661,44.514355,31.145153,31.105021,28.594738,41.105965,28.254461,26.918743,24.582928,44.946194,30.164566,30.409224,28.327583,624.880127,664.612427,673.394714,667.557007,21.548439,21.025425,21.264746,21.123798,657.6110688,578.034558,84.5783655,52.7634505,27.16342967,21.748708,21.2734444
