TimeStamp,Time in Minutes,Load-in-bar-(bar),Load in kN,Stud2-Axial,Stud3-Axial,Stud4-Axial,Stud5-Axial,Stud3-Top,Stud2-Mid,Stud3-Mid,Stud4-Mid,Stud3-Bottom,Pb1-Top-Left,Pb1-Top-Right,Pb1-Mid-Mid,Pb1-Bottom-Left,Pb1-Bottom-Right,Pb1-Pb2-Mid-Left,Pb1-Pb2-Mid-Mid,Pb1-Pb2-Mid-Right,Pb2-Mid-Left,Pb2-Mid-Mid,Pb2-Mid-Right,Pb3-Mid-Left,Pb3-Mid-Mid,Pb3-Mid-Right,Pb3-Pb4-Mid-Left,Pb3-Pb4-Mid-Mid,Pb3-Pb4-Mid-Right,Pb4-Top-Left,Pb4-Top-Right,Pb4-Mid-Mid,Pb4-Bottom-Left,Pb4-Bottom-Right,Pb4-Top-of-Stud,Pb4-Inbetween-Stud,Stud2-Mid-Fire-HF,Stud2-Mid-Fire-CF,Stud1-Mid-Amb-HF,Stud1-Mid-Amb-CF,Stud3-Top-Fire-HF,Stud3-Mid-Fire-HF,Stud3-Bottom-Fire-HF,Stud3-Top-Fire-CF,Stud3-Mid-Fire-CF,Stud3-Bottom-Fire-CF,Stud2-Top-Amb-HF,Stud2-Mid-Amb-HF,Stud2-Bottom-Amb-HF,Stud2-Top-Amb-CF,Stud2-Mid-Amb-CF,Stud2-Bottom-Amb-CF,Stud4-Top-Fire-HF,Stud4-Mid-Fire-HF,Stud4-Bottom-Fire-HF,Stud4-Top-Fire-CF,Stud4-Mid-Fire-CF,Stud4-Bottom-Fire-CF,Stud3-Top-Amb-HF,Stud3-Mid-Amb-HF,Stud3-Bottom-Amb-HF,Stud3-Top-Amb-CF,Stud3-Mid-Amb-CF,Stud3-Bottom-Amb-CF,Stud5-Mid-Fire-HF,Stud5-Mid-Fire-CF,Stud4-Mid-Amb-HF,Stud4-Mid-Amb-CF,Stud5-Mid-Amb-HF,Stud5-Mid-Amb-CF,Stud4-Top-Amb-HF,Stud4-Top-Amb-CF,Furnace-Top-Left,Furnace-Top-Right,Furnace-Bottom-Left,Furnace-Bottom-Right,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4,Average-Furnace
49:24.8,1,-0.029576,0,0,0.024629,-0.001642,-0.004926,-0.019704,0,-0.003284,-0.006568,0.009852,29.399008,29.334,29.528095,28.178574,27.236891,25.287155,25.493515,25.632298,24.161743,24.125271,23.843843,22.277485,22.417828,22.236095,21.685635,21.984026,21.901455,21.77169,21.830677,21.62479,21.519518,21.447557,21.733521,22.049015,23.345915,22.709093,22.366964,22.010855,24.321005,23.990454,23.376408,23.917496,21.721724,23.118124,23.33783,22.802006,22.422915,22.714642,22.287889,22.287428,24.612925,23.596523,23.32374,23.753326,23.192059,22.720881,22.950832,22.837828,22.400026,22.504292,22.285114,21.861441,23.481274,22.961462,22.385923,22.38546,22.328121,21.67453,22.98642,22.432856,32.7215,32.771877,31.311401,31.018101,28.7353136,25.47098933,24.043619,22.31046933,21.85703867,21.71096686,31.95571975
50:25.2,2,-0.029355,0,-0.003284,0.001642,-0.001642,-0.004926,-0.009852,0,0.003284,-0.019704,0.006568,29.172037,29.080132,29.032797,27.751434,26.972158,25.315979,25.526714,25.650507,24.159666,24.125963,23.847769,22.285809,22.41436,22.255287,21.688179,21.982639,21.901455,21.770071,21.811939,21.605818,21.498693,21.453575,21.722879,22.045315,23.329052,22.723423,22.366734,22.027506,24.307386,23.97337,23.348457,23.908493,21.675455,23.125055,23.336676,22.806627,22.430544,22.724348,22.28211,22.287659,24.615461,23.604376,23.308262,23.735777,23.189747,22.704702,22.959152,22.830894,22.38916,22.511457,22.288815,21.857971,23.478733,22.960075,22.388004,22.394709,22.330433,21.672447,22.995432,22.442333,32.986172,33.100857,31.648401,31.452633,28.4017116,25.49773333,24.044466,22.31848533,21.85742433,21.70118429,32.29701575
51:25.3,3,-0.351159,0,-0.001642,0.006568,-0.006568,-0.004926,-0.03284,-0.12479,-0.114939,-0.095235,-0.101801,84.183838,104.095467,104.538284,87.64904,76.488281,25.331198,25.566828,25.67448,24.154356,24.114422,23.85354,22.284653,22.417597,22.250664,21.677999,21.975237,21.906544,21.757811,21.80315,21.599802,21.495455,21.428583,21.711775,22.044159,23.305027,22.724117,22.364883,22.024963,24.314312,23.977524,23.335058,23.934351,21.617155,23.098486,23.355848,22.804548,22.424301,22.728277,22.287659,22.294365,24.616154,23.594908,23.3011,23.768799,23.173574,22.688522,22.975328,22.839445,22.393784,22.529951,22.292746,21.851032,23.466492,22.978794,22.391472,22.408348,22.313324,21.685171,23.02108,22.462215,115.014008,125.218536,89.706703,89.936386,91.390982,25.52416867,24.04077267,22.317638,21.85326,21.69153357,104.9689083
52:25.7,4,-0.734984,0,-0.020524,-0.011494,-0.031197,-0.013136,-0.282422,-0.353025,-0.351385,-0.30541,-0.311972,167.749481,191.922943,218.972824,159.635971,151.375839,26.049225,26.23217,26.496626,24.181364,24.109804,23.860699,22.28026,22.435398,22.246964,21.68841,21.978706,21.901224,21.78742,21.837152,21.623402,21.498693,21.441772,21.744625,22.049477,23.326742,22.754164,22.382223,22.0319,24.361624,23.986067,23.380335,24.02162,21.652552,23.091785,23.44455,22.808708,22.427307,22.79669,22.280722,22.277946,24.686295,23.575275,23.301563,23.970598,23.187437,22.676271,23.261827,22.853312,22.389853,22.657318,22.29945,21.848255,23.464643,22.987576,22.396559,22.441177,22.349161,21.691418,23.207075,22.522554,292.620514,316.041107,266.637115,257.344666,177.9314116,26.25934033,24.05062233,22.320874,21.85611333,21.71179157,283.1608505
53:26.0,5,-0.919061,0,-0.108369,-0.032839,-0.050901,-0.018062,-0.45319,-0.39079,-0.41378,-0.328398,-0.354663,194.816559,214.486755,218.157822,219.938675,178.487091,30.587978,31.64909,31.067181,24.21137,24.110958,23.887482,22.278872,22.44742,22.258062,21.689104,21.982407,21.909552,21.79459,21.851032,21.61808,21.49962,21.4147,21.780712,22.055721,23.39558,22.748386,22.398407,22.050171,24.522011,24.034548,23.505756,24.092491,21.622244,23.087626,23.583128,22.814716,22.420139,22.86972,22.291126,22.28812,24.856785,23.594677,23.364395,24.089029,23.196217,22.679277,23.53278,22.86972,22.384768,22.85516,22.320028,21.856813,23.527237,23.015766,22.412279,22.46291,22.388466,21.697201,23.404358,22.60508,379.536987,387.368896,353.472198,340.022736,205.1773804,31.10141633,24.06993667,22.328118,21.86035433,21.71635071,365.1002043
54:26.2,6,-1.499545,0,-0.165838,-0.049259,-0.070604,-0.044333,-0.653512,-0.551704,-0.518867,-0.466325,-0.459748,223.654907,242.972961,251.265259,202.241989,191.023758,41.995075,43.217255,41.911053,24.462244,24.347315,24.089029,22.320492,22.465916,22.270548,21.682396,21.998365,21.911633,21.812403,21.869074,21.631962,21.500546,21.433212,21.808239,22.097118,23.552643,22.781668,22.43008,22.077229,24.824026,24.2453,23.782885,24.209293,21.60952,23.095251,23.720537,22.824423,22.417597,22.942976,22.287197,22.286734,25.158016,23.677122,23.552874,24.226835,23.191828,22.708401,23.659801,22.916401,22.378294,22.938124,22.328121,21.853344,23.698368,23.04488,22.405111,22.470539,22.374363,21.728201,23.521463,22.691759,413.34726,416.152344,383.480316,355.349701,222.2317748,42.374461,24.29952933,22.35231867,21.86413133,21.73607914,392.0824053
55:26.5,7,-2.096361,-1,-0.185541,-0.068962,-0.077172,-0.047617,-0.855477,-0.683062,-0.673214,-0.615746,-0.558265,245.430801,279.61499,284.117828,225.343719,214.252823,52.858177,54.141094,52.868317,25.483833,25.445099,24.9163,22.468458,22.601149,22.391008,21.707148,22.019644,21.941008,21.842241,21.873238,21.639595,21.508644,21.44455,21.791815,22.089254,24.081411,22.910393,22.573872,22.150074,25.571438,24.922989,24.444704,24.418165,21.608826,23.147469,23.946587,22.926338,22.490189,23.056433,22.382454,22.323498,25.948061,23.945663,23.969213,24.457167,23.285854,22.801542,23.852156,23.016459,22.440485,23.07122,22.406731,21.879019,24.217371,23.165028,22.515156,22.549601,22.461985,21.762438,23.742935,22.781898,441.257111,452.472351,415.320862,380.930023,249.7520322,53.289196,25.281744,22.48687167,21.88926667,21.74133386,422.4950868
56:26.7,8,-2.805742,-1,-0.236442,-0.049259,-0.103444,-0.090308,-1.293888,-0.95563,-0.998327,-0.830846,-0.899792,369.531403,416.459625,457.237305,352.202454,344.790802,62.240845,64.482384,63.634514,27.602573,27.797676,26.686172,23.119741,22.94367,22.753702,21.69882,22.013168,21.937075,21.91626,21.88966,21.646305,21.502628,21.454731,21.82073,22.143368,26.443878,23.263214,23.116276,22.455511,27.054117,26.38652,25.547232,25.095055,21.632887,23.329746,24.567699,23.52585,22.622877,23.335983,22.785828,22.41621,27.501556,24.869242,24.672913,25.528097,23.636477,23.012068,24.749281,23.452864,22.557922,23.71384,22.588203,21.98634,25.231812,23.575508,22.888901,22.93535,22.771729,21.898449,24.520857,23.11027,548.12085,582.604431,525.888733,535.164062,388.0443178,63.452581,27.36214033,22.93903767,21.883021,21.76766886,547.944519
57:27.0,9,-3.113641,-1,-0.254504,-0.12561,-0.141209,-0.129715,-1.435099,-1.11326,-1.057438,-1.003255,-0.929348,387.514984,376.712402,414.784943,396.939178,325.638397,71.370651,72.306519,72.683571,31.169003,31.696535,29.600899,24.736591,23.559572,23.263214,21.746706,22.04092,21.945633,21.988651,21.969456,21.661112,21.507256,21.45635,21.870461,22.208811,35.02898,24.106342,24.396473,23.155323,29.377186,28.858376,27.329416,26.337914,21.652782,23.690746,26.308887,24.12504,22.980873,24.129658,23.154631,22.654545,30.116362,27.819071,25.936539,26.852201,24.194059,23.396965,28.345518,24.359085,22.797846,25.876158,23.005367,22.194012,26.806608,24.191519,23.678507,23.601374,23.651951,22.217365,26.045076,23.899488,545.084656,547.175598,532.722961,504.354492,380.3179808,72.120247,30.82214567,23.85312567,21.91108633,21.808871,532.3344268
58:27.4,10,-3.481133,-1,-0.277491,-0.121505,-0.16748,-0.16748,-1.911276,-1.36284,-1.297168,-1.242985,-1.136234,388.434509,405.159485,435.009399,363.839081,322.146454,74.113846,74.471176,75.174644,36.385807,36.408855,34.187584,27.190624,24.61154,24.112114,21.915796,22.149149,22.020336,22.079773,21.996746,21.680544,21.525764,21.474861,21.882952,22.202105,45.658207,25.686468,26.875917,24.351469,33.130386,32.174549,30.045429,28.673122,21.677536,24.272305,29.619043,25.63368,23.556799,25.378927,23.959286,22.964699,34.104805,32.164467,28.367132,29.179388,25.420429,24.034086,32.151409,25.712515,23.263676,28.770351,23.794661,22.536192,29.403833,25.287386,25.594721,24.634151,25.364862,22.83436,29.02981,25.172775,529.836914,534.82074,515.838562,483.855469,382.9177856,74.58655533,35.66074867,25.30475933,22.028427,21.83467786,516.0879213
