Extension,Load,Tensile strain,Tensile stress,Strain 1,Tensile extension,Offset strain,Tensile stress offset
,,0,0,,,0.001918892,0
0.00269,111.4078,0,12.75857,0,-0.00003,0.002,12.75857
0.00306,111.73685,0,12.79625,0,-0.00002,0.002,12.79625
0.00556,132.13524,0.00001,15.1323,0.00001,0.00053,0.00201,15.1323
0.0075,155.45857,0.00002,17.80332,0.00002,0.00113,0.00202,17.80332
0.00912,170.14807,0.00003,19.48558,0.00003,0.0015,0.00203,19.48558
0.01131,192.21587,0.00004,22.01281,0.00004,0.00207,0.00204,22.01281
0.013,210.32761,0.00005,24.08699,0.00005,0.00256,0.00205,24.08699
0.014,220.81355,0.00006,25.28786,0.00006,0.00284,0.00206,25.28786
0.01606,238.15891,0.00007,27.27427,0.00007,0.00332,0.00207,27.27427
0.01775,256.98166,0.00008,29.42987,0.00008,0.00379,0.00208,29.42987
0.01931,273.57266,0.00008,31.3299,0.00008,0.00424,0.00208,31.3299
0.02081,286.81549,0.00009,32.84648,0.00009,0.00457,0.00209,32.84648
0.023,308.52057,0.0001,35.33218,0.0001,0.00518,0.0021,35.33218
0.02469,325.89651,0.00011,37.32209,0.00011,0.00562,0.00211,37.32209
0.02575,337.9299,0.00012,38.70017,0.00012,0.00594,0.00212,38.70017
0.02762,352.57941,0.00013,40.37785,0.00013,0.00636,0.00213,40.37785
0.02944,372.7402,0.00014,42.68669,0.00014,0.00685,0.00214,42.68669
0.031,389.06375,0.00015,44.55608,0.00015,0.00733,0.00215,44.55608
0.03244,401.44803,0.00015,45.97435,0.00015,0.00763,0.00215,45.97435
0.03462,421.40549,0.00016,48.2599,0.00016,0.00822,0.00216,48.2599
0.03637,439.98825,0.00017,50.38802,0.00017,0.00871,0.00217,50.38802
0.0375,451.87411,0.00018,51.74921,0.00018,0.00904,0.00218,51.74921
0.03925,465.09048,0.00019,53.26276,0.00019,0.0094,0.00219,53.26276
0.04112,485.58447,0.0002,55.60976,0.0002,0.00989,0.0022,55.60976
0.04275,500.69418,0.00021,57.34015,0.00021,0.01034,0.00221,57.34015
0.04406,513.55469,0.00021,58.81295,0.00021,0.01067,0.00221,58.81295
0.04619,531.55383,0.00022,60.87423,0.00022,0.01116,0.00222,60.87423
0.04806,550.20819,0.00023,63.01056,0.00023,0.01165,0.00223,63.01056
0.04925,562.90027,0.00024,64.46407,0.00024,0.01198,0.00224,64.46407
0.05075,574.49982,0.00025,65.79247,0.00025,0.01229,0.00225,65.79247
0.05281,595.05518,0.00026,68.14649,0.00026,0.01286,0.00226,68.14649
0.0545,609.76996,0.00027,69.83165,0.00027,0.01329,0.00227,69.83165
0.05575,622.74097,0.00027,71.3171,0.00027,0.01358,0.00227,71.3171
0.05781,638.98761,0.00028,73.17769,0.00028,0.01404,0.00228,73.17769
0.05962,657.08838,0.00029,75.25061,0.00029,0.01454,0.00229,75.25061
0.06094,671.21442,0.0003,76.86835,0.0003,0.01489,0.0023,76.86835
0.06237,681.04999,0.0003,77.99473,0.0003,0.0152,0.0023,77.99473
0.06456,701.91064,0.00032,80.38372,0.00032,0.01575,0.00232,80.38372
0.06612,716.24548,0.00032,82.02536,0.00032,0.0161,0.00232,82.02536
0.06744,728.40179,0.00033,83.41752,0.00033,0.01642,0.00233,83.41752
0.06937,743.43652,0.00034,85.13931,0.00034,0.01689,0.00234,85.13931
0.07131,762.54846,0.00035,87.32804,0.00035,0.01739,0.00235,87.32804
0.07269,776.93439,0.00036,88.97553,0.00036,0.01778,0.00236,88.97553
0.074,786.35474,0.00036,90.05437,0.00036,0.01806,0.00236,90.05437
0.07625,806.22888,0.00037,92.33038,0.00037,0.01861,0.00237,92.33038
0.07781,820.35529,0.00038,93.94815,0.00038,0.019,0.00238,93.94815
0.07912,832.77765,0.00039,95.37077,0.00039,0.01935,0.00239,95.37077
0.08087,845.63251,0.00039,96.84293,0.00039,0.01974,0.00239,96.84293
0.083,865.64246,0.0004,99.1345,0.0004,0.02024,0.0024,99.1345
0.0845,880.29346,0.00041,100.81235,0.00041,0.0206,0.00241,100.81235
0.08562,888.78125,0.00042,101.78438,0.00042,0.02086,0.00242,101.78438
0.08787,907.21979,0.00043,103.89599,0.00043,0.02131,0.00243,103.89599
0.0895,922.10089,0.00044,105.60019,0.00044,0.02176,0.00244,105.60019
0.09087,935.10712,0.00044,107.08968,0.00044,0.02206,0.00244,107.08968
0.0925,947.3512,0.00045,108.49189,0.00045,0.02244,0.00245,108.49189
0.09462,966.30743,0.00046,110.66278,0.00046,0.02291,0.00246,110.66278
0.09625,981.94666,0.00047,112.4538,0.00047,0.02335,0.00247,112.4538
0.09731,990.16931,0.00047,113.39547,0.00047,0.02357,0.00247,113.39547
0.0995,"1,006.93",0.00048,115.31548,0.00048,0.02403,0.00248,115.31548
0.10119,"1,022.75",0.00049,117.12694,0.00049,0.02447,0.00249,117.12694
0.10256,"1,036.69",0.0005,118.72299,0.0005,0.02478,0.0025,118.72299
0.10412,"1,047.61",0.0005,119.97384,0.0005,0.0251,0.0025,119.97384
0.10625,"1,066.04",0.00051,122.08405,0.00051,0.02559,0.00251,122.08405
0.108,"1,082.16",0.00052,123.93019,0.00052,0.02601,0.00252,123.93019
0.10906,"1,091.26",0.00053,124.97211,0.00053,0.02628,0.00253,124.97211
0.11112,"1,105.78",0.00053,126.63526,0.00053,0.02666,0.00253,126.63526
0.11281,"1,123.23",0.00054,128.6337,0.00054,0.02717,0.00254,128.6337
0.11437,"1,136.68",0.00055,130.17381,0.00055,0.02751,0.00255,130.17381
0.11569,"1,146.88",0.00056,131.34184,0.00056,0.02779,0.00256,131.34184
0.11794,"1,165.26",0.00057,133.4469,0.00057,0.02829,0.00257,133.4469
0.11969,"1,181.66",0.00058,135.32547,0.00058,0.02877,0.00258,135.32547
0.12075,"1,190.84",0.00058,136.37671,0.00058,0.02902,0.00258,136.37671
0.12256,"1,203.05",0.00059,137.77451,0.00059,0.02938,0.00259,137.77451
0.1245,"1,221.40",0.0006,139.87642,0.0006,0.02987,0.0026,139.87642
0.12606,"1,235.07",0.0006,141.44205,0.0006,0.03024,0.0026,141.44205
0.12737,"1,244.91",0.00061,142.56847,0.00061,0.03051,0.00261,142.56847
0.1295,"1,261.36",0.00062,144.45308,0.00062,0.03096,0.00262,144.45308
0.13137,"1,278.32",0.00063,146.39479,0.00063,0.03138,0.00263,146.39479
0.1325,"1,289.02",0.00063,147.62029,0.00063,0.03167,0.00263,147.62029
0.13412,"1,299.44",0.00064,148.81334,0.00064,0.03194,0.00264,148.81334
0.13619,"1,319.00",0.00065,151.05341,0.00065,0.03251,0.00265,151.05341
0.13781,"1,331.83",0.00066,152.52269,0.00066,0.03284,0.00266,152.52269
0.13906,"1,342.12",0.00066,153.70113,0.00066,0.03314,0.00266,153.70113
0.14112,"1,357.01",0.00067,155.40651,0.00067,0.03355,0.00267,155.40651
0.143,"1,374.45",0.00068,157.40419,0.00068,0.03399,0.00268,157.40419
0.14431,"1,386.30",0.00069,158.76053,0.00069,0.03431,0.00269,158.76053
0.14575,"1,395.43",0.00069,159.80652,0.00069,0.03455,0.00269,159.80652
0.14787,"1,414.16",0.0007,161.95157,0.0007,0.03507,0.0027,161.95157
0.1495,"1,427.41",0.00071,163.46912,0.00071,0.03543,0.00271,163.46912
0.15075,"1,437.77",0.00071,164.65584,0.00071,0.03567,0.00271,164.65584
0.15269,"1,451.98",0.00072,166.28255,0.00072,0.03602,0.00272,166.28255
0.15469,"1,469.68",0.00073,168.30917,0.00073,0.03658,0.00273,168.30917
0.15606,"1,482.19",0.00074,169.74263,0.00074,0.03688,0.00274,169.74263
0.15731,"1,490.24",0.00074,170.66455,0.00074,0.03713,0.00274,170.66455
0.1595,"1,508.48",0.00075,172.75284,0.00075,0.03758,0.00275,172.75284
0.16112,"1,522.07",0.00076,174.30959,0.00076,0.03796,0.00276,174.30959
0.1625,"1,534.30",0.00077,175.7097,0.00077,0.03832,0.00277,175.7097
0.16431,"1,545.97",0.00077,177.04649,0.00077,0.03863,0.00277,177.04649
0.16631,"1,564.51",0.00078,179.16971,0.00078,0.03912,0.00278,179.16971
0.16781,"1,577.38",0.00079,180.64346,0.00079,0.03945,0.00279,180.64346
0.16894,"1,584.65",0.00079,181.47655,0.00079,0.0397,0.00279,181.47655
0.17119,"1,601.90",0.0008,183.45155,0.0008,0.04015,0.0028,183.45155
0.17281,"1,616.16",0.00081,185.08487,0.00081,0.0405,0.00281,185.08487
0.17431,"1,629.00",0.00082,186.55493,0.00082,0.04084,0.00282,186.55493
0.17581,"1,638.78",0.00082,187.67514,0.00082,0.04114,0.00282,187.67514
0.17794,"1,657.31",0.00083,189.79736,0.00083,0.04161,0.00283,189.79736
0.17956,"1,670.92",0.00084,191.35574,0.00084,0.042,0.00284,191.35574
0.18069,"1,678.79",0.00084,192.25739,0.00084,0.04221,0.00284,192.25739
0.18275,"1,693.46",0.00085,193.93726,0.00085,0.04263,0.00285,193.93726
0.18444,"1,708.62",0.00086,195.67302,0.00086,0.04301,0.00286,195.67302
0.186,"1,721.56",0.00087,197.15575,0.00087,0.04336,0.00287,197.15575
0.18744,"1,731.41",0.00087,198.28278,0.00087,0.04359,0.00287,198.28278
0.18962,"1,749.26",0.00088,200.32704,0.00088,0.04409,0.00288,200.32704
0.19131,"1,763.45",0.00089,201.95265,0.00089,0.04446,0.00289,201.95265
0.19237,"1,771.45",0.00089,202.86827,0.00089,0.04468,0.00289,202.86827
0.19431,"1,784.30",0.0009,204.33995,0.0009,0.04504,0.0029,204.33995
0.19606,"1,800.54",0.00091,206.19975,0.00091,0.04548,0.00291,206.19975
0.19769,"1,813.14",0.00092,207.64316,0.00092,0.04583,0.00292,207.64316
0.19912,"1,822.81",0.00092,208.75069,0.00092,0.04609,0.00292,208.75069
0.20131,"1,839.85",0.00093,210.70235,0.00093,0.04656,0.00293,210.70235
0.20294,"1,854.43",0.00094,212.37128,0.00094,0.04694,0.00294,212.37128
0.20412,"1,863.32",0.00094,213.39001,0.00094,0.04718,0.00294,213.39001
0.20581,"1,873.60",0.00095,214.56709,0.00095,0.0475,0.00295,214.56709
0.20781,"1,891.54",0.00096,216.62158,0.00096,0.04798,0.00296,216.62158
0.20944,"1,904.09",0.00097,218.05887,0.00097,0.04828,0.00297,218.05887
0.21075,"1,913.48",0.00097,219.13438,0.00097,0.04861,0.00297,219.13438
0.21287,"1,929.14",0.00098,220.92807,0.00098,0.04897,0.00298,220.92807
0.21462,"1,944.16",0.00099,222.64804,0.00099,0.04942,0.00299,222.64804
0.21587,"1,954.88",0.00099,223.87503,0.00099,0.04969,0.00299,223.87503
0.21744,"1,964.25",0.001,224.94795,0.001,0.04998,0.003,224.94795
0.2195,"1,981.72",0.00101,226.9487,0.00101,0.05043,0.00301,226.9487
0.22112,"1,993.69",0.00101,228.32039,0.00101,0.05071,0.00301,228.32039
0.22237,"2,003.07",0.00102,229.39372,0.00102,0.05095,0.00302,229.39372
0.22444,"2,017.42",0.00103,231.03708,0.00103,0.05139,0.00303,231.03708
0.22637,"2,034.09",0.00104,232.94615,0.00104,0.05181,0.00304,232.94615
0.22769,"2,045.11",0.00104,234.20912,0.00104,0.0521,0.00304,234.20912
0.22906,"2,052.54",0.00105,235.0593,0.00105,0.05227,0.00305,235.0593
0.23112,"2,070.07",0.00106,237.06734,0.00106,0.05278,0.00306,237.06734
0.23281,"2,082.41",0.00106,238.48026,0.00106,0.05304,0.00306,238.48026
0.23406,"2,092.48",0.00107,239.63318,0.00107,0.05339,0.00307,239.63318
0.23606,"2,105.40",0.00107,241.11337,0.00107,0.05369,0.00307,241.11337
0.238,"2,121.74",0.00108,242.98477,0.00108,0.05412,0.00308,242.98477
0.23944,"2,133.74",0.00109,244.35838,0.00109,0.05443,0.00309,244.35838
0.24062,"2,139.66",0.00109,245.03688,0.00109,0.05459,0.00309,245.03688
0.24287,"2,157.71",0.0011,247.10349,0.0011,0.05508,0.0031,247.10349
0.2445,"2,170.24",0.00111,248.53828,0.00111,0.05546,0.00311,248.53828
0.24581,"2,179.92",0.00111,249.64731,0.00111,0.05571,0.00311,249.64731
0.24756,"2,192.08",0.00112,251.0401,0.00112,0.056,0.00312,251.0401
0.24962,"2,208.91",0.00113,252.96692,0.00113,0.0565,0.00313,252.96692
0.25125,"2,221.54",0.00114,254.41376,0.00114,0.05679,0.00314,254.41376
0.25231,"2,228.21",0.00114,255.17761,0.00114,0.05699,0.00314,255.17761
0.25456,"2,243.54",0.00115,256.93362,0.00115,0.05739,0.00315,256.93362
0.25612,"2,256.97",0.00116,258.47061,0.00116,0.05779,0.00316,258.47061
0.2575,"2,267.86",0.00116,259.71875,0.00116,0.05809,0.00316,259.71875
