Displacement in m,Displacement in mm,Load in N,Load in kN
0,0,0,0
0.000055,0.054686,971.00061,0.971001
0.00011,0.110424,1970.218262,1.970218
0.000166,0.1662,2970.494873,2.970495
0.00025,0.249846,4470.502441,4.470502
0.000375,0.375332,6721.161133,6.721161
0.000564,0.563542,10097.13672,10.097137
0.000846,0.84582,15161.05078,15.161051
0.001269,1.269177,22756.8125,22.756812
0.001904,1.904292,34150.21875,34.150219
0.002861,2.860881,51239.78125,51.239781
0.003098,3.098182,55445.46484,55.445465
0.003343,3.342903,59717.89844,59.717898
0.003436,3.436136,61317.9375,61.317937
0.003471,3.471391,61917.47656,61.917477
0.003472,3.472184,61928.40625,61.928406
0.003474,3.473892,61947.40234,61.947402
0.003477,3.477339,61990.96484,61.990965
0.003485,3.484519,62046.12109,62.046121
0.003493,3.493359,62125.41406,62.125414
0.003494,3.493687,62122.83984,62.12284
0.003494,3.494066,62114.0625,62.114063
0.003494,3.494214,62109.37109,62.109371
0.003494,3.494448,62099.69922,62.099699
0.003495,3.494825,62078.00781,62.078008
0.003495,3.495441,62038.79297,62.038793
0.003496,3.496472,61995.25391,61.995254
0.003498,3.49825,61962.39844,61.962398
0.003501,3.501382,61946.58594,61.946586
0.003507,3.506985,61956.53516,61.956535
0.003517,3.517142,62014.92188,62.014922
0.003536,3.535808,62169.11328,62.169113
0.00357,3.570482,62510.59766,62.510598
0.003584,3.584389,62649.69531,62.649695
0.00359,3.589729,62703.36719,62.703367
0.003598,3.598016,62788.18359,62.788184
0.003611,3.611045,62924.41797,62.924418
0.003632,3.631868,63145.5,63.1455
0.003666,3.665807,63506.35547,63.506355
0.003722,3.72244,64094.41406,64.094414
0.003839,3.838666,65200.10938,65.200109
0.003868,3.868124,65456.48438,65.456484
0.003911,3.911254,65863.79688,65.863797
0.003982,3.981888,66611.63281,66.611633
0.003999,3.999169,66783.69531,66.783695
0.004029,4.028766,67129.39844,67.129398
0.004048,4.047839,67371.39063,67.371391
0.004095,4.094634,68025.45313,68.025453
0.004154,4.154185,68690.67188,68.690672
0.004228,4.227903,69582.42188,69.582422
0.004259,4.259057,69965.10938,69.965109
0.004318,4.317958,70685.24219,70.685242
0.004345,4.345201,70982.23438,70.982234
0.004379,4.379409,71285.85938,71.285859
0.004417,4.417177,71461.30469,71.461305
0.004426,4.426207,71493.82813,71.493828
0.004436,4.436279,71519.73438,71.519734
0.004452,4.451835,71557.92969,71.55793
0.004475,4.475093,71617.89063,71.617891
0.004498,4.498423,71675.55469,71.675555
0.004522,4.521952,71728.20313,71.728203
0.004546,4.545669,71772.85938,71.772859
0.00457,4.569738,71804.10938,71.804109
