Displacement in m,Displacement in mm,Load in N,Load in kN
-0.000000,-0.000000,-0.000000,-0.000000
0.000044,0.043708,971.639832,0.971640
0.000088,0.088301,1970.787720,1.970788
0.000133,0.132987,2971.083984,2.971084
0.000200,0.200131,4471.469238,4.471469
0.000301,0.301125,6722.034180,6.722034
0.000453,0.453312,10097.854492,10.097854
0.000683,0.683420,15161.521484,15.161521
0.001034,1.033703,22756.888672,22.756889
0.001574,1.574415,34149.660156,34.149660
0.001783,1.783026,38421.480469,38.421480
0.002103,2.103453,44829.617188,44.829617
0.002134,2.134120,45429.988281,45.429988
0.002185,2.185049,46328.914062,46.328914
0.002229,2.229115,47000.835938,47.000836
0.002274,2.273564,47676.699219,47.676699
0.002339,2.339223,48690.984375,48.690984
0.002437,2.436805,50212.082031,50.212082
0.002583,2.582795,52493.433594,52.493434
0.002729,2.729159,54773.988281,54.773988
0.002876,2.876355,57054.558594,57.054559
0.003099,3.099214,60475.371094,60.475371
0.003440,3.439697,65606.468750,65.606469
0.003458,3.457706,65873.476562,65.873477
0.003478,3.478440,66181.742188,66.181742
0.003511,3.510721,66659.601562,66.659602
0.003523,3.522937,66839.257812,66.839258
0.003541,3.541496,67108.789062,67.108789
0.003549,3.548508,67209.546875,67.209547
0.003559,3.559187,67360.218750,67.360219
0.003563,3.563226,67416.382812,67.416383
0.003569,3.569385,67500.195312,67.500195
0.003572,3.571713,67531.375000,67.531375
0.003575,3.575255,67577.898438,67.577898
0.003583,3.582815,67597.960938,67.597961
0.003584,3.583730,67579.671875,67.579672
0.003585,3.584811,67562.937500,67.562938
0.003587,3.586716,67550.929688,67.550930
0.003590,3.590013,67553.703125,67.553703
0.003596,3.595531,67583.078125,67.583078
0.003604,3.604406,67654.062500,67.654062
0.003618,3.618060,67786.250000,67.786250
0.003638,3.638242,68001.296875,68.001297
0.003667,3.667235,68329.820312,68.329820
0.003709,3.708692,68814.867188,68.814867
0.003770,3.770251,69520.492188,69.520492
0.003785,3.785247,69685.617188,69.685617
0.003801,3.800642,69854.257812,69.854258
0.003825,3.824783,70102.984375,70.102984
0.003834,3.834064,70193.312500,70.193313
0.003838,3.837584,70226.859375,70.226859
0.003843,3.842944,70277.148438,70.277148
0.003853,3.852589,70289.507812,70.289508
0.003855,3.855186,70277.875000,70.277875
0.003858,3.857915,70275.734375,70.275734
0.003862,3.862129,70290.828125,70.290828
0.003868,3.868491,70332.601562,70.332602
0.003878,3.877916,70408.421875,70.408422
0.003892,3.891750,70525.171875,70.525172
0.003897,3.896915,70568.085938,70.568086
0.003905,3.904594,70633.203125,70.633203
0.003907,3.907470,70657.414062,70.657414
0.003912,3.911749,70696.445312,70.696445
0.003913,3.913349,70711.531250,70.711531
0.003914,3.913949,70717.265625,70.717266
0.003915,3.914847,70726.890625,70.726891
0.003916,3.916164,70749.195312,70.749195
0.003917,3.916651,70760.750000,70.760750
0.003917,3.917356,70782.171875,70.782172
0.003918,3.917531,70782.367188,70.782367
0.003918,3.917705,70778.156250,70.778156
0.003918,3.917973,70767.273438,70.767273
0.003918,3.918397,70748.234375,70.748234
0.003919,3.919089,70720.007812,70.720008
0.003920,3.920238,70683.101562,70.683102
0.003922,3.922142,70642.304688,70.642305
0.003925,3.925251,70608.359375,70.608359
