Displacement in m,Displacement in mm,Load in N,Load in kN
-0.000000,-0.000000,-0.000000,-0.000000
0.000702,0.702150,9970.461914,9.970462
0.001405,1.405266,19970.294922,19.970295
0.002108,2.108353,29973.302734,29.973303
0.002372,2.372141,33723.292969,33.723293
0.002471,2.471399,35129.828125,35.129828
0.002475,2.474965,35177.031250,35.177031
0.002480,2.479724,35239.574219,35.239574
0.002488,2.488101,35353.171875,35.353172
0.002503,2.503118,35526.136719,35.526137
0.002520,2.519686,35708.867188,35.708867
0.002537,2.536619,35902.902344,35.902902
0.002543,2.543002,35975.937500,35.975938
0.002553,2.552614,36086.578125,36.086578
0.002568,2.567631,36244.605469,36.244605
0.002584,2.584116,36389.558594,36.389559
0.002601,2.601407,36546.953125,36.546953
0.002619,2.618783,36714.851562,36.714852
0.002636,2.636035,36885.527344,36.885527
0.002643,2.642529,36948.480469,36.948480
0.002653,2.652718,37033.726562,37.033727
0.002669,2.669306,37157.558594,37.157559
0.002695,2.694668,37369.082031,37.369082
0.002733,2.733304,37686.761719,37.686762
0.002793,2.792711,38151.441406,38.151441
0.002803,2.803297,38225.101562,38.225102
0.002814,2.814405,38312.894531,38.312895
0.002826,2.826108,38409.425781,38.409426
0.002845,2.844755,38561.402344,38.561402
0.002875,2.875264,38790.554688,38.790555
0.002907,2.906888,39046.128906,39.046129
0.002939,2.939127,39310.191406,39.310191
0.002951,2.951321,39409.566406,39.409566
0.002970,2.969659,39559.460938,39.559461
0.002997,2.997171,39785.847656,39.785848
0.003038,3.038113,40127.933594,40.127934
0.003098,3.098298,40640.300781,40.640301
0.003157,3.157417,41150.828125,41.150828
0.003216,3.215943,41660.890625,41.660891
0.003275,3.274642,42165.738281,42.165738
0.003334,3.334224,42667.460938,42.667461
0.003395,3.394688,43172.207031,43.172207
0.003456,3.455991,43681.226562,43.681227
0.003549,3.549378,44445.175781,44.445176
0.003695,3.694518,45583.500000,45.583500
0.003946,3.946394,47263.527344,47.263527
0.003962,3.962439,47359.117188,47.359117
0.003980,3.979530,47459.507812,47.459508
0.004007,4.006790,47614.441406,47.614441
0.004053,4.053166,47816.007812,47.816008
0.004072,4.072150,47881.898438,47.881898
0.004093,4.092945,47942.960938,47.942961
0.004116,4.115951,47997.519531,47.997520
0.004122,4.121780,48009.734375,48.009734
0.004128,4.127925,48021.082031,48.021082
0.004138,4.137781,48034.730469,48.034730
0.004154,4.154232,48037.011719,48.037012
0.004158,4.158420,48035.660156,48.035660
0.004163,4.162840,48029.734375,48.029734
0.004170,4.170029,48011.062500,48.011063
0.004182,4.181670,47982.125000,47.982125
0.004194,4.194065,47954.710938,47.954711
0.004197,4.197202,47947.781250,47.947781
0.004201,4.200502,47930.359375,47.930359
0.004206,4.205918,47881.128906,47.881129
0.004206,4.206432,47875.687500,47.875687
0.004207,4.207222,47864.562500,47.864562
0.004208,4.208449,47847.281250,47.847281
0.004209,4.208758,47842.160156,47.842160
0.004209,4.209068,47835.648438,47.835648
0.004210,4.209540,47822.054688,47.822055
0.004210,4.210268,47794.816406,47.794816
0.004211,4.211416,47745.019531,47.745020
0.004213,4.213290,47661.511719,47.661512
0.004216,4.216467,47524.628906,47.524629
0.004218,4.217715,47467.562500,47.467562
0.004220,4.219731,47359.238281,47.359238
0.004223,4.223218,47111.375000,47.111375
0.004227,4.227230,46840.289062,46.840289
0.004232,4.232114,46394.875000,46.394875
0.004233,4.233387,46277.433594,46.277434
0.004235,4.234732,46139.398438,46.139398
0.004236,4.236166,45970.871094,45.970871
0.004237,4.236529,45927.042969,45.927043
0.004237,4.236896,45881.394531,45.881395
0.004237,4.237268,45834.019531,45.834020
0.004238,4.237837,45759.945312,45.759945
0.004239,4.238721,45644.968750,45.644969
0.004239,4.239056,45601.527344,45.601527
0.004240,4.239568,45535.703125,45.535703
0.004240,4.240357,45435.078125,45.435078
0.004241,4.240656,45397.105469,45.397105
0.004241,4.241111,45339.226562,45.339227
0.004242,4.241810,45247.437500,45.247437
0.004242,4.242074,45212.191406,45.212191
0.004242,4.242474,45156.421875,45.156422
0.004243,4.243087,45062.554688,45.062555
0.004244,4.244037,44892.019531,44.892020
0.004245,4.244767,44747.398438,44.747398
0.004246,4.245948,44323.585938,44.323586
0.004246,4.246246,44208.128906,44.208129
0.004247,4.246547,44082.320312,44.082320
0.004247,4.247011,43871.183594,43.871184
0.004248,4.247737,43516.574219,43.516574
0.004249,4.248915,42942.031250,42.942031
0.004250,4.249854,42501.925781,42.501926
0.004250,4.250214,42336.457031,42.336457
0.004251,4.250774,42088.597656,42.088598
0.004252,4.251661,41721.324219,41.721324
0.004253,4.253110,41187.347656,41.187348
0.004254,4.253670,40990.089844,40.990090
0.004255,4.254547,40700.945312,40.700945
0.004256,4.255952,40282.953125,40.282953
0.004256,4.256490,40128.640625,40.128641
0.004257,4.257325,39902.367188,39.902367
0.004259,4.258639,39574.207031,39.574207
0.004260,4.259659,39334.488281,39.334488
0.004261,4.261265,38988.234375,38.988234
0.004262,4.261876,38860.390625,38.860391
0.004263,4.262817,38672.742188,38.672742
0.004264,4.264280,38400.179688,38.400180
0.004265,4.264834,38299.343750,38.299344
0.004266,4.265681,38150.878906,38.150879
0.004267,4.266985,37934.191406,37.934191
0.004269,4.269018,37622.074219,37.622074
0.004270,4.269789,37506.949219,37.506949
0.004271,4.270967,37338.246094,37.338246
0.004273,4.272784,37093.773438,37.093773
0.004273,4.273470,37003.402344,37.003402
0.004275,4.274514,36870.546875,36.870547
0.004276,4.276110,36676.980469,36.676980
0.004277,4.276712,36605.289062,36.605289
0.004278,4.277624,36499.531250,36.499531
0.004279,4.279012,36344.738281,36.344738
0.004281,4.281141,36120.546875,36.120547
0.004282,4.281943,36037.718750,36.037719
0.004283,4.283160,35915.925781,35.915926
0.004285,4.285016,35738.390625,35.738391
0.004286,4.285714,35672.628906,35.672629
0.004287,4.286770,35575.609375,35.575609
0.004288,4.288373,35433.515625,35.433516
0.004291,4.290821,35227.503906,35.227504
0.004292,4.291743,35151.332031,35.151332
0.004293,4.293138,35039.273438,35.039273
0.004295,4.295257,34875.871094,34.875871
0.004296,4.296055,34815.324219,34.815324
0.004297,4.297257,34725.960938,34.725961
0.004299,4.299080,34594.976562,34.594977
0.004300,4.299764,34546.335938,34.546336
0.004301,4.300796,34474.343750,34.474344
0.004302,4.302355,34368.421875,34.368422
0.004305,4.304720,34213.832031,34.213832
0.004306,4.305608,34156.539062,34.156539
0.004307,4.306948,34071.949219,34.071949
0.004309,4.308974,33947.898438,33.947898
0.004310,4.309735,33901.847656,33.901848
0.004311,4.310881,33833.671875,33.833672
0.004313,4.312610,33733.320312,33.733320
0.004313,4.313258,33696.000000,33.696000
0.004314,4.314234,33640.628906,33.640629
0.004316,4.315705,33558.875000,33.558875
0.004318,4.317928,33438.980469,33.438980
0.004319,4.318762,33394.441406,33.394441
0.004320,4.320018,33328.492188,33.328492
0.004322,4.321912,33231.398438,33.231398
0.004323,4.322623,33195.285156,33.195285
0.004324,4.323692,33141.699219,33.141699
0.004325,4.325301,33062.562500,33.062562
0.004326,4.325905,33033.093750,33.033094
0.004327,4.326812,32989.300781,32.989301
0.004328,4.328176,32924.464844,32.924465
0.004330,4.330233,32829.011719,32.829012
0.004331,4.331005,32793.500000,32.793500
0.004332,4.332165,32740.810547,32.740811
0.004334,4.333911,32662.992188,32.662992
0.004335,4.334567,32634.013672,32.634014
0.004336,4.335550,32590.943359,32.590943
0.004337,4.337030,32527.173828,32.527174
0.004339,4.339261,32433.281250,32.433281
0.004340,4.340098,32398.349609,32.398350
0.004341,4.341355,32346.513672,32.346514
0.004343,4.343248,32269.951172,32.269951
0.004344,4.343958,32241.435547,32.241436
0.004345,4.345024,32199.052734,32.199053
0.004347,4.346627,32136.292969,32.136293
0.004347,4.347228,32112.900391,32.112900
0.004348,4.348129,32078.083984,32.078084
0.004349,4.349485,32026.425781,32.026426
0.004352,4.351525,31950.126953,31.950127
0.004352,4.352290,31921.710938,31.921711
0.004353,4.353439,31879.472656,31.879473
0.004355,4.355166,31816.927734,31.816928
0.004356,4.355813,31793.613281,31.793613
0.004357,4.356785,31758.916016,31.758916
0.004358,4.358245,31707.433594,31.707434
0.004359,4.358791,31688.232422,31.688232
0.004360,4.359612,31659.623047,31.659623
0.004361,4.360844,31617.107422,31.617107
0.004363,4.362698,31554.169922,31.554170
0.004363,4.363392,31530.708984,31.530709
0.004364,4.364435,31495.796875,31.495797
0.004366,4.366001,31444.003906,31.444004
0.004367,4.366588,31424.687500,31.424688
0.004367,4.367468,31395.908203,31.395908
0.004369,4.368790,31353.146484,31.353146
0.004371,4.370779,31289.853516,31.289854
0.004372,4.371524,31266.263672,31.266264
0.004373,4.372642,31231.158203,31.231158
0.004374,4.374322,31179.087891,31.179088
0.004375,4.374952,31159.667969,31.159668
0.004376,4.375897,31130.736328,31.130736
0.004377,4.377315,31087.750000,31.087750
0.004378,4.377846,31071.708984,31.071709
0.004379,4.378643,31047.791016,31.047791
0.004380,4.379839,31012.207031,31.012207
0.004382,4.381636,30959.437500,30.959437
0.004382,4.382310,30939.757812,30.939758
0.004383,4.383320,30910.439453,30.910439
0.004385,4.384837,30866.890625,30.866891
0.004385,4.385405,30850.640625,30.850641
0.004386,4.386257,30826.410156,30.826410
0.004388,4.387537,30790.367188,30.790367
0.004388,4.388015,30776.912109,30.776912
0.004389,4.388734,30756.833984,30.756834
0.004390,4.389811,30726.933594,30.726934
0.004391,4.391430,30682.529297,30.682529
0.004392,4.392036,30665.960938,30.665961
0.004393,4.392945,30641.257812,30.641258
0.004394,4.394310,30604.519531,30.604520
0.004395,4.394821,30590.804688,30.590805
0.004396,4.395588,30570.341797,30.570342
0.004397,4.396738,30539.871094,30.539871
0.004398,4.398465,30494.628906,30.494629
0.004399,4.399112,30477.746094,30.477746
0.004400,4.400082,30452.580078,30.452580
0.004402,4.401539,30415.156250,30.415156
0.004402,4.402084,30401.185547,30.401186
0.004403,4.402902,30380.343750,30.380344
0.004404,4.404129,30349.314453,30.349314
0.004405,4.404589,30337.724609,30.337725
0.004405,4.405278,30320.425781,30.320426
0.004406,4.406311,30294.644531,30.294645
0.004408,4.407863,30256.314453,30.256314
0.004408,4.408444,30242.005859,30.242006
0.004409,4.409315,30220.664062,30.220664
0.004411,4.410622,30188.892578,30.188893
0.004411,4.411112,30177.029297,30.177029
0.004412,4.411845,30159.320312,30.159320
0.004413,4.412946,30132.931641,30.132932
0.004415,4.414599,30093.708984,30.093709
0.004415,4.415218,30079.068359,30.079068
0.004416,4.416146,30057.232422,30.057232
0.004418,4.417538,30024.736328,30.024736
0.004418,4.418060,30012.601562,30.012602
0.004419,4.418842,29994.490234,29.994490
0.004420,4.420015,29967.505859,29.967506
0.004420,4.420454,29957.427734,29.957428
0.004421,4.421112,29942.375000,29.942375
0.004422,4.422099,29919.929688,29.919930
0.004424,4.423580,29886.533203,29.886533
0.004424,4.424135,29874.064453,29.874064
0.004425,4.424966,29855.453125,29.855453
0.004426,4.426214,29827.732422,29.827732
0.004427,4.426681,29817.378906,29.817379
0.004427,4.427381,29801.917969,29.801918
0.004428,4.428431,29778.865234,29.778865
0.004429,4.428824,29770.253906,29.770254
0.004429,4.429413,29757.386719,29.757387
0.004430,4.430296,29738.189453,29.738189
0.004432,4.431622,29709.599609,29.709600
0.004432,4.432118,29698.921875,29.698922
0.004433,4.432862,29682.978516,29.682979
0.004434,4.433977,29659.212891,29.659213
0.004434,4.434395,29650.333984,29.650334
0.004435,4.435020,29637.070312,29.637070
0.004436,4.435959,29617.281250,29.617281
0.004437,4.437367,29587.816406,29.587816
0.004438,4.437894,29576.812500,29.576812
0.004439,4.438684,29560.384766,29.560385
0.004440,4.439869,29535.896484,29.535896
0.004440,4.440313,29526.748047,29.526748
0.004441,4.440978,29513.082031,29.513082
0.004442,4.441976,29492.697266,29.492697
0.004442,4.442349,29485.080078,29.485080
0.004443,4.442908,29473.695312,29.473695
0.004444,4.443747,29456.703125,29.456703
0.004445,4.445005,29431.380859,29.431381
0.004445,4.445476,29421.919922,29.421920
0.004446,4.446182,29407.791016,29.407791
0.004447,4.447240,29386.716797,29.386717
0.004448,4.447637,29378.841797,29.378842
0.004448,4.448230,29367.076172,29.367076
0.004449,4.449121,29349.513672,29.349514
0.004450,4.450456,29323.345703,29.323346
0.004451,4.450956,29313.572266,29.313572
0.004452,4.451705,29298.972656,29.298973
0.004453,4.452829,29277.203125,29.277203
0.004453,4.453249,29269.070312,29.269070
0.004454,4.453880,29256.916016,29.256916
0.004455,4.454825,29238.781250,29.238781
0.004455,4.455179,29232.001953,29.232002
0.004456,4.455709,29221.871094,29.221871
0.004457,4.456504,29206.744141,29.206744
0.004458,4.457695,29184.189453,29.184189
0.004458,4.458142,29175.763672,29.175764
0.004459,4.458810,29163.173828,29.163174
0.004460,4.459813,29144.390625,29.144391
0.004460,4.460188,29137.371094,29.137371
0.004461,4.460750,29126.880859,29.126881
0.004462,4.461593,29111.218750,29.111219
0.004463,4.462857,29087.871094,29.087871
0.004463,4.463330,29079.148438,29.079148
0.004464,4.464040,29066.119141,29.066119
0.004465,4.465103,29046.681641,29.046682
0.004466,4.465501,29039.417969,29.039418
0.004466,4.466098,29028.562500,29.028562
0.004467,4.466992,29012.357422,29.012357
0.004467,4.467327,29006.300781,29.006301
0.004468,4.467828,28997.246094,28.997246
0.004469,4.468580,28983.722656,28.983723
0.004470,4.469707,28963.550781,28.963551
0.004470,4.470129,28956.013672,28.956014
0.004471,4.470761,28944.750000,28.944750
0.004472,4.471709,28927.937500,28.927937
0.004472,4.472064,28921.654297,28.921654
0.004473,4.472595,28912.261719,28.912262
0.004473,4.473392,28898.236328,28.898236
0.004475,4.474587,28877.318359,28.877318
0.004475,4.475034,28869.503906,28.869504
0.004476,4.475704,28857.824219,28.857824
0.004477,4.476709,28840.398438,28.840398
0.004477,4.477086,28833.884766,28.833885
0.004478,4.477649,28824.150391,28.824150
0.004478,4.478494,28809.613281,28.809613
0.004479,4.478810,28804.179688,28.804180
0.004479,4.479284,28796.054688,28.796055
0.004480,4.479994,28783.917969,28.783918
0.004481,4.481059,28765.810547,28.765811
0.004481,4.481457,28759.042969,28.759043
0.004482,4.482054,28748.929688,28.748930
0.004483,4.482949,28733.830078,28.733830
0.004483,4.483284,28728.185547,28.728186
0.004484,4.483785,28719.748047,28.719748
0.004485,4.484538,28707.144531,28.707145
0.004485,4.484819,28702.431641,28.702432
0.004485,4.485241,28695.386719,28.695387
0.004486,4.485874,28684.855469,28.684855
0.004487,4.486821,28669.138672,28.669139
0.004487,4.487175,28663.265625,28.663266
0.004488,4.487707,28654.484375,28.654484
0.004489,4.488503,28641.369141,28.641369
0.004489,4.488801,28636.464844,28.636465
0.004489,4.489248,28629.134766,28.629135
0.004490,4.489917,28618.179688,28.618180
0.004491,4.490920,28601.832031,28.601832
0.004491,4.491296,28595.722656,28.595723
0.004492,4.491859,28586.589844,28.586590
0.004493,4.492702,28572.953125,28.572953
0.004493,4.493017,28567.857422,28.567857
0.004493,4.493490,28560.240234,28.560240
0.004494,4.494199,28548.857422,28.548857
0.004494,4.494464,28544.603516,28.544604
0.004495,4.494861,28538.238281,28.538238
0.004495,4.495456,28528.726562,28.528727
0.004496,4.496348,28514.527344,28.514527
0.004497,4.496682,28509.218750,28.509219
0.004497,4.497182,28501.283203,28.501283
0.004498,4.497931,28489.427734,28.489428
0.004498,4.498212,28484.998047,28.484998
0.004499,4.498632,28478.375000,28.478375
0.004499,4.499262,28468.474609,28.468475
0.004500,4.500205,28453.697266,28.453697
0.004501,4.500559,28448.171875,28.448172
0.004501,4.501088,28439.914062,28.439914
0.004502,4.501881,28427.580078,28.427580
0.004502,4.502178,28422.968750,28.422969
0.004503,4.502622,28416.074219,28.416074
0.004503,4.503289,28405.769531,28.405770
0.004504,4.503538,28401.917969,28.401918
0.004504,4.503912,28396.154297,28.396154
0.004504,4.504472,28387.541016,28.387541
0.004505,4.505311,28374.675781,28.374676
0.004506,4.505625,28369.867188,28.369867
0.004506,4.506095,28362.675781,28.362676
0.004507,4.506800,28351.931641,28.351932
0.004507,4.507064,28347.914062,28.347914
0.004507,4.507459,28341.906250,28.341906
0.004508,4.508052,28332.923828,28.332924
0.004509,4.508940,28319.513672,28.319514
0.004509,4.509272,28314.500000,28.314500
0.004510,4.509769,28307.003906,28.307004
0.004511,4.510515,28295.804688,28.295805
0.004511,4.510795,28291.617188,28.291617
0.004511,4.511213,28285.355469,28.285355
0.004512,4.511840,28275.996094,28.275996
0.004512,4.512074,28272.496094,28.272496
0.004512,4.512426,28267.261719,28.267262
0.004513,4.512952,28259.433594,28.259434
0.004514,4.513741,28247.742188,28.247742
0.004514,4.514036,28243.371094,28.243371
0.004514,4.514479,28236.832031,28.236832
0.004515,4.515142,28227.062500,28.227062
0.004515,4.515390,28223.410156,28.223410
0.004516,4.515762,28217.945312,28.217945
0.004516,4.516318,28209.775391,28.209775
0.004517,4.517153,28197.574219,28.197574
0.004517,4.517465,28193.013672,28.193014
0.004518,4.517933,28186.191406,28.186191
0.004519,4.518634,28175.998047,28.175998
0.004519,4.518897,28172.187500,28.172187
0.004519,4.519290,28166.486328,28.166486
0.004520,4.519879,28157.964844,28.157965
0.004520,4.520099,28154.779297,28.154779
0.004520,4.520430,28150.011719,28.150012
0.004521,4.520924,28142.882812,28.142883
0.004522,4.521666,28132.232422,28.132232
0.004522,4.521943,28128.251953,28.128252
0.004522,4.522359,28122.294922,28.122295
0.004523,4.522982,28113.394531,28.113395
0.004523,4.523215,28110.066406,28.110066
0.004524,4.523564,28105.085938,28.105086
0.004524,4.524087,28097.640625,28.097641
0.004525,4.524871,28086.519531,28.086520
0.004525,4.525165,28082.361328,28.082361
0.004526,4.525604,28076.142578,28.076143
0.004526,4.526263,28066.847656,28.066848
0.004527,4.526509,28063.373047,28.063373
0.004527,4.526879,28058.175781,28.058176
0.004527,4.527432,28050.402344,28.050402
0.004528,4.527639,28047.496094,28.047496
0.004528,4.527949,28043.148438,28.043148
0.004528,4.528414,28036.646484,28.036646
0.004529,4.529110,28026.929688,28.026930
0.004529,4.529370,28023.296875,28.023297
0.004530,4.529761,28017.859375,28.017859
0.004530,4.530346,28009.732422,28.009732
0.004531,4.530565,28006.693359,28.006693
0.004531,4.530893,28002.146484,28.002146
0.004531,4.531384,27995.347656,27.995348
0.004532,4.532121,27985.189453,27.985189
0.004532,4.532397,27981.392578,27.981393
0.004533,4.532809,27975.710938,27.975711
0.004533,4.533428,27967.220703,27.967221
0.004534,4.533660,27964.044922,27.964045
0.004534,4.534007,27959.294922,27.959295
0.004535,4.534526,27952.193359,27.952193
0.004535,4.534720,27949.539062,27.949539
0.004535,4.535012,27945.562500,27.945563
0.004535,4.535448,27939.617188,27.939617
0.004536,4.536103,27930.730469,27.930730
0.004536,4.536347,27927.406250,27.927406
0.004537,4.536714,27922.433594,27.922434
0.004537,4.537264,27914.998047,27.914998
0.004537,4.537470,27912.218750,27.912219
0.004538,4.537778,27908.056641,27.908057
0.004538,4.538239,27901.833984,27.901834
0.004539,4.538931,27892.531250,27.892531
0.004539,4.539191,27889.054688,27.889055
0.004540,4.539579,27883.849609,27.883850
0.004540,4.540160,27876.070312,27.876070
0.004540,4.540378,27873.160156,27.873160
0.004541,4.540704,27868.804688,27.868805
0.004541,4.541193,27862.292969,27.862293
0.004541,4.541376,27859.857422,27.859857
0.004542,4.541649,27856.214844,27.856215
0.004542,4.542060,27850.763672,27.850764
0.004543,4.542674,27842.617188,27.842617
0.004543,4.542904,27839.570312,27.839570
0.004543,4.543249,27835.011719,27.835012
0.004544,4.543765,27828.199219,27.828199
0.004544,4.543959,27825.650391,27.825650
0.004544,4.544248,27821.835938,27.821836
0.004545,4.544682,27816.130859,27.816131
0.004545,4.545332,27807.603516,27.807604
0.004546,4.545575,27804.414062,27.804414
0.004546,4.545940,27799.642578,27.799643
