Displacement in m,Displacement in mm,Load in N,Load in kN
-0.000000,-0.000000,-0.000000,-0.000000
0.000057,0.057457,972.704529,0.972705
0.000116,0.116149,1971.922119,1.971922
0.000175,0.175071,2972.093018,2.972093
0.000264,0.263844,4472.390137,4.472390
0.000398,0.397963,6722.817383,6.722817
0.000602,0.601625,10098.410156,10.098410
0.000914,0.913901,15161.696289,15.161696
0.001402,1.402445,22756.384766,22.756385
0.001453,1.452820,23465.488281,23.465488
0.001474,1.473505,23730.054688,23.730055
0.001507,1.507168,24127.925781,24.127926
0.001542,1.541760,24527.289062,24.527289
0.001576,1.575664,24928.710938,24.928711
0.001626,1.625758,25530.207031,25.530207
0.001701,1.700513,26431.755859,26.431756
0.001812,1.812491,27783.724609,27.783725
0.001981,1.981279,29811.468750,29.811469
0.002238,2.237594,32852.011719,32.852012
0.002631,2.631233,37412.652344,37.412652
0.002726,2.726468,38491.406250,38.491406
0.002828,2.827754,39626.722656,39.626723
0.002866,2.866226,40053.386719,40.053387
0.002881,2.880723,40213.351562,40.213352
0.002903,2.902598,40453.437500,40.453437
0.002936,2.935865,40812.847656,40.812848
0.002992,2.991773,41337.015625,41.337016
0.002998,2.998456,41384.132812,41.384133
0.003007,3.007141,41453.847656,41.453848
0.003023,3.023049,41593.042969,41.593043
0.003051,3.050606,41843.105469,41.843105
0.003096,3.096192,42259.062500,42.259062
0.003144,3.144154,42691.000000,42.691000
0.003194,3.194124,43126.390625,43.126391
0.003246,3.246306,43559.265625,43.559266
0.003301,3.301283,43986.746094,43.986746
0.003361,3.360894,44397.355469,44.397355
0.003372,3.372218,44473.253906,44.473254
0.003384,3.383815,44546.078125,44.546078
0.003405,3.404581,44551.304688,44.551305
0.003410,3.410032,44540.191406,44.540191
0.003416,3.415717,44543.644531,44.543645
0.003425,3.424537,44570.480469,44.570480
0.003428,3.427878,44582.312500,44.582313
0.003429,3.429136,44587.164062,44.587164
0.003431,3.431031,44595.375000,44.595375
0.003432,3.431743,44599.050781,44.599051
0.003433,3.432813,44605.480469,44.605480
0.003434,3.434420,44622.355469,44.622355
0.003436,3.436022,44620.554688,44.620555
0.003438,3.437637,44571.320312,44.571320
0.003440,3.440127,44537.132812,44.537133
0.003444,3.444051,44508.855469,44.508855
0.003450,3.450297,44495.085938,44.495086
0.003460,3.460140,44512.804688,44.512805
0.003475,3.475252,44578.882812,44.578883
0.003481,3.480949,44606.554688,44.606555
0.003489,3.489494,44654.203125,44.654203
0.003502,3.502185,44731.480469,44.731480
0.003507,3.506929,44760.257812,44.760258
0.003514,3.514000,44804.054688,44.804055
0.003521,3.521041,44831.734375,44.831734
0.003528,3.528074,44871.054688,44.871055
0.003535,3.535116,44916.242188,44.916242
0.003546,3.545663,44982.910156,44.982910
0.003561,3.561436,45081.914062,45.081914
0.003585,3.584978,45231.441406,45.231441
0.003620,3.619957,45458.082031,45.458082
0.003671,3.671252,45794.410156,45.794410
0.003744,3.744460,46273.234375,46.273234
0.003847,3.846502,46927.796875,46.927797
0.003886,3.886124,47173.335938,47.173336
0.003945,3.945104,47524.539062,47.524539
0.003968,3.968094,47657.765625,47.657766
0.004003,4.002979,47846.457031,47.846457
0.004017,4.016544,47915.097656,47.915098
0.004022,4.021789,47940.820312,47.940820
0.004026,4.025832,47960.296875,47.960297
0.004027,4.027376,47967.691406,47.967691
0.004030,4.029720,47978.750000,47.978750
0.004033,4.033283,47994.570312,47.994570
0.004035,4.034625,48001.281250,48.001281
0.004037,4.036793,47996.480469,47.996480
0.004039,4.039351,47956.640625,47.956641
0.004042,4.042283,47928.050781,47.928051
0.004047,4.047191,47911.386719,47.911387
0.004055,4.055048,47918.050781,47.918051
0.004067,4.066924,47957.894531,47.957895
0.004084,4.083669,48036.085938,48.036086
0.004106,4.105856,48150.996094,48.150996
0.004135,4.134658,48296.960938,48.296961
0.004174,4.173537,48477.136719,48.477137
0.004232,4.231730,48706.765625,48.706766
0.004289,4.288717,48935.753906,48.935754
0.004344,4.343655,49166.175781,49.166176
0.004396,4.396199,49394.789062,49.394789
0.004447,4.447448,49619.613281,49.619613
0.004499,4.498945,49839.484375,49.839484
0.004551,4.550530,50058.816406,50.058816
0.004602,4.602149,50278.062500,50.278062
0.004653,4.653177,50497.714844,50.497715
0.004703,4.703268,50717.144531,50.717145
0.004753,4.752688,50936.312500,50.936312
0.004757,4.757425,50956.730469,50.956730
0.004765,4.764534,50988.058594,50.988059
0.004767,4.767219,50999.882812,50.999883
0.004771,4.771229,51017.867188,51.017867
0.004781,4.781355,51035.320312,51.035320
0.004785,4.784614,51037.835938,51.037836
0.004788,4.788079,51039.468750,51.039469
0.004793,4.793268,51042.558594,51.042559
0.004801,4.800660,51050.726562,51.050727
0.004811,4.811012,51068.871094,51.068871
0.004825,4.824946,51103.757812,51.103758
0.004843,4.842609,51162.957031,51.162957
0.004864,4.864375,51251.421875,51.251422
0.004892,4.892240,51374.628906,51.374629
0.004930,4.930130,51547.308594,51.547309
0.004984,4.984409,51796.726562,51.796727
0.005065,5.064864,52165.113281,52.165113
0.005187,5.186669,52714.980469,52.714980
0.005374,5.374287,53537.503906,53.537504
0.005447,5.446529,53844.695312,53.844695
0.005558,5.557784,54306.917969,54.306918
0.005731,5.731454,54999.800781,54.999801
0.005799,5.798870,55257.683594,55.257684
0.005904,5.903793,55645.574219,55.645574
0.005914,5.913778,55681.332031,55.681332
0.005929,5.928995,55734.871094,55.734871
0.005935,5.934755,55754.855469,55.754855
0.005944,5.943520,55784.398438,55.784398
0.005947,5.946834,55795.359375,55.795359
0.005952,5.951866,55811.511719,55.811512
0.005960,5.959628,55834.488281,55.834488
0.005963,5.962588,55842.492188,55.842492
0.005964,5.963708,55845.367188,55.845367
0.005965,5.965413,55849.207031,55.849207
0.005968,5.968101,55851.578125,55.851578
0.005969,5.969139,55851.363281,55.851363
0.005970,5.969534,55851.093750,55.851094
0.005970,5.970142,55849.671875,55.849672
0.005971,5.971122,55842.144531,55.842145
0.005972,5.971503,55837.964844,55.837965
0.005972,5.972128,55825.296875,55.825297
0.005973,5.973420,55765.167969,55.765168
0.005974,5.973972,55734.531250,55.734531
0.005975,5.975019,55668.703125,55.668703
0.005977,5.977268,55533.203125,55.533203
0.005980,5.980304,55375.929688,55.375930
0.005984,5.984204,55207.468750,55.207469
0.005992,5.991986,54959.246094,54.959246
0.005995,5.995209,54865.902344,54.865902
0.006001,6.000707,54729.347656,54.729348
0.006003,6.002883,54677.855469,54.677855
0.006006,6.006387,54600.238281,54.600238
0.006008,6.007745,54570.859375,54.570859
0.006010,6.009871,54525.964844,54.525965
