Time in Seconds,Time in Minutes,Pb1,Pb1-Pb2,Pb2,Pb3,Pb3-Pb4,Pb4,Fire-HF,Fire-CF,Amb-HF,Amb-CF
0.000000,0.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.016667,28.433332,20.000000,19.998405,19.997549,20.000000,20.000000,26.242411,0.000000,-0.000000,26.091352
1.000000,0.016667,28.433332,20.000000,19.998405,19.997549,20.000000,20.000000,26.242411,0.000000,-0.000000,26.091352
1.000000,0.016667,28.433332,20.000000,19.998405,19.997549,20.000000,20.000000,26.242411,0.000000,-0.000000,26.091352
2.000000,0.033333,33.866665,20.000002,19.998114,19.997103,20.000000,20.000000,1.246416,-0.000000,0.000000,0.876736
2.000000,0.033333,33.866665,20.000002,19.998114,19.997103,20.000000,20.000000,1.246416,-0.000000,0.000000,0.876736
2.000000,0.033333,33.866665,20.000002,19.998114,19.997103,20.000000,20.000000,1.246416,-0.000000,0.000000,0.876736
3.000000,0.050000,39.299999,20.000010,19.996687,19.994911,20.000000,20.000000,24.505028,-0.000000,-0.000000,24.475554
3.000000,0.050000,39.299999,20.000010,19.996687,19.994911,20.000000,20.000000,24.505028,-0.000000,-0.000000,24.475554
3.000000,0.050000,39.299999,20.000010,19.996687,19.994911,20.000000,20.000000,24.505028,-0.000000,-0.000000,24.475554
4.500000,0.075000,47.450001,20.000040,19.996082,19.993992,20.000000,20.000000,2.425304,-0.000000,-0.000000,1.806915
4.500000,0.075000,47.450001,20.000040,19.996082,19.993992,20.000000,20.000000,2.425304,-0.000000,-0.000000,1.806915
4.500000,0.075000,47.450001,20.000040,19.996082,19.993992,20.000000,20.000000,2.425304,-0.000000,-0.000000,1.806915
6.000000,0.100000,55.599998,20.000114,19.994148,19.991026,20.000000,20.000000,23.419352,-0.000000,0.000000,23.102909
6.000000,0.100000,55.599998,20.000114,19.994148,19.991026,20.000000,20.000000,23.419352,-0.000000,0.000000,23.102909
6.000000,0.100000,55.599998,20.000114,19.994148,19.991026,20.000000,20.000000,23.419352,-0.000000,0.000000,23.102909
8.250000,0.137500,67.824997,20.000437,19.993248,19.989664,20.000000,20.000000,3.181408,0.000001,0.000001,2.315145
8.250000,0.137500,67.824997,20.000437,19.993248,19.989664,20.000000,20.000000,3.181408,0.000001,0.000001,2.315145
8.250000,0.137500,67.824997,20.000437,19.993248,19.989664,20.000000,20.000000,3.181408,0.000001,0.000001,2.315145
11.625000,0.193750,86.162498,20.001991,19.989489,19.983913,20.000000,20.000000,22.861507,0.000012,0.000013,22.202002
11.625000,0.193750,86.162498,20.001991,19.989489,19.983913,20.000000,20.000000,22.861507,0.000012,0.000013,22.202002
11.625000,0.193750,86.162498,20.001991,19.989489,19.983913,20.000000,20.000000,22.861507,0.000012,0.000013,22.202002
15.000000,0.250000,104.500000,20.005432,19.988487,19.982416,19.999998,20.000000,3.564356,0.000072,0.000075,2.464407
15.000000,0.250000,104.500000,20.005432,19.988487,19.982416,19.999998,20.000000,3.564356,0.000072,0.000075,2.464407
15.000000,0.250000,104.500000,20.005432,19.988487,19.982416,19.999998,20.000000,3.564356,0.000072,0.000075,2.464407
20.062500,0.334375,132.006256,20.018200,19.983786,19.975254,19.999996,20.000000,22.533098,0.000509,0.000518,21.664190
20.062500,0.334375,132.006256,20.018200,19.983786,19.975254,19.999996,20.000000,22.533098,0.000509,0.000518,21.664190
20.062500,0.334375,132.006256,20.018200,19.983786,19.975254,19.999996,20.000000,22.533098,0.000509,0.000518,21.664190
27.656250,0.460938,173.265625,20.067263,19.982450,19.973303,19.999983,20.000000,3.706408,0.003465,0.003497,2.480875
27.656250,0.460938,173.265625,20.067263,19.982450,19.973303,19.999983,20.000000,3.706408,0.003465,0.003497,2.480875
27.656250,0.460938,173.265625,20.067263,19.982450,19.973303,19.999983,20.000000,3.706408,0.003465,0.003497,2.480875
35.250000,0.587500,214.524994,20.160057,19.976767,19.964609,19.999960,20.000000,22.407843,0.011953,0.012022,21.468683
35.250000,0.587500,214.524994,20.160057,19.976767,19.964609,19.999960,20.000000,22.407843,0.011953,0.012022,21.468683
35.250000,0.587500,214.524994,20.160057,19.976767,19.964609,19.999960,20.000000,22.407843,0.011953,0.012022,21.468683
46.640625,0.777344,276.414062,20.446478,19.976374,19.963488,19.999891,20.000000,3.863867,0.042437,0.042579,2.670949
46.640625,0.777344,276.414062,20.446478,19.976374,19.963488,19.999891,20.000000,3.863867,0.042437,0.042579,2.670949
46.640625,0.777344,276.414062,20.446478,19.976374,19.963488,19.999891,20.000000,3.863867,0.042437,0.042579,2.670949
63.726562,1.062109,354.962494,21.343472,19.971249,19.949425,19.999680,19.999998,22.658119,0.138753,0.139017,21.795105
63.726562,1.062109,354.962494,21.343472,19.971249,19.949425,19.999680,19.999998,22.658119,0.138753,0.139017,21.795105
63.726562,1.062109,354.962494,21.343472,19.971249,19.949425,19.999680,19.999998,22.658119,0.138753,0.139017,21.795105
76.541016,1.275684,375.465637,22.280098,19.978897,19.950830,19.999458,19.999998,4.214343,0.252190,0.252540,3.127052
76.541016,1.275684,375.465637,22.280098,19.978897,19.950830,19.999458,19.999998,4.214343,0.252190,0.252540,3.127052
76.541016,1.275684,375.465637,22.280098,19.978897,19.950830,19.999458,19.999998,4.214343,0.252190,0.252540,3.127052
89.355469,1.489258,395.968750,23.447950,19.985695,19.941631,19.999168,19.999994,22.628160,0.397068,0.397483,21.842052
89.355469,1.489258,395.968750,23.447950,19.985695,19.941631,19.999168,19.999994,22.628160,0.397068,0.397483,21.842052
89.355469,1.489258,395.968750,23.447950,19.985695,19.941631,19.999168,19.999994,22.628160,0.397068,0.397483,21.842052
102.169922,1.702832,416.471863,24.802416,20.009008,19.944202,19.998814,19.999990,4.427774,0.568040,0.568489,3.418224
102.169922,1.702832,416.471863,24.802416,20.009008,19.944202,19.998814,19.999990,4.427774,0.568040,0.568489,3.418224
102.169922,1.702832,416.471863,24.802416,20.009008,19.944202,19.998814,19.999990,4.427774,0.568040,0.568489,3.418224
114.984375,1.916406,436.975006,26.298794,20.037611,19.936476,19.998396,19.999983,22.620102,0.759973,0.760405,21.878326
114.984375,1.916406,436.975006,26.298794,20.037611,19.936476,19.998396,19.999983,22.620102,0.759973,0.760405,21.878326
114.984375,1.916406,436.975006,26.298794,20.037611,19.936476,19.998396,19.999983,22.620102,0.759973,0.760405,21.878326
127.798828,2.129980,452.408875,27.897408,20.089113,19.940556,19.997923,19.999971,4.657481,0.968311,0.968642,3.682699
127.798828,2.129980,452.408875,27.897408,20.089113,19.940556,19.997923,19.999971,4.657481,0.968311,0.968642,3.682699
127.798828,2.129980,452.408875,27.897408,20.089113,19.940556,19.997923,19.999971,4.657481,0.968311,0.968642,3.682699
147.020508,2.450342,470.669495,30.424129,20.202667,19.934124,19.997105,19.999945,22.850863,1.302894,1.302797,22.086807
147.020508,2.450342,470.669495,30.424129,20.202667,19.934124,19.997105,19.999945,22.850863,1.302894,1.302797,22.086807
147.020508,2.450342,470.669495,30.424129,20.202667,19.934124,19.997105,19.999945,22.850863,1.302894,1.302797,22.086807
175.853027,2.930884,498.060364,34.334099,20.516678,19.952185,19.995789,19.999870,4.800870,1.836102,1.834182,3.705548
175.853027,2.930884,498.060364,34.334099,20.516678,19.952185,19.995789,19.999870,4.800870,1.836102,1.834182,3.705548
175.853027,2.930884,498.060364,34.334099,20.516678,19.952185,19.995789,19.999870,4.800870,1.836102,1.834182,3.705548
204.685547,3.411426,519.279907,38.311886,20.966526,19.961790,19.994520,19.999754,23.405312,2.389170,2.382894,22.335133
204.685547,3.411426,519.279907,38.311886,20.966526,19.961790,19.994520,19.999754,23.405312,2.389170,2.382894,22.335133
204.685547,3.411426,519.279907,38.311886,20.966526,19.961790,19.994520,19.999754,23.405312,2.389170,2.382894,22.335133
228.844849,3.814081,536.191406,41.682281,21.463837,19.995277,19.993626,19.999628,5.608315,2.858048,2.844881,4.075102
228.844849,3.814081,536.191406,41.682281,21.463837,19.995277,19.993626,19.999628,5.608315,2.858048,2.844881,4.075102
228.844849,3.814081,536.191406,41.682281,21.463837,19.995277,19.993626,19.999628,5.608315,2.858048,2.844881,4.075102
234.884689,3.914745,540.419250,42.527153,21.591503,19.998663,19.993414,19.999594,23.121651,2.975455,2.959956,21.757479
234.884689,3.914745,540.419250,42.527153,21.591503,19.998663,19.993414,19.999594,23.121651,2.975455,2.959956,21.757479
234.884689,3.914745,540.419250,42.527153,21.591503,19.998663,19.993414,19.999594,23.121651,2.975455,2.959956,21.757479
240.924515,4.015409,544.493042,43.374016,21.729822,20.008394,19.993217,19.999559,6.112780,3.092833,3.074700,4.481083
240.924515,4.015409,544.493042,43.374016,21.729822,20.008394,19.993217,19.999559,6.112780,3.092833,3.074700,4.481083
240.924515,4.015409,544.493042,43.374016,21.729822,20.008394,19.993217,19.999559,6.112780,3.092833,3.074700,4.481083
249.984253,4.166404,549.324951,44.643177,21.948082,20.016609,19.992964,19.999502,23.334747,3.268820,3.246110,21.792519
249.984253,4.166404,549.324951,44.643177,21.948082,20.016609,19.992964,19.999502,23.334747,3.268820,3.246110,21.792519
249.984253,4.166404,549.324951,44.643177,21.948082,20.016609,19.992964,19.999502,23.334747,3.268820,3.246110,21.792519
252.249191,4.204153,550.532898,44.960320,22.005035,20.020943,19.992905,19.999487,6.927665,3.312799,3.288821,5.180292
252.249191,4.204153,550.532898,44.960320,22.005035,20.020943,19.992905,19.999487,6.927665,3.312799,3.288821,5.180292
252.249191,4.204153,550.532898,44.960320,22.005035,20.020943,19.992905,19.999487,6.927665,3.312799,3.288821,5.180292
254.514114,4.241902,551.740845,45.277241,22.061621,20.023245,19.992846,19.999474,22.809027,3.356768,3.331470,21.178612
254.514114,4.241902,551.740845,45.277241,22.061621,20.023245,19.992846,19.999474,22.809027,3.356768,3.331470,21.178612
