Time in Seconds,Time in Minutes,Displacement in m,,Displacement in mm
0,0,0,0,0
0,0,0,0,0
0.1,0.001667,0.000063,0.062941,-0.062941
0.1,0.001667,0.000063,0.062941,-0.062941
0.2,0.003333,0.000141,0.140556,-0.140556
0.2,0.003333,0.000141,0.140556,-0.140556
0.3,0.005,0.000206,0.206041,-0.206041
0.3,0.005,0.000206,0.206041,-0.206041
0.45,0.0075,0.000291,0.291209,-0.291209
0.45,0.0075,0.000291,0.291209,-0.291209
0.675,0.01125,0.000382,0.382132,-0.382132
0.675,0.01125,0.000382,0.382132,-0.382132
1.0125,0.016875,0.000462,0.462413,-0.462413
1.0125,0.016875,0.000462,0.462413,-0.462413
1.51875,0.025312,0.00052,0.519783,-0.519783
1.51875,0.025312,0.00052,0.519783,-0.519783
2.278125,0.037969,0.000552,0.551937,-0.551937
2.278125,0.037969,0.000552,0.551937,-0.551937
3.417187,0.056953,0.000566,0.565598,-0.565598
3.417187,0.056953,0.000566,0.565598,-0.565598
5.125781,0.08543,0.00057,0.569863,-0.569863
5.125781,0.08543,0.00057,0.569863,-0.569863
7.688672,0.128145,0.000571,0.570816,-0.570816
7.688672,0.128145,0.000571,0.570816,-0.570816
11.533008,0.192217,0.000571,0.570965,-0.570965
11.533008,0.192217,0.000571,0.570965,-0.570965
17.299511,0.288325,0.000571,0.570981,-0.570981
17.299511,0.288325,0.000571,0.570981,-0.570981
25.949268,0.432488,0.000571,0.570982,-0.570982
25.949268,0.432488,0.000571,0.570982,-0.570982
38.923901,0.648732,0.000571,0.570982,-0.570982
38.923901,0.648732,0.000571,0.570982,-0.570982
58.385853,0.973098,0.000571,0.570982,-0.570982
58.385853,0.973098,0.000571,0.570982,-0.570982
97.309753,1.621829,0.000571,0.570982,-0.570982
97.309753,1.621829,0.000571,0.570982,-0.570982
157.309753,2.621829,0.000571,0.570982,-0.570982
157.309753,2.621829,0.000571,0.570982,-0.570982
217.309753,3.621829,0.000594,0.593884,-0.593884
217.309753,3.621829,0.000594,0.593884,-0.593884
277.309753,4.621829,0.000633,0.633167,-0.633167
277.309753,4.621829,0.000633,0.633167,-0.633167
337.309753,5.621829,0.000732,0.732302,-0.732302
337.309753,5.621829,0.000732,0.732302,-0.732302
397.309753,6.621829,0.000912,0.912461,-0.912461
397.309753,6.621829,0.000912,0.912461,-0.912461
457.309753,7.621829,0.001119,1.118643,-1.118643
457.309753,7.621829,0.001119,1.118643,-1.118643
517.309753,8.621829,0.001367,1.367297,-1.367297
517.309753,8.621829,0.001367,1.367297,-1.367297
577.309753,9.621829,0.001592,1.591688,-1.591688
577.309753,9.621829,0.001592,1.591688,-1.591688
637.309753,10.621829,0.001833,1.832514,-1.832514
637.309753,10.621829,0.001833,1.832514,-1.832514
697.309753,11.621829,0.002009,2.008908,-2.008908
697.309753,11.621829,0.002009,2.008908,-2.008908
757.309753,12.621829,0.002187,2.187323,-2.187323
757.309753,12.621829,0.002187,2.187323,-2.187323
817.309753,13.621829,0.002334,2.333607,-2.333607
817.309753,13.621829,0.002334,2.333607,-2.333607
877.309753,14.621829,0.002422,2.42159,-2.42159
877.309753,14.621829,0.002422,2.42159,-2.42159
937.309753,15.621829,0.002474,2.473545,-2.473545
937.309753,15.621829,0.002474,2.473545,-2.473545
997.309753,16.621829,0.002527,2.527391,-2.527391
997.309753,16.621829,0.002527,2.527391,-2.527391
1057.309814,17.62183,0.002538,2.538449,-2.538449
1057.309814,17.62183,0.002538,2.538449,-2.538449
1117.309814,18.62183,0.002559,2.559184,-2.559184
1117.309814,18.62183,0.002559,2.559184,-2.559184
1177.309814,19.62183,0.002553,2.552972,-2.552972
1177.309814,19.62183,0.002553,2.552972,-2.552972
1237.309814,20.62183,0.002529,2.529202,-2.529202
1237.309814,20.62183,0.002529,2.529202,-2.529202
1297.309814,21.62183,0.002489,2.488756,-2.488756
1297.309814,21.62183,0.002489,2.488756,-2.488756
1357.309814,22.62183,0.00245,2.449976,-2.449976
1357.309814,22.62183,0.00245,2.449976,-2.449976
1417.309814,23.62183,0.002435,2.435493,-2.435493
1417.309814,23.62183,0.002435,2.435493,-2.435493
1477.309814,24.62183,0.00243,2.430474,-2.430474
1477.309814,24.62183,0.00243,2.430474,-2.430474
1537.309814,25.62183,0.002438,2.438082,-2.438082
1537.309814,25.62183,0.002438,2.438082,-2.438082
1597.309814,26.62183,0.002471,2.470675,-2.470675
1597.309814,26.62183,0.002471,2.470675,-2.470675
1657.309814,27.62183,0.002525,2.52515,-2.52515
1657.309814,27.62183,0.002525,2.52515,-2.52515
1717.309814,28.62183,0.002532,2.532135,-2.532135
1717.309814,28.62183,0.002532,2.532135,-2.532135
1777.309814,29.62183,0.002539,2.538561,-2.538561
1777.309814,29.62183,0.002539,2.538561,-2.538561
1837.309814,30.62183,0.002525,2.525182,-2.525182
1837.309814,30.62183,0.002525,2.525182,-2.525182
1897.309814,31.62183,0.002469,2.468985,-2.468985
1897.309814,31.62183,0.002469,2.468985,-2.468985
1957.309814,32.62183,0.002459,2.458975,-2.458975
1957.309814,32.62183,0.002459,2.458975,-2.458975
2017.309814,33.62183,0.002415,2.414521,-2.414521
2017.309814,33.62183,0.002415,2.414521,-2.414521
2077.309814,34.62183,0.002398,2.398433,-2.398433
2077.309814,34.62183,0.002398,2.398433,-2.398433
2137.309814,35.62183,0.002373,2.372946,-2.372946
2137.309814,35.62183,0.002373,2.372946,-2.372946
2197.309814,36.62183,0.002363,2.363209,-2.363209
2197.309814,36.62183,0.002363,2.363209,-2.363209
2257.309814,37.62183,0.00234,2.339563,-2.339563
2257.309814,37.62183,0.00234,2.339563,-2.339563
2317.309814,38.62183,0.002316,2.315979,-2.315979
