Time in Seconds,Time in Minutes,Displacement in m,Displacement in mm-O,Displacement in mm
0,0,0,0,0
0.1,0.001667,0.000228,0.228162,-0.228162
0.1,0.001667,0.000228,0.228162,-0.228162
0.2,0.003333,0.000361,0.360605,-0.360605
0.2,0.003333,0.000361,0.360605,-0.360605
0.3,0.005,0.000424,0.42426,-0.42426
0.3,0.005,0.000424,0.42426,-0.42426
0.45,0.0075,0.000459,0.458887,-0.458887
0.45,0.0075,0.000459,0.458887,-0.458887
0.675,0.01125,0.000473,0.472986,-0.472986
0.675,0.01125,0.000473,0.472986,-0.472986
1.0125,0.016875,0.000477,0.477168,-0.477168
1.0125,0.016875,0.000477,0.477168,-0.477168
1.51875,0.025312,0.000478,0.478053,-0.478053
1.51875,0.025312,0.000478,0.478053,-0.478053
2.278125,0.037969,0.000478,0.478184,-0.478184
2.278125,0.037969,0.000478,0.478184,-0.478184
3.417187,0.056953,0.000478,0.478197,-0.478197
3.417187,0.056953,0.000478,0.478197,-0.478197
5.125781,0.08543,0.000478,0.478198,-0.478198
5.125781,0.08543,0.000478,0.478198,-0.478198
5.766504,0.096108,0.000478,0.478198,-0.478198
5.766504,0.096108,0.000478,0.478198,-0.478198
6.727588,0.112126,0.000478,0.478198,-0.478198
6.727588,0.112126,0.000478,0.478198,-0.478198
8.649755,0.144163,0.000478,0.478198,-0.478198
8.649755,0.144163,0.000478,0.478198,-0.478198
12.494092,0.208235,0.000478,0.478198,-0.478198
12.494092,0.208235,0.000478,0.478198,-0.478198
20.182764,0.336379,0.000478,0.478198,-0.478198
20.182764,0.336379,0.000478,0.478198,-0.478198
35.560108,0.592668,0.000478,0.478198,-0.478198
35.560108,0.592668,0.000478,0.478198,-0.478198
66.314796,1.105247,0.000478,0.478198,-0.478198
66.314796,1.105247,0.000478,0.478198,-0.478198
126.314796,2.105247,0.000478,0.478198,-0.478198
126.314796,2.105247,0.000478,0.478198,-0.478198
186.314789,3.105246,0.000478,0.478198,-0.478198
186.314789,3.105246,0.000478,0.478198,-0.478198
246.314789,4.105246,0.000478,0.478198,-0.478198
246.314789,4.105246,0.000478,0.478198,-0.478198
306.314789,5.105246,0.000478,0.478198,-0.478198
306.314789,5.105246,0.000478,0.478198,-0.478198
366.314789,6.105246,0.000482,0.48205,-0.48205
366.314789,6.105246,0.000482,0.48205,-0.48205
426.314789,7.105246,0.000519,0.519132,-0.519132
426.314789,7.105246,0.000519,0.519132,-0.519132
486.314789,8.105246,0.000547,0.547315,-0.547315
486.314789,8.105246,0.000547,0.547315,-0.547315
546.314819,9.105247,0.000581,0.581068,-0.581068
546.314819,9.105247,0.000581,0.581068,-0.581068
606.314819,10.105247,0.000553,0.55302,-0.55302
606.314819,10.105247,0.000553,0.55302,-0.55302
666.314819,11.105247,0.000621,0.620841,-0.620841
666.314819,11.105247,0.000621,0.620841,-0.620841
726.314819,12.105247,0.000693,0.693304,-0.693304
726.314819,12.105247,0.000693,0.693304,-0.693304
786.314819,13.105247,0.000778,0.778281,-0.778281
786.314819,13.105247,0.000778,0.778281,-0.778281
846.314819,14.105247,0.000823,0.822826,-0.822826
846.314819,14.105247,0.000823,0.822826,-0.822826
906.314819,15.105247,0.000992,0.991934,-0.991934
906.314819,15.105247,0.000992,0.991934,-0.991934
966.314819,16.105247,0.001084,1.084444,-1.084444
966.314819,16.105247,0.001084,1.084444,-1.084444
1026.314819,17.105247,0.001132,1.132151,-1.132151
1026.314819,17.105247,0.001132,1.132151,-1.132151
1086.314819,18.105247,0.001209,1.208707,-1.208707
1086.314819,18.105247,0.001209,1.208707,-1.208707
1146.314819,19.105247,0.001329,1.329339,-1.329339
1146.314819,19.105247,0.001329,1.329339,-1.329339
1206.314819,20.105247,0.00142,1.420088,-1.420088
1206.314819,20.105247,0.00142,1.420088,-1.420088
1266.314819,21.105247,0.001516,1.515714,-1.515714
1266.314819,21.105247,0.001516,1.515714,-1.515714
1326.314819,22.105247,0.001584,1.583741,-1.583741
