Time in Seconds,Time in Minutes,Displacement in m-Stud1,Displacement in mm-Stud1,Displacement in m-Stud2,Displacement in mm-Stud2
0,0,0,0,0,0
0,0,0,0,0,0
0.1,0.001667,0.00001,-0.010159,-0.000031,0.031281
0.1,0.001667,0.00001,-0.010159,-0.000031,0.031281
0.125,0.002083,0.000008,-0.00818,-0.000041,0.041308
0.125,0.002083,0.000008,-0.00818,-0.000041,0.041308
0.15,0.0025,0.000003,-0.003023,-0.000052,0.052112
0.15,0.0025,0.000003,-0.003023,-0.000052,0.052112
0.175,0.002917,-0.000004,0.003851,-0.000063,0.063187
0.175,0.002917,-0.000004,0.003851,-0.000063,0.063187
0.2,0.003333,-0.000012,0.011627,-0.000074,0.0742
0.2,0.003333,-0.000012,0.011627,-0.000074,0.0742
0.2375,0.003958,-0.000024,0.024144,-0.00009,0.090205
0.2375,0.003958,-0.000024,0.024144,-0.00009,0.090205
0.29375,0.004896,-0.000043,0.043358,-0.000113,0.112839
0.29375,0.004896,-0.000043,0.043358,-0.000113,0.112839
0.378125,0.006302,-0.000072,0.071721,-0.000144,0.144497
0.378125,0.006302,-0.000072,0.071721,-0.000144,0.144497
0.504687,0.008411,-0.000112,0.111781,-0.000188,0.187692
0.504687,0.008411,-0.000112,0.111781,-0.000188,0.187692
0.694531,0.011576,-0.000165,0.165338,-0.000244,0.24409
0.694531,0.011576,-0.000165,0.165338,-0.000244,0.24409
0.979297,0.016322,-0.000232,0.231909,-0.000313,0.312971
0.979297,0.016322,-0.000232,0.231909,-0.000313,0.312971
1.406445,0.023441,-0.000307,0.30691,-0.00039,0.389597
1.406445,0.023441,-0.000307,0.30691,-0.00039,0.389597
2.047168,0.034119,-0.000381,0.381201,-0.000465,0.464872
2.047168,0.034119,-0.000381,0.381201,-0.000465,0.464872
3.008252,0.050138,-0.000444,0.443648,-0.000528,0.527852
3.008252,0.050138,-0.000444,0.443648,-0.000528,0.527852
4.449878,0.074165,-0.000487,0.486519,-0.000571,0.570992
4.449878,0.074165,-0.000487,0.486519,-0.000571,0.570992
6.612317,0.110205,-0.00051,0.509633,-0.000594,0.594228
6.612317,0.110205,-0.00051,0.509633,-0.000594,0.594228
9.855975,0.164266,-0.000519,0.519064,-0.000604,0.603705
9.855975,0.164266,-0.000519,0.519064,-0.000604,0.603705
14.721463,0.245358,-0.000522,0.521885,-0.000607,0.606538
14.721463,0.245358,-0.000522,0.521885,-0.000607,0.606538
22.019695,0.366995,-0.000522,0.522487,-0.000607,0.607143
22.019695,0.366995,-0.000522,0.522487,-0.000607,0.607143
32.967041,0.549451,-0.000523,0.522577,-0.000607,0.607234
32.967041,0.549451,-0.000523,0.522577,-0.000607,0.607234
49.388062,0.823134,-0.000523,0.522586,-0.000607,0.607243
49.388062,0.823134,-0.000523,0.522586,-0.000607,0.607243
74.019592,1.23366,-0.000523,0.522587,-0.000607,0.607244
74.019592,1.23366,-0.000523,0.522587,-0.000607,0.607244
110.966888,1.849448,-0.000523,0.522587,-0.000607,0.607244
110.966888,1.849448,-0.000523,0.522587,-0.000607,0.607244
170.966888,2.849448,-0.000523,0.522587,-0.000607,0.607244
170.966888,2.849448,-0.000523,0.522587,-0.000607,0.607244
230.966888,3.849448,-0.000523,0.522587,-0.000607,0.607244
230.966888,3.849448,-0.000523,0.522587,-0.000607,0.607244
290.966888,4.849448,-0.000523,0.522587,-0.000607,0.607244
290.966888,4.849448,-0.000523,0.522587,-0.000607,0.607244
350.966888,5.849448,-0.000523,0.522587,-0.000607,0.607244
350.966888,5.849448,-0.000523,0.522587,-0.000607,0.607244
410.966888,6.849448,-0.000516,0.515802,-0.0006,0.599636
410.966888,6.849448,-0.000516,0.515802,-0.0006,0.599636
470.966888,7.849448,-0.000514,0.514405,-0.000598,0.598066
470.966888,7.849448,-0.000514,0.514405,-0.000598,0.598066
530.966919,8.849449,-0.00046,0.460469,-0.000544,0.544029
530.966919,8.849449,-0.00046,0.460469,-0.000544,0.544029
590.966919,9.849449,-0.000414,0.413854,-0.000497,0.497
590.966919,9.849449,-0.000414,0.413854,-0.000497,0.497
650.966919,10.849449,-0.000396,0.395603,-0.000478,0.477567
650.966919,10.849449,-0.000396,0.395603,-0.000478,0.477567
710.966919,11.849449,-0.000326,0.326408,-0.000407,0.407153
710.966919,11.849449,-0.000326,0.326408,-0.000407,0.407153
770.966919,12.849449,-0.000254,0.253754,-0.000332,0.332158
770.966919,12.849449,-0.000254,0.253754,-0.000332,0.332158
830.966919,13.849449,-0.000186,0.186242,-0.000262,0.261843
830.966919,13.849449,-0.000186,0.186242,-0.000262,0.261843
890.966919,14.849449,-0.00021,0.209758,-0.000282,0.281726
890.966919,14.849449,-0.00021,0.209758,-0.000282,0.281726
950.966919,15.849449,-0.000188,0.187946,-0.000257,0.257113
950.966919,15.849449,-0.000188,0.187946,-0.000257,0.257113
1010.966919,16.849449,-0.000032,0.032448,-0.000099,0.099118
1010.966919,16.849449,-0.000032,0.032448,-0.000099,0.099118
1070.966919,17.849449,0.000071,-0.071221,0.000008,-0.008015
1070.966919,17.849449,0.000071,-0.071221,0.000008,-0.008015
1130.966919,18.849449,0.000151,-0.150975,0.00009,-0.089668
1130.966919,18.849449,0.000151,-0.150975,0.00009,-0.089668
1190.966919,19.849449,0.000218,-0.21778,0.00016,-0.159908
1190.966919,19.849449,0.000218,-0.21778,0.00016,-0.159908
1250.966919,20.849449,0.000232,-0.231509,0.000179,-0.178832
1250.966919,20.849449,0.000232,-0.231509,0.000179,-0.178832
1310.966919,21.849449,0.000302,-0.302155,0.000254,-0.253658
1310.966919,21.849449,0.000302,-0.302155,0.000254,-0.253658
1370.966919,22.849449,0.000362,-0.36191,0.000317,-0.317451
1370.966919,22.849449,0.000362,-0.36191,0.000317,-0.317451
1430.966919,23.849449,0.000474,-0.473715,0.000434,-0.433721
1430.966919,23.849449,0.000474,-0.473715,0.000434,-0.433721
1490.966919,24.849449,0.000532,-0.531852,0.000497,-0.496617
1490.966919,24.849449,0.000532,-0.531852,0.000497,-0.496617
1550.966919,25.849449,0.0006,-0.599665,0.000567,-0.567149
1550.966919,25.849449,0.0006,-0.599665,0.000567,-0.567149
1610.966919,26.849449,0.000652,-0.652296,0.000622,-0.62174
1610.966919,26.849449,0.000652,-0.652296,0.000622,-0.62174
1670.966919,27.849449,0.000665,-0.665244,0.000638,-0.63772
1670.966919,27.849449,0.000665,-0.665244,0.000638,-0.63772
1730.966919,28.849449,0.000797,-0.797437,0.000774,-0.773688
1730.966919,28.849449,0.000797,-0.797437,0.000774,-0.773688
1790.966919,29.849449,0.000821,-0.820984,0.000801,-0.801079
1790.966919,29.849449,0.000821,-0.820984,0.000801,-0.801079
1850.966919,30.849449,0.000862,-0.861875,0.000845,-0.845209
1850.966919,30.849449,0.000862,-0.861875,0.000845,-0.845209
1910.966919,31.849449,0.000894,-0.89393,0.000879,-0.878515
1910.966919,31.849449,0.000894,-0.89393,0.000879,-0.878515
1970.966919,32.849449,0.000932,-0.932276,0.000918,-0.918134
1970.966919,32.849449,0.000932,-0.932276,0.000918,-0.918134
2030.966919,33.849449,0.001008,-1.008207,0.000996,-0.996154
2030.966919,33.849449,0.001008,-1.008207,0.000996,-0.996154
2090.966797,34.849447,0.001045,-1.045321,0.001036,-1.035508
2090.966797,34.849447,0.001045,-1.045321,0.001036,-1.035508
2150.966797,35.849447,0.001064,-1.063656,0.001056,-1.055976
2150.966797,35.849447,0.001064,-1.063656,0.001056,-1.055976
2210.966797,36.849447,0.001035,-1.035116,0.001029,-1.029089
2210.966797,36.849447,0.001035,-1.035116,0.001029,-1.029089
2270.966797,37.849447,0.00105,-1.049693,0.001044,-1.044032
2270.966797,37.849447,0.00105,-1.049693,0.001044,-1.044032
2330.966797,38.849447,0.001068,-1.067849,0.001063,-1.062834
2330.966797,38.849447,0.001068,-1.067849,0.001063,-1.062834
