Time in Seconds,Time in Minutes,Load in N,Load in kN,Displacement in m,Displacement in mm-O,,Displacement in mm
0,0,0,0,0,0,0,0
0.015625,0.00026,8526.769531,8.52677,-0.000825,-0.825357,0,0
0.03125,0.000521,15679.2168,15.679217,-0.001173,-1.17305,0.347693,0
0.046875,0.000781,20463.89258,20.463893,-0.001394,-1.393993,0.568636,0
0.0625,0.001042,23301.59961,23.3016,-0.001517,-1.517239,0.691882,0
0.078125,0.001302,24906.81641,24.906816,-0.001587,-1.587237,0.76188,0
0.09375,0.001563,25804.14258,25.804143,-0.001628,-1.628037,0.80268,0
0.109375,0.001823,26298.80664,26.298807,-0.001653,-1.652786,0.827429,0
0.132812,0.002214,26579.01367,26.579014,-0.001677,-1.677009,0.851652,0
0.167969,0.002799,26674.28125,26.674281,-0.001704,-1.704185,0.878828,0
0.220703,0.003678,26809.38477,26.809385,-0.001726,-1.72601,0.900653,0
0.299805,0.004997,26926.18359,26.926184,-0.001738,-1.738218,0.912861,0
0.418457,0.006974,26976.99219,26.976992,-0.001744,-1.743892,0.918535,0
0.596436,0.009941,26992.9375,26.992938,-0.001746,-1.746485,0.921128,0
0.863403,0.01439,26997.82422,26.997824,-0.001748,-1.747645,0.922288,0
1.263855,0.021064,26999.50195,26.999502,-0.001748,-1.74802,0.922663,0
1.864532,0.031076,26999.75977,26.99976,-0.001748,-1.748211,0.922854,0
2.46521,0.041087,26999.76953,26.99977,-0.001748,-1.748355,0.922998,0
3.065887,0.051098,26999.21484,26.999215,-0.001749,-1.748909,0.923552,0
3.666565,0.061109,26999.36719,26.999367,-0.001749,-1.749363,0.924006,0
4.267242,0.071121,26999.70117,26.999701,-0.00175,-1.749574,0.924217,0
4.86792,0.081132,26999.86328,26.999863,-0.00175,-1.749665,0.924308,0
5.768936,0.096149,26999.94727,26.999947,-0.00175,-1.749712,0.924355,0
7.120461,0.118674,26999.98242,26.999982,-0.00175,-1.749734,0.924377,0
9.147747,0.152462,26999.99609,26.999996,-0.00175,-1.749741,0.924384,0
12.188677,0.203145,27000,27,-0.00175,-1.749744,0.924387,0
16.750072,0.279168,27000,27,-0.00175,-1.749745,0.924388,0
23.592163,0.393203,27000,27,-0.00175,-1.749744,0.924387,0
33.855301,0.564255,27000,27,-0.00175,-1.749743,0.924386,0
49.250008,0.820833,27000,27,-0.00175,-1.749743,0.924386,0
72.342072,1.205701,27000,27,-0.00175,-1.749743,0.924386,0
106.980164,1.783003,27000,27,-0.00175,-1.749743,0.924386,0
158.937302,2.648955,27000,27,-0.00175,-1.749743,0.924386,0
159.874802,2.66458,27000,27,-0.00175,-1.749743,0.924386,0
