Time in Seconds,Time in Minutes,Load in N,Load in kN,Displacement in m,Displacement in mm-O,Displacement in mm
0,0,0,0,0,0,0
0.1,0.001667,26896.74219,26.896742,-0.001533,-1.532631,0
0.2,0.003333,28650.87891,28.650879,-0.001599,-1.598512,0.065881
0.3,0.005,28724.89063,28.724891,-0.001601,-1.601026,0.068395
0.45,0.0075,28727.83594,28.727836,-0.001601,-1.601262,0.068631
0.675,0.01125,28727.94727,28.727947,-0.001601,-1.601388,0.068757
1.0125,0.016875,28727.9707,28.727971,-0.001601,-1.601483,0.068852
1.51875,0.025312,28727.98438,28.727984,-0.001602,-1.601552,0.068921
2.278125,0.037969,28727.99219,28.727992,-0.001602,-1.6016,0.068969
3.417187,0.056953,28727.99609,28.727996,-0.001602,-1.601628,0.068997
5.125781,0.08543,28727.99805,28.727998,-0.001602,-1.601643,0.069012
7.688672,0.128145,28728,28.728,-0.001602,-1.601649,0.069018
11.533008,0.192217,28728,28.728,-0.001602,-1.60165,0.069019
17.299511,0.288325,28728,28.728,-0.001602,-1.601651,0.06902
25.949268,0.432488,28728,28.728,-0.001602,-1.601651,0.06902
38.923901,0.648732,28728,28.728,-0.001602,-1.601651,0.06902
58.385853,0.973098,28728,28.728,-0.001602,-1.601651,0.06902
87.578781,1.459646,28728,28.728,-0.001602,-1.601651,0.06902
145.96463,2.432744,28728,28.728,-0.001602,-1.601651,0.06902
205.96463,3.432744,28728,28.728,-0.001602,-1.601651,0.06902
265.96463,4.432744,28728,28.728,-0.001602,-1.601651,0.06902
325.96463,5.432744,28728,28.728,-0.001602,-1.601651,0.06902
385.96463,6.432744,28728.00195,28.728002,-0.0016,-1.600049,0.067418
445.96463,7.432744,28728.00586,28.728006,-0.001596,-1.596478,0.063847
505.96463,8.432744,28728.00586,28.728006,-0.001592,-1.592409,0.059778
565.9646,9.432743,28728.01563,28.728016,-0.001582,-1.581734,0.049103
625.9646,10.432743,28728.01953,28.72802,-0.001568,-1.567963,0.035332
685.9646,11.432743,28728.01172,28.728012,-0.00156,-1.559611,0.02698
745.9646,12.432743,28728.02734,28.728027,-0.00154,-1.540475,0.007844
805.9646,13.432743,28728.03711,28.728037,-0.001513,-1.513452,-0.019179
865.9646,14.432743,28728.0332,28.728033,-0.001489,-1.488873,-0.043758
925.9646,15.432743,28728.05078,28.728051,-0.001453,-1.452653,-0.079978
985.9646,16.432743,28728.04492,28.728045,-0.00142,-1.420323,-0.112308
1045.9646,17.432743,28728.04297,28.728043,-0.001389,-1.389356,-0.143275
1105.9646,18.432743,28728.0625,28.728063,-0.001343,-1.343125,-0.189506
1165.9646,19.432743,28728.07031,28.72807,-0.001292,-1.291502,-0.241129
1225.9646,20.432743,28728.06836,28.728068,-0.001241,-1.240593,-0.292038
1285.9646,21.432743,28728.07227,28.728072,-0.001188,-1.187569,-0.345062
1345.9646,22.432743,28728.06641,28.728066,-0.001138,-1.137552,-0.395079
1405.9646,23.432743,28728.0625,28.728063,-0.00109,-1.09048,-0.442151
1465.9646,24.432743,28728.06445,28.728064,-0.001041,-1.041228,-0.491403
1525.9646,25.432743,28728.06445,28.728064,-0.000993,-0.992915,-0.539716
1585.9646,26.432743,28728.05664,28.728057,-0.00095,-0.950126,-0.582505
1645.9646,27.432743,28728.05859,28.728059,-0.000905,-0.905017,-0.627614
1705.9646,28.432743,28728.06055,28.728061,-0.000858,-0.858089,-0.674542
1765.9646,29.432743,28728.05078,28.728051,-0.000819,-0.819015,-0.713616
1825.9646,30.432743,28728.04883,28.728049,-0.000782,-0.782143,-0.750488
1885.9646,31.432743,28728.05664,28.728057,-0.000738,-0.73806,-0.794571
1945.9646,32.432743,28728.05273,28.728053,-0.000697,-0.697255,-0.835376
2005.9646,33.432743,28728.04883,28.728049,-0.000659,-0.659123,-0.873508
2065.9646,34.432743,28728.04297,28.728043,-0.000625,-0.624944,-0.907687
2125.9646,35.432743,28728.03906,28.728039,-0.000594,-0.594396,-0.938235
2185.9646,36.432743,28728.04883,28.728049,-0.000555,-0.555155,-0.977476
2245.9646,37.432743,28728.04492,28.728045,-0.00052,-0.519936,-1.012695
2305.9646,38.432743,28728.03516,28.728035,-0.000492,-0.491991,-1.04064
2365.9646,39.432743,28728.03711,28.728037,-0.000462,-0.462132,-1.070499
2425.9646,40.432743,28728.03516,28.728035,-0.000434,-0.433702,-1.098929
2485.9646,41.432743,28728.0332,28.728033,-0.000407,-0.40686,-1.125771
2545.9646,42.432743,28728.04102,28.728041,-0.000374,-0.373634,-1.158997
2605.9646,43.432743,28728.03711,28.728037,-0.000344,-0.344138,-1.188493
2665.9646,44.432743,28728.0332,28.728033,-0.000316,-0.3162,-1.216431
2725.9646,45.432743,28728.0332,28.728033,-0.000289,-0.288885,-1.243746
2785.9646,46.432743,28728.02734,28.728027,-0.000267,-0.266721,-1.26591
2845.9646,47.432743,28728.03125,28.728031,-0.000241,-0.241432,-1.291199
2905.9646,48.432743,28728.0332,28.728033,-0.000215,-0.21464,-1.317991
2965.9646,49.432743,28728.03711,28.728037,-0.000184,-0.183787,-1.348844
3025.9646,50.432743,28728.02734,28.728027,-0.00016,-0.160364,-1.372267
3085.9646,51.432743,28728.0293,28.728029,-0.000136,-0.136387,-1.396244
3145.9646,52.432743,28728.0293,28.728029,-0.000112,-0.112198,-1.420433
3205.9646,53.432743,28728.02734,28.728027,-0.000089,-0.088857,-1.443774
3265.9646,54.432743,28728.02734,28.728027,-0.000065,-0.065251,-1.46738
3325.9646,55.432743,28728.03125,28.728031,-0.000038,-0.037896,-1.494735
3385.9646,56.432743,28728.0293,28.728029,-0.000013,-0.013332,-1.519299
3445.9646,57.432743,28728.02734,28.728027,0.000011,0.010903,-1.543534
3505.9646,58.432743,28728.02734,28.728027,0.000034,0.034186,-1.566817
3565.9646,59.432743,28728.03711,28.728037,0.000066,0.066335,-1.598966
3625.9646,60.432743,28728.03711,28.728037,0.000099,0.099322,-1.631953
3685.9646,61.432743,28728.04102,28.728041,0.000135,0.135135,-1.667766
3745.9646,62.432743,28728.04297,28.728043,0.000173,0.173013,-1.705644
3805.9646,63.432743,28728.04297,28.728043,0.000211,0.211329,-1.74396
3865.9646,64.432743,28728.04492,28.728045,0.000252,0.252102,-1.784733
3925.9646,65.432743,28728.04492,28.728045,0.000292,0.291621,-1.824252
3985.9646,66.432743,28728.06445,28.728064,0.000349,0.348858,-1.881489
4045.9646,67.432743,28728.07813,28.728078,0.000419,0.419091,-1.951722
4105.964844,68.432747,28728.07617,28.728076,0.000489,0.488524,-2.021155
4165.964844,69.432747,28728.10352,28.728104,0.000582,0.582108,-2.114739
4225.964844,70.432747,28728.12695,28.728127,0.000698,0.698358,-2.230989
4285.964844,71.432747,28728.16406,28.728164,0.000849,0.849325,-2.381956
4345.964844,72.432747,28728.22266,28.728223,0.001055,1.055241,-2.587872
4405.964844,73.432747,28728.25195,28.728252,0.00129,1.28975,-2.822381
4465.964844,74.432747,28728.24219,28.728242,0.001515,1.515381,-3.048012
4525.964844,75.432747,28728.23828,28.728238,0.001739,1.73868,-3.271311
4585.964844,76.432747,28728.22266,28.728223,0.001947,1.946897,-3.479528
4645.964844,77.432747,28728.21875,28.728219,0.002152,2.152385,-3.685016
4705.964844,78.432747,28728.22852,28.728229,0.002369,2.369094,-3.901725
4765.964844,79.432747,28728.22852,28.728229,0.002585,2.585236,-4.117867
4825.964844,80.432747,28728.19727,28.728197,0.002774,2.774242,-4.306873
4885.964844,81.432747,28728.17969,28.72818,0.002947,2.947201,-4.479832
4945.964844,82.432747,28728.16797,28.728168,0.00311,3.10967,-4.642301
5005.964844,83.432747,28728.1582,28.728158,0.003262,3.262367,-4.794998
5065.964844,84.432747,28728.16406,28.728164,0.003421,3.420651,-4.953282
5125.964844,85.432747,28728.1582,28.728158,0.003575,3.575055,-5.107686
5185.964844,86.432747,28728.12891,28.728129,0.003701,3.700613,-5.233244
5245.964844,87.432747,28728.12891,28.728129,0.003826,3.826187,-5.358818
5305.964844,88.432747,28728.12695,28.728127,0.003951,3.950793,-5.483424
5365.964844,89.432747,28728.12109,28.728121,0.00407,4.070139,-5.60277
5425.964844,90.432747,28728.125,28.728125,0.004196,4.195632,-5.728263
5485.964844,91.432747,28728.12109,28.728121,0.004318,4.317744,-5.850375
5545.964844,92.432747,28728.09961,28.7281,0.004417,4.417431,-5.950062
5605.964844,93.432747,28728.0918,28.728092,0.004511,4.511069,-6.0437
5665.964844,94.432747,28728.08789,28.728088,0.004601,4.601322,-6.133953
5725.964844,95.432747,28728.08594,28.728086,0.00469,4.689826,-6.222457
5785.964844,96.432747,28728.09375,28.728094,0.004786,4.78623,-6.318861
5845.964844,97.432747,28728.10156,28.728102,0.00489,4.889918,-6.422549
5905.964844,98.432747,28728.08203,28.728082,0.004974,4.974077,-6.506708
5965.964844,99.432747,28728.07617,28.728076,0.005053,5.053307,-6.585938
6025.964844,100.432747,28728.07227,28.728072,0.005128,5.128081,-6.660712
6085.964844,101.432747,28728.07227,28.728072,0.005204,5.20381,-6.736441
6145.964844,102.432747,28728.08398,28.728084,0.005293,5.292564,-6.825195
6205.964844,103.432747,28728.08008,28.72808,0.005377,5.377093,-6.909724
6265.964844,104.432747,28728.07031,28.72807,0.005453,5.452749,-6.98538
6325.964844,105.432747,28728.06445,28.728064,0.005522,5.521547,-7.054178
6385.964844,106.432747,28728.0625,28.728063,0.005588,5.588337,-7.120968
6445.964844,107.432747,28728.0625,28.728063,0.005657,5.656829,-7.18946
6505.964844,108.432747,28728.06641,28.728066,0.005729,5.729499,-7.26213
6565.964844,109.432747,28728.07227,28.728072,0.005808,5.808364,-7.340995
6625.964844,110.432747,28728.05859,28.728059,0.005873,5.873155,-7.405786
6685.964844,111.432747,28728.05859,28.728059,0.005937,5.936926,-7.469557
6745.964844,112.432747,28728.05664,28.728057,0.005999,5.999427,-7.532058
6805.964844,113.432747,28728.05469,28.728055,0.006061,6.060526,-7.593157
6865.964844,114.432747,28728.06445,28.728064,0.006132,6.131611,-7.664242
6925.964844,115.432747,28728.06055,28.728061,0.0062,6.200258,-7.732889
6985.964844,116.432747,28728.05273,28.728053,0.006259,6.259385,-7.792016
7045.964844,117.432747,28728.05078,28.728051,0.006316,6.315631,-7.848262
7105.964844,118.432747,28728.05469,28.728055,0.006378,6.378312,-7.910943
7165.964844,119.432747,28728.05273,28.728053,0.006437,6.43737,-7.970001
7225.964844,120.432747,28728.05469,28.728055,0.006501,6.500891,-8.033522
7285.964844,121.432747,28728.06055,28.728061,0.006569,6.569389,-8.10202
7345.964844,122.432747,28728.04297,28.728043,0.00662,6.619859,-8.15249
7405.964844,123.432747,28728.04688,28.728047,0.006674,6.673986,-8.206617
7465.964844,124.432747,28728.04297,28.728043,0.006723,6.722818,-8.255449
7525.964844,125.432747,28728.04492,28.728045,0.006774,6.774485,-8.307116
7585.964844,126.432747,28728.04883,28.728049,0.006832,6.832155,-8.364786
7645.964844,127.432747,28728.04102,28.728041,0.006881,6.880747,-8.413378
7705.964844,128.432747,28728.03516,28.728035,0.006923,6.923245,-8.455876
7765.964844,129.432747,28728.03906,28.728039,0.00697,6.969889,-8.50252
7825.964844,130.432747,28728.03906,28.728039,0.007016,7.015971,-8.548602
7885.964844,131.432747,28728.03711,28.728037,0.007061,7.060572,-8.593203
7945.964844,132.432747,28728.03906,28.728039,0.007108,7.107881,-8.640512
8005.964844,133.432747,28728.04297,28.728043,0.00716,7.159959,-8.69259
8065.964844,134.432747,28728.03711,28.728037,0.007205,7.205255,-8.737886
8125.964844,135.432747,28728.03711,28.728037,0.00725,7.249696,-8.782327
8185.964844,136.432747,28728.03711,28.728037,0.007295,7.295045,-8.827676
8245.964844,137.432747,28728.03516,28.728035,0.007339,7.339233,-8.871864
8305.964844,138.432747,28728.03906,28.728039,0.007387,7.387394,-8.920025
8365.964844,139.432747,28728.03906,28.728039,0.007435,7.435255,-8.967886
8425.964844,140.432747,28728.03516,28.728035,0.007479,7.479043,-9.011674
8485.964844,141.432747,28728.0332,28.728033,0.007521,7.521426,-9.054057
8545.964844,142.432747,28728.0332,28.728033,0.007564,7.564153,-9.096784
8605.964844,143.432747,28728.03125,28.728031,0.007603,7.603107,-9.135738
8665.964844,144.432747,28728.0332,28.728033,0.007646,7.645891,-9.178522
8725.964844,145.432747,28728.03125,28.728031,0.007684,7.684472,-9.217103
8785.964844,146.432747,28728.02344,28.728023,0.007715,7.715477,-9.248108
8845.964844,147.432747,28728.0293,28.728029,0.007753,7.752767,-9.285398
8905.964844,148.432747,28728.0293,28.728029,0.00779,7.789913,-9.322544
8965.964844,149.432747,28728.02539,28.728025,0.007822,7.821849,-9.35448
9025.964844,150.432747,28728.02734,28.728027,0.007856,7.856492,-9.389123
9085.964844,151.432747,28728.03125,28.728031,0.007897,7.897268,-9.429899
9145.964844,152.432747,28728.02148,28.728021,0.007925,7.924595,-9.457226
9205.964844,153.432747,28728.01953,28.72802,0.007951,7.951034,-9.483665
9265.964844,154.432747,28728.02734,28.728027,0.007987,7.986517,-9.519148
9325.964844,155.432747,28728.02148,28.728021,0.008016,8.0165,-9.549131
9385.964844,156.432747,28728.02148,28.728021,0.008045,8.044841,-9.577472
9445.964844,157.432747,28728.02344,28.728023,0.008078,8.077649,-9.61028
9505.964844,158.432747,28728.01953,28.72802,0.008103,8.10321,-9.635841
9565.964844,159.432747,28728.01953,28.72802,0.00813,8.129875,-9.662506
9625.964844,160.432747,28728.02148,28.728021,0.008158,8.158186,-9.690817
