,TimeStamp,Time in Minutes,Kyowa PG 500 KUM -Load in bar-(bar),Load in kN,Stud2-Axial-O,Stud2-Axial,Stud3-Axial-O,Stud3-Axial,Stud4-Axial-O,Stud4-Axial,Stud5-Axial-O,Stud5-Axial,Stud3-Top-O,Stud3-Top,Stud3-Mid-O,Stud3-Mid,Stud3-Bottom-O,Stud3-Bottom,Stud4-Top-O,Stud4-Top,Stud4-Mid-O,Stud4-Mid,Stud4-Bottom-O,Stud4-Bottom,Pb1-Top-Left,Pb1-Top-Right,Pb1-Mid-Mid,Pb1-Bottom-Left,Pb1-Bottom-Right,Pb1-Pb2-Mid-Left,Pb1-Pb2-Mid-Mid,Pb1-Pb2-Mid-Right,Pb2-Top-Left,Pb2-Top-Right,Pb2-Mid-Mid,Pb2-Bottom-Left,Pb2-Bottom-Right,Pb3-Top-Left,Pb3-Top-Right,Pb3-Mid-Mid,Pb3-Bottom-Left,Pb3-Bottom-Right,Pb3-Pb4-Mid-Left,Pb3-Pb4-Mid-Mid,Pb3-Pb4-Mid-Right,Pb4-Top-Left,Pb4-Top-Right,Pb4-Mid-Mid,Pb4-Bottom-Left,Pb4-Bottom-Right,Pb4-Top of stud,Pb4-Inbetween stud,Stud2-Mid-Fire-HF,Stud2-Mid-Fire-CF,Stud2-Mid-Amb-HF,Stud2-Mid-Amb-CF,Stud3-Top-Fire-HF,Stud3-Top-Fire-CF,Stud3-Top-Amb-HF,Stud3-Top-Amb-CF,Stud3-Mid-Fire-HF,Stud3-Mid-Fire-CF,Stud3-Mid-Amb-HF,Stud3-Mid-Amb-CF,Stud3-Bottom-Fire-HF,Stud3-Bottom-Fire-CF,Stud3-Bottom-Amb-HF,Stud3-Bottom-Amb-CF,Stud4-Top-Fire-HF,Stud4-Top-Fire-CF,Stud4-Top-Amb-HF,Stud4-Top-Amb-CF,Stud4-Mid-Fire-HF,Stud4-Mid-Fire-CF,Stud4-Mid-Amb-HF,Stud4-Mid-Amb-CF,Stud4-Bottom-Fire-HF,Stud4-Bottom-Fire-CF,Stud4-Bottom-Amb-HF,Stud4-Bottom-Amb-CF,Stud5-Mid-Fire-HF,Stud5-Mid-Fire-CF,Stud5-Mid-Amb-HF,Stud5-Mid-Amb-CF,Furnace-Top-Left,Furnace-Top-Right,Furnace-Bottom-Left,Furnace-Bottom-Right,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4,Average-Furnace,Time2
0,37:35.0,0,-104.923759,33.71200377,13.039715,0.0,11.547123,0.0,12.319048,0.0,10.797503,0.0,1.477795,0.0,0.31198000000000004,0.0,-2.6337599999999997,0.0,1.476148,0.0,0.696204,0.0,-1.738866,0.0,19.441998,21.868843,22.414360000000002,21.418634,21.842474,20.94973,20.880512,21.009453,21.011536,20.636251,20.92959,20.434551000000003,20.764985999999997,20.756651,20.675383,20.930285,20.705482,20.410234,20.654543,20.800873,20.773785,21.224014,20.263624,21.322601000000002,21.127501000000002,20.683718,20.582066,21.198555,20.521164000000002,20.62722,20.41695,20.846481,21.412848999999998,21.025888000000002,21.200638,21.134211999999998,21.003666,21.036768,20.761745,21.203878,20.956907,20.446594,20.793928,20.509817,20.88769,20.903431,20.638334,21.107595,21.130972,20.676771,20.774015,20.702242000000002,20.607075,20.628147,20.322224,20.735352,20.618422,20.252506,20.632778,20.523249,25.919485,24.166359,24.412857000000002,24.371778,21.88607775,20.915121,20.6913445,20.695607,20.743067,21.111277800000003,24.71761975,
36,38:04.9,1,-104.43001600000001,33.55336414,13.041356,0.001641,11.550406,0.003283,12.319048,0.0,10.810637,0.013134,1.487647,0.009852,0.308696,-0.0032840000000000005,-2.660032,-0.026272000000000004,1.47779,0.0016420000000000002,0.69292,-0.0032840000000000005,-1.7979779999999999,-0.059112,-27.444712,52.905032999999996,52.508511,29.872093,42.078407,20.961536,20.869633,20.99325,20.992092,20.634399,20.905746,20.418804,20.726553,20.75318,20.66589,20.924961,20.671446,20.390779000000002,20.644123,20.792307,20.743686999999998,21.224476,20.252506,21.312186999999998,21.121945999999998,20.674688,20.562614,21.185825,20.499164999999998,20.617264000000002,20.40514,20.837452,21.414469,21.02149,21.179346,21.127733,20.985147,21.026583,20.751328,21.183743,20.948341,20.432467000000003,20.78536,20.502638,20.879123999999997,20.899496,20.630463,21.098568,21.106207,20.669363,20.764523999999998,20.687424,20.602674,20.617264000000002,20.311569,20.728868,20.595034,20.246948,20.633242000000003,20.509354000000002,75.882812,69.97966,47.782207,49.015633,44.341011,20.9155845,20.6713755,20.6812512,20.72670567,21.103824399999997,60.665078,1.0
109,39:05.2,2,-101.81519300000001,32.71322151,13.013442999999999,-0.026272000000000004,11.5619,0.014777,12.355172,0.036124,10.82952,0.032017000000000004,1.481079,0.0032840000000000005,0.23316399999999998,-0.078816,-2.863639,-0.229879,0.857118,-0.61903,0.6896359999999999,-0.006568000000000001,-1.9983,-0.259434,-114.250656,135.04591399999998,167.895096,99.96521800000001,113.791183,21.324915,21.084681,20.988157,20.983759,20.646670999999998,20.88792,20.402128,20.722153,20.734194,20.655006,20.896486,20.673067,20.371094,20.626062,20.771238,20.735813,21.207813,20.237451999999998,21.290434,21.115696,20.64806,20.559604999999998,21.176336,20.505417,20.605223000000002,20.382906,20.813375,21.477175,21.031443,21.194853,21.130741,20.98237,21.012926,20.738360999999998,21.190454000000003,20.925655,20.417414,20.764754999999997,20.489901,20.938387,20.942554,20.649217999999998,21.118706,21.10343,20.651764,20.749243,20.685802,20.592024,20.590403,20.304853,20.705946,20.600592000000002,20.234903,20.626989000000002,20.488049,284.237946,281.58905,297.331055,249.025925,129.17435279999998,21.204798,20.664718,20.665969399999998,20.71103767,21.087667800000002,278.045994,1.0
182,40:05.5,3,-106.222893,34.12941552,13.098825999999999,0.059111000000000004,11.73595,0.188827,12.58177,0.26272199999999996,11.08813,0.290627,1.4154,-0.062395000000000006,-0.014778,-0.326758,-3.0311220000000003,-0.397362,0.840698,-0.63545,0.696204,0.0,-2.008152,-0.269286,-179.74205,181.482788,189.845581,126.582306,124.304771,24.381933,22.97995,20.998806,20.980749,20.668436,20.909681,20.397959,20.721922,20.718449,20.692516,20.873798,20.660101,20.343763,20.622358,20.755262,20.714514,21.191381,20.223782999999997,21.274466,21.114539999999998,20.622126,20.548489,21.149027,20.480406,20.582762,20.3748,20.803883,21.563709,21.02635,21.172864999999998,21.102503,20.958063,20.997879,20.714281,21.166616,20.93862,20.391476,20.750401,20.460953,21.046951,20.965704000000002,20.689507,21.155045,21.08746,20.631851,20.746927,20.669594,20.601055,20.560299,20.269415,20.668205,20.640419,20.235828,20.608465,20.471375,366.87005600000003,379.381195,371.241333,335.743652,155.5538615,23.6809415,20.6744995,20.6577254,20.697378,21.070307999999997,363.309059,1.0
254,41:05.1,4,-105.114456,33.77327471,13.117709,0.07799400000000001,11.767147999999999,0.220025,12.624462,0.30541399999999996,11.125896000000001,0.328393,1.1855200000000001,-0.292275,-0.21345999999999998,-0.52544,-3.3201129999999996,-0.686353,0.840698,-0.63545,0.6896359999999999,-0.006568000000000001,-2.2905740000000003,-0.551708,-289.272217,223.89718599999998,248.226212,180.701019,177.164795,32.095734,29.318838,21.055979,20.985147,20.793695,21.081209,20.4855,20.814764,20.731878,20.698769,20.864307,20.638334,20.345617,20.611242,20.728868,20.701548000000003,21.181196,20.211277,21.256876000000002,21.096718,20.59897,20.526258,21.129122,20.505879999999998,20.559604999999998,20.3389,20.786518,21.671059,21.030287,21.170551,21.093477,21.009453,20.973574,20.67654,21.148794,21.035841,20.353493,20.716366,20.439878,21.367264000000002,21.014545000000002,20.687654000000002,21.141851000000003,21.186058,20.629072,20.715902,20.638798,20.692749,20.56632,20.246485,20.663342,20.759660999999998,20.236988,20.608696,20.467438,426.274445,445.99188200000003,439.51895099999996,414.25647000000004,207.49730300000002,30.707286,20.793792,20.655781,20.68055267,21.0525764,431.510437,1.0
327,42:05.3,5,-105.508652,33.89992989,13.162864,0.123149,11.798346,0.251223,12.652376,0.333328,11.152167,0.354664,0.801293,-0.676502,-0.321832,-0.633812,-3.586115,-0.952355,0.840698,-0.63545,0.6896359999999999,-0.006568000000000001,-2.5270200000000003,-0.788154,-1837.746826,268.257294,291.123779,227.087723,216.81158399999998,42.650688,40.712532,21.138379999999998,20.988851999999998,21.172864999999998,21.792973,20.927971,21.193695,20.781193,20.743454,20.868242000000002,20.643429,20.378505999999998,20.592254999999998,20.726089,20.68395,21.176569,20.189966000000002,21.245073,21.076349,20.582529,20.516069,21.113382,20.682560000000002,20.586929,20.324541,20.783045,22.12718,21.109678,21.198786,21.147869,21.290895000000003,20.991629,20.670288,21.126112,21.343428,20.374567000000003,20.71104,20.420192999999998,22.041382000000002,21.174948,20.757114,21.189297,21.577824,20.669363,20.77309,20.671215,21.003666,20.597118,20.242546,20.646670999999998,21.139769,20.280996,20.620043,20.455626000000002,488.04342699999995,502.904358,512.0787349999999,498.49359100000004,250.820095,41.68161,21.271876000000002,20.6829648,20.66743133,21.038780399999997,500.3800278,1.0
399,43:05.1,6,-105.374901,33.85695569,13.169432,0.129717,11.818049,0.270926,12.668797,0.349749,11.160377,0.362874,0.440054,-1.037741,-0.44662399999999997,-0.758604,-3.7404629999999996,-1.106703,0.617388,-0.8587600000000001,0.679784,-0.01642,-2.635391,-0.896525,-20553.8457,318.031952,344.988983,263.855103,238.86090099999998,56.062031000000005,54.963668999999996,21.261505,20.979824,22.16395,23.609457,22.085093,22.14175,20.931210999999998,20.885838,20.932369,20.685570000000002,20.43432,20.630926000000002,20.692053,20.664732,21.168699,20.171898000000002,21.229105,21.054823000000003,20.56632,20.499395,21.109447,21.267754,20.717523999999997,20.378505999999998,20.849722,23.03425,21.338337,21.313807,21.265207,22.029819,21.107132,20.725395000000002,21.147869,22.014093,20.473921,20.71104,20.422972,23.285622,21.50309,20.888384,21.243454,22.567169,20.809207999999998,20.902969,20.733036,21.744856,20.724932,20.316202,20.659868,22.062428,20.402128,20.652227,20.477627,525.812866,534.437866,541.299316,533.877563,291.4342348,55.51285,22.5000625,20.7738616,20.66257033,21.0256788,533.8569028,1.0
471,44:04.8,7,-105.348198,33.84837602,13.190778,0.151063,11.824617,0.277494,12.683575,0.364527,11.189932,0.392429,0.10344600000000001,-1.374349,-0.571415,-0.883395,-3.79629,-1.1625299999999998,0.334966,-1.141182,0.6863520000000001,-0.009852,-2.71749,-0.9786239999999999,-139952.1094,372.543518,391.833679,290.101501,254.63792400000003,66.326012,63.138191000000006,21.359627,20.998573,24.389549,26.538315,24.576006,23.977293,21.28002,21.161524,21.167310999999998,20.800642,20.599201,20.701548000000003,20.694832,20.655237,21.168468,20.168423,21.23003,21.06547,20.562847,20.508658999999998,21.107595,22.295521,21.064775,20.544552,21.035378,24.418165,21.834377,21.54335,21.493141,23.25305,21.458202,20.888847,21.233501,23.200605,20.724932,20.757114,20.452151999999998,25.15202,22.329276999999998,21.236742,21.570189000000003,24.157125,21.258728,21.150876999999998,20.832823,22.985955999999998,21.030748000000003,20.426678,20.767534,23.598372,20.744612,20.768923,20.560762,563.086426,565.071228,555.741272,541.918518,327.2791555,64.7321015,24.87029075,21.0017396,20.68387233,21.026882,556.4543610000001,1.0
544,45:05.1,8,-105.151756,33.7852592,13.221975,0.18225999999999998,11.85253,0.30540700000000004,12.698353,0.379305,11.193216,0.39571300000000004,-0.282423,-1.760218,-0.804579,-1.116559,-4.059009,-1.425249,-0.029556,-1.5057040000000002,0.492597,-0.20360699999999998,-2.927665,-1.188799,-367317.375,413.995514,464.520355,348.443207,307.87564100000003,72.150093,69.224411,21.403361999999998,20.99626,28.425993,31.045851000000003,28.714037,27.437813000000002,21.873699,21.709460999999997,21.59078,21.080284,20.944637,20.755726,20.691359,20.665657,21.158978,20.157072,21.211054,21.037229999999997,20.553352,20.496153,21.094866,24.298154999999998,21.783487,20.932137,21.426270000000002,26.929794,22.835054,22.097348999999998,21.923197000000002,25.421122,22.157010999999997,21.280251,21.440847,25.296148000000002,21.239288000000002,20.910839000000003,20.53969,28.148907,23.665344,21.911402,21.981482,26.954890999999996,22.085785,21.638903,21.181196,25.133801000000002,21.583839,20.720997,20.904125,26.095079000000002,21.464449,21.06871,20.714745,567.4069820000001,577.990906,595.564209,584.132568,383.70867930000003,70.687252,28.9059235,21.439772199999997,20.70424733,21.011096,581.2736663,1.0
616,46:04.8,9,-104.928169,33.71342070000001,13.271235,0.23151999999999998,11.870593,0.32347,12.718057,0.399009,11.240833,0.44333,-0.40721399999999996,-1.885009,-0.8735430000000001,-1.1855229999999999,-4.236344,-1.602584,-0.03284,-1.508988,0.482745,-0.213459,-3.127987,-1.3891209999999998,-1025653.563,455.22180199999997,512.6592410000001,424.393616,374.393524,76.416229,74.315224,21.435062,21.046720999999998,34.453033000000005,36.350891,33.480309000000005,32.222889,22.723423,22.528334,22.191698000000002,21.556767999999998,21.508875,20.823793,20.75017,20.737204000000002,21.208044,20.15823,21.196703,21.034916,20.556362,20.505879999999998,21.121252,27.178656,22.957071,21.826744,22.053639999999998,30.399126000000003,24.393933999999998,23.049271,22.556767,28.399551000000002,23.235029,21.968992,21.782331,28.140858,22.026119,21.206885999999997,20.717754,32.007979999999996,25.464466,23.023623,22.640213,30.550577,23.350073000000002,22.589592,21.735371,28.045414,22.424995000000003,21.206425,21.15921,29.360188,22.529951,21.716402,21.050425,586.5751339999999,594.025146,632.233704,613.73938,441.66704580000004,75.36572650000001,34.1267805,22.101819600000002,20.770389,21.023455399999996,606.643341,1.0
