Time in Seconds,Time in Minutes,Displacement in m,Displacement in mm
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.100000,0.001667,0.000058,0.058087
0.100000,0.001667,0.000058,0.058087
0.200000,0.003333,0.000125,0.125122
0.200000,0.003333,0.000125,0.125122
0.300000,0.005000,0.000186,0.186086
0.300000,0.005000,0.000186,0.186086
0.450000,0.007500,0.000258,0.257902
0.450000,0.007500,0.000258,0.257902
0.675000,0.011250,0.000331,0.331298
0.675000,0.011250,0.000331,0.331298
1.012500,0.016875,0.000395,0.394593
1.012500,0.016875,0.000395,0.394593
1.518750,0.025312,0.000439,0.439135
1.518750,0.025312,0.000439,0.439135
2.278125,0.037969,0.000464,0.463800
2.278125,0.037969,0.000464,0.463800
3.417187,0.056953,0.000474,0.474168
3.417187,0.056953,0.000474,0.474168
5.125781,0.085430,0.000477,0.477372
5.125781,0.085430,0.000477,0.477372
7.688672,0.128145,0.000478,0.478081
7.688672,0.128145,0.000478,0.478081
11.533008,0.192217,0.000478,0.478191
11.533008,0.192217,0.000478,0.478191
17.299511,0.288325,0.000478,0.478202
17.299511,0.288325,0.000478,0.478202
25.949268,0.432488,0.000478,0.478203
25.949268,0.432488,0.000478,0.478203
29.192926,0.486549,0.000478,0.478203
29.192926,0.486549,0.000478,0.478203
34.058414,0.567640,0.000478,0.478203
34.058414,0.567640,0.000478,0.478203
43.789391,0.729823,0.000478,0.478203
43.789391,0.729823,0.000478,0.478203
63.251339,1.054189,0.000478,0.478203
63.251339,1.054189,0.000478,0.478203
102.175240,1.702921,0.000478,0.478203
102.175240,1.702921,0.000478,0.478203
162.175247,2.702921,0.000478,0.478203
162.175247,2.702921,0.000478,0.478203
222.175247,3.702921,0.000478,0.478203
222.175247,3.702921,0.000478,0.478203
282.175232,4.702921,0.000478,0.478203
282.175232,4.702921,0.000478,0.478203
342.175232,5.702921,0.000478,0.478203
342.175232,5.702921,0.000478,0.478203
402.175232,6.702921,0.000519,0.519041
402.175232,6.702921,0.000519,0.519041
462.175232,7.702921,0.000544,0.543671
462.175232,7.702921,0.000544,0.543671
522.175232,8.702921,0.000572,0.572235
522.175232,8.702921,0.000572,0.572235
582.175232,9.702921,0.000591,0.591217
582.175232,9.702921,0.000591,0.591217
642.175232,10.702921,0.000646,0.645509
642.175232,10.702921,0.000646,0.645509
702.175232,11.702921,0.000725,0.725243
702.175232,11.702921,0.000725,0.725243
762.175232,12.702921,0.000816,0.815954
762.175232,12.702921,0.000816,0.815954
822.175232,13.702921,0.000924,0.923527
822.175232,13.702921,0.000924,0.923527
882.175232,14.702921,0.001041,1.040668
882.175232,14.702921,0.001041,1.040668
942.175232,15.702921,0.001183,1.182658
942.175232,15.702921,0.001183,1.182658
1002.175232,16.702921,0.001291,1.290924
1002.175232,16.702921,0.001291,1.290924
1062.175293,17.702922,0.001380,1.379592
1062.175293,17.702922,0.001380,1.379592
1122.175293,18.702922,0.001514,1.513969
1122.175293,18.702922,0.001514,1.513969
1182.175293,19.702922,0.001641,1.640736
1182.175293,19.702922,0.001641,1.640736
1242.175293,20.702922,0.001759,1.759286
1242.175293,20.702922,0.001759,1.759286
1302.175293,21.702922,0.001858,1.858139
1302.175293,21.702922,0.001858,1.858139
1362.175293,22.702922,0.001980,1.980014
1362.175293,22.702922,0.001980,1.980014
1422.175293,23.702922,0.002102,2.101546
1422.175293,23.702922,0.002102,2.101546
1482.175293,24.702922,0.002211,2.211201
1482.175293,24.702922,0.002211,2.211201
1542.175293,25.702922,0.002345,2.345389
1542.175293,25.702922,0.002345,2.345389
1602.175293,26.702922,0.002446,2.446236
1602.175293,26.702922,0.002446,2.446236
1662.175293,27.702922,0.002539,2.539144
1662.175293,27.702922,0.002539,2.539144
1722.175293,28.702922,0.002619,2.618635
1722.175293,28.702922,0.002619,2.618635
1782.175293,29.702922,0.002695,2.695002
1782.175293,29.702922,0.002695,2.695002
1842.175293,30.702922,0.002736,2.735657
1842.175293,30.702922,0.002736,2.735657
1902.175293,31.702922,0.002809,2.809054
1902.175293,31.702922,0.002809,2.809054
1962.175293,32.702922,0.002889,2.888775
1962.175293,32.702922,0.002889,2.888775
2022.175293,33.702922,0.002963,2.962928
2022.175293,33.702922,0.002963,2.962928
2082.175293,34.702922,0.003006,3.006429
2082.175293,34.702922,0.003006,3.006429
2142.175293,35.702922,0.003058,3.058318
2142.175293,35.702922,0.003058,3.058318
2202.175293,36.702922,0.003096,3.096466
2202.175293,36.702922,0.003096,3.096466
2262.175293,37.702922,0.003145,3.144921
2262.175293,37.702922,0.003145,3.144921
2322.175293,38.702922,0.003180,3.180463
2322.175293,38.702922,0.003180,3.180463
2382.175293,39.702922,0.003197,3.197068
2382.175293,39.702922,0.003197,3.197068
2442.175293,40.702922,0.003242,3.241748
2442.175293,40.702922,0.003242,3.241748
2502.175293,41.702922,0.003307,3.307373
2502.175293,41.702922,0.003307,3.307373
2562.175293,42.702922,0.003352,3.351538
2562.175293,42.702922,0.003352,3.351538
2622.175293,43.702922,0.003403,3.403325
2622.175293,43.702922,0.003403,3.403325
2682.175293,44.702922,0.003444,3.444376
2682.175293,44.702922,0.003444,3.444376
2742.175293,45.702922,0.003460,3.460426
2742.175293,45.702922,0.003460,3.460426
2802.175293,46.702922,0.003500,3.499963
2802.175293,46.702922,0.003500,3.499963
2862.175293,47.702922,0.003530,3.529927
2862.175293,47.702922,0.003530,3.529927
2922.175293,48.702922,0.003551,3.550676
2922.175293,48.702922,0.003551,3.550676
2982.175293,49.702922,0.003567,3.567481
2982.175293,49.702922,0.003567,3.567481
3042.175293,50.702922,0.003611,3.611465
3042.175293,50.702922,0.003611,3.611465
3102.175293,51.702922,0.003638,3.637514
3102.175293,51.702922,0.003638,3.637514
3162.175293,52.702922,0.003683,3.683290
3162.175293,52.702922,0.003683,3.683290
