TimeStamp,Time in Minutes,Load-in-bar-(bar),Load in kN,Stud2-Axial,Stud3-Axial,Stud4-Axial,Stud5-Axial,Stud3-Top,Stud3-Mid,Stud3-Bottom,Stud4-Top,Stud4-Mid,Stud4-Bottom,Pb1-Top-Left,Pb1-Top-Right,Pb1-Mid-Mid,Pb1-Bottom-Left,Pb1-Bottom-Right,Pb1-Pb2-Mid-Left,Pb1-Pb2-Mid-Mid,Pb1-Pb2-Mid-Right,Pb2-Mid-Left,Pb2-Mid-Mid,Pb2-Mid-Right,Pb3-Mid-Left,Pb3-Mid-Mid,Pb3-Mid-Right,Pb3-Pb4-Mid-Left,Pb3-Pb4-Mid-Mid,Pb3-Pb4-Mid-Right,Pb4-Top-Left,Pb4-Top-Right,Pb4-Mid-Mid,Pb4-Bottom-Left,Pb4-Bottom-Right,Stud2-Mid-Fire-HF,Stud2-Mid-Fire-CF,Stud2-Mid-Amb-HF,Stud2-Mid-Amb-CF,Stud3-Top-Fire-HF,Stud3-Top-Fire-HF-Extra,Stud3-Top-Fire-CF,Stud3-Top-Fire-CF-Extra,Stud3-Top-Amb-HF,Stud3-Top-Amb-CF,Stud3-Mid-Fire-HF,Stud3-Mid-Fire-HF-Extra,Stud3-Mid-Fire-CF,Stud3-Mid-Amb-HF,Stud3-Mid-Amb-CF,Stud3-Bottom-Fire-HF,Stud3-Bottom-Fire-CF,Stud3-Bottom-Amb-HF,Stud3-Bottom-Amb-CF,Stud4-Top-Fire-HF,Stud4-Top-Fire-HF-Extra,Stud4-Top-Fire-CF,Stud4-Top-Fire-CF-Extra,Stud4-Top-Amb-HF,Stud4-Top-Amb-CF,Stud4-Mid-Fire-HF,Stud4-Mid-Fire-HF-Extra,Stud4-Mid-Fire-CF,Stud4-Mid-Amb-HF,Stud4-Mid-Amb-CF,Stud4-Bottom-Fire-HF,Stud4-Bottom-Fire-CF,Stud4-Bottom-Amb-HF,Stud4-Bottom-Amb-CF,Stud5-Mid-Fire-HF,Stud5-Mid-Fire-CF,Stud5-Mid-Amb-HF,Stud5-Mid-Amb-CF,Furnace-Top-Left,Furnace-Top-Right,Furnace-Bottom-Left,Furnace-Bottom-Right,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4,Average-Furnace
43082.46117,1,-84.862,30.2661606,8.572673,8.822235,8.52342,8.477453,0.256149,-0.022988,1.47451,-0.952334,0.820992,-2.357859,85.770668,46.864388,41.162548,39.308178,38.713295,21.696739,20.810366,21.828363,21.055979,20.693211,20.864307,20.967787,20.968945,21.01524,20.952509,21.015472,21.35708,21.758505,22.025194,21.847794,21.308252,21.457277,20.495691,20.888847,21.110373,20.772163,20.793001,20.706177,20.84486,20.920563,20.89394,21.367956,21.349445,20.962694,21.210127,21.263588,21.313807,21.567875,20.754105,21.295755,21.400585,20.76985,21.115465,20.913385,20.952971,21.171476,21.054127,20.972647,20.984222,20.672836,20.988621,20.99811,20.610085,20.721458,20.625599,21.0245,20.867317,20.557289,20.995564,20.960379,59.481445,66.64093,32.630363,44.926487,50.3638154,20.810366,20.87116567,20.98399067,21.10835367,21.6794044,50.91980625
43082.46187,2,-84.638191,30.19425077,8.52834,8.823877,8.548871,8.510293,0.216742,-0.052544,1.464658,-0.937557,0.755312,-2.236354,138.225983,115.090973,118.052803,106.782158,103.20359,21.674297,21.001352,21.805695,21.017092,20.691591,20.844398,20.939775,20.936768,20.982138,20.910376,21.002277,21.32584,21.752489,22.00808,21.823275,21.278631,21.438534,20.466047,20.883986,21.079126,20.735582,20.780731,21.244379,20.810366,20.914543,20.876347,21.35708,21.333477,20.931906,21.182123,21.219847,21.28488,21.520443,20.712893,21.253868,21.358007,20.740908,21.407526,20.882828,20.92033,21.140463,21.022879,20.961073,20.971952,20.618652,20.958759,20.968018,20.605453,20.677235,20.606611,20.991629,20.843472,20.532974,20.969639,20.931211,229.103165,270.62561,188.866364,160.445648,116.2711014,21.001352,20.851027,20.95289367,21.07949767,21.6602018,212.2601968
43082.46256,3,-84.197418,30.0526304,8.559537,8.832088,8.54805,8.505366,0.213458,-0.04926,1.471226,-1.034432,0.853831,-2.274119,225.837463,204.922699,223.886765,196.907761,202.032074,21.708075,23.018307,21.760124,21.016628,20.665195,20.845324,20.923109,20.901812,20.964777,20.871716,20.979361,21.303625,21.766602,22.014786,21.808239,21.280251,21.422337,20.463964,20.850416,21.04973,20.732342,20.825413,22.355635,20.795317,20.90922,20.856205,21.329311,21.31612,20.922646,21.153423,21.189991,21.25271,21.514196,20.681866,21.224939,21.317278,20.770311,22.317255,20.872179,20.88792,21.123566,21.000425,20.940702,20.954823,20.603601,20.916395,20.952045,20.653618,20.67214,20.593182,20.976814,20.826571,20.529037,20.945332,20.925425,398.948883,473.730835,358.750549,330.219971,210.7173524,23.018307,20.84238233,20.92989933,21.05156733,21.658443,390.4125595
43082.46326,4,-84.146652,30.03631929,8.546402,8.830445,8.525884,8.507009,0.220026,-0.04926,1.47451,-1.004877,0.79472,-2.31681,219.799881,197.88797,208.697281,180.647659,175.893463,21.913715,30.64419,21.782562,21.124029,20.728405,20.945795,20.900654,20.892551,20.942322,20.853889,20.947878,21.271456,21.766369,22.015711,21.795517,21.252016,21.39642,20.507963,20.84185,21.02774,20.694832,20.973804,23.521694,20.781193,20.903894,20.826109,21.304087,21.432518,20.973343,21.12426,21.155275,21.222393,21.487587,20.661259,21.201101,21.305939,20.915932,23.321198,20.852268,20.888615,21.096949,20.980288,20.981907,20.962461,20.573961,20.89695,20.921951,20.825182,20.654312,20.562384,20.942785,20.878199,20.488512,20.911997,20.89996,397.239288,438.792511,349.577393,331.181915,196.5852508,30.64419,20.932743,20.91184233,21.02440767,21.6452066,379.1977768
43082.46396,5,-84.105385,30.0230602,8.566105,8.832088,8.513569,8.508651,0.009852,-0.111655,1.45809,-0.824262,0.824276,-2.239638,269.427002,256.404388,288.481476,230.235352,246.259903,23.169186,40.286221,21.770533,21.631037,21.186983,21.529236,20.917784,20.895329,20.960842,20.812449,20.93862,21.244379,21.764519,22.001373,21.756653,21.216608,21.367264,20.827034,20.846712,21.020102,20.673761,21.505636,24.929909,20.816616,20.952971,20.833517,21.303625,21.851494,21.338106,21.14023,21.130972,21.217302,21.4545,20.692053,21.178188,21.272614,21.400585,24.675451,20.88468,20.937229,21.103197,20.965008,21.167774,21.129353,20.57373,20.881903,20.900885,21.226328,20.668436,20.5383,20.919405,21.079126,20.500786,20.890467,20.882364,448.231567,522.770813,406.107178,398.423645,258.1616242,40.286221,21.44908533,20.92465167,20.99848267,21.6212834,443.8833008
43082.46466,6,-83.858841,29.94384561,8.539834,8.828803,8.566112,8.511114,-0.126433,-0.177335,1.369422,-0.758583,0.752028,-2.131268,435.879608,433.711761,475.430695,382.662689,408.075867,24.079332,53.546936,21.800142,22.973942,22.443027,22.823961,21.017555,20.985611,21.056211,20.804577,20.895329,21.21221,21.751102,22.004148,21.70738,21.183048,21.318897,21.565792,20.950657,21.086533,20.67214,22.592365,27.665617,20.951351,21.136065,20.908756,21.354998,22.748154,22.252512,21.260347,21.176105,21.26729,21.445244,20.755957,21.190224,21.305244,22.491575,26.830788,21.03723,21.103197,21.187908,20.999037,21.782562,21.58569,20.668667,20.934683,20.917322,21.996284,20.770311,20.548952,20.952971,21.656021,20.568405,20.902969,20.869633,601.117249,681.249573,566.349426,610.454529,427.152124,53.546936,22.74697667,21.01979233,20.97070533,21.592915,614.7926943
43082.46536,7,-83.812271,29.92888267,8.549685,8.830445,8.540662,8.507009,-0.062395,-0.183903,1.372706,-0.701115,0.763522,-2.15754,385.203918,340.187897,370.172272,370.703613,322.044189,24.939365,64.696388,21.81888,25.803097,25.414896,25.845966,21.380453,21.314964,21.398039,20.790686,20.890236,21.209663,21.754341,21.99374,21.710388,21.160366,21.323063,23.140074,21.28974,21.313576,20.767302,24.799112,31.402884,21.358702,21.603968,21.119169,21.515354,24.566084,24.049553,21.588234,21.378139,21.43298,21.422567,20.970797,21.285805,21.370272,24.470781,30.304804,21.43784,21.537102,21.408684,21.115234,23.103107,22.713255,20.955517,21.183512,21.02635,23.514303,21.050886,20.620043,20.974731,22.917557,20.850416,21.037693,20.965471,532.663696,537.756836,512.984985,502.084717,357.6623778,64.696388,25.68798633,21.36448533,20.96352833,21.5883796,521.3725585
43082.46605,8,-85.308281,30.40955069,8.598945,8.850149,8.551334,8.515219,-0.20689,-0.266002,1.32673,-0.646931,0.712621,-2.154256,393.268188,375.463959,400.382782,338.696533,329.766266,25.175543,67.24382,21.80685,30.668051,29.806196,31.228167,22.046009,21.947714,22.205341,20.793695,20.905746,21.221004,21.774466,22.036064,21.703678,21.157589,21.301773,25.877079,21.990501,21.856813,21.003202,28.339771,35.225235,22.397482,22.678352,21.711544,21.81032,27.531012,27.11351,22.271704,21.846869,21.844555,21.422106,21.416782,21.535252,21.493141,27.817921,34.123096,22.411818,22.493195,22.007616,21.394569,25.573975,24.94075,21.627335,21.748558,21.296682,26.033556,21.600729,20.864538,21.111761,25.1933,21.535021,21.413311,21.209663,518.408508,574.370789,497.21579,486.114166,367.5155456,67.24382,30.56747133,22.06635467,20.97348167,21.594714,519.0273133
43082.46675,9,-85.09993,30.34260751,8.569389,8.850149,8.575964,8.538206,-0.426916,-0.354669,1.234779,-0.531994,0.663361,-1.980208,511.024475,481.439423,549.554382,482.114136,522.553406,25.35218,71.704094,21.798986,36.536411,34.897362,37.429111,22.988499,22.996586,23.315655,20.838379,20.973804,21.272383,21.806156,22.053177,21.70229,21.143471,21.285574,29.807114,23.075611,22.859089,21.442005,32.769127,39.694355,24.251993,24.338083,22.982491,22.44141,31.402884,30.693747,23.53301,22.848459,22.697767,21.413774,22.268467,21.956272,21.793898,31.721977,39.039574,23.926962,24.201445,23.053198,21.945169,28.732656,28.373341,22.67165,22.851925,21.816103,29.38316,22.487185,21.447096,21.417015,28.716106,22.642294,22.284191,21.676611,595.064941,655.118896,613.149353,624.551697,509.3371644,71.704094,36.287628,23.10024667,21.02818867,21.5981336,621.9712218
43082.46745,10,-85.224632,30.38267426,8.571852,8.85179,8.578426,8.540669,-0.495879,-0.453188,1.172383,-0.328391,0.507373,-1.980208,556.035156,515.348816,566.590454,526.734192,532.504395,25.672176,76.536163,21.804075,42.18058,40.579315,43.372181,24.360931,24.385395,24.807417,20.959684,21.125187,21.376518,21.830444,22.050402,21.709461,21.140694,21.271456,34.495098,24.929447,24.558701,22.368582,37.568172,45.147339,27.233667,27.121567,25.415586,23.703217,35.73592,35.230488,25.383539,24.670837,24.066175,21.378834,23.521925,22.6698,22.226383,36.611477,44.524776,26.317871,26.575857,25.017097,22.919405,32.951603,32.536469,24.352854,24.698984,22.860014,33.141373,23.809439,22.333208,21.976625,32.739819,24.409164,24.123425,22.612013,617.778564,663.691589,660.460388,650.621399,539.4426026,76.536163,42.04402533,24.51791433,21.15379633,21.6004914,648.137985
