Time in Minutes,Kyowa PG 500 KUM -Load in bar-(bar),Load in kN,Stud2-Axial,Stud3-Axial,Stud4-Axial,Stud5-Axial,Stud3-Top,Stud3-Mid,Stud3-Bottom,Stud4-Top,Stud4-Mid,Stud4-Bottom,Pb1-Top-Left,Pb1-Top-Right,Pb1-Mid-Mid,Pb1-Bottom-Left,Pb1-Bottom-Right,Pb1-Pb2-Mid-Left,Pb1-Pb2-Mid-Mid,Pb1-Pb2-Mid-Right,Pb2-Top-Left,Pb2-Top-Right,Pb2-Mid-Mid,Pb2-Bottom-Left,Pb2-Bottom-Right,Pb3-Top-Left,Pb3-Top-Right,Pb3-Mid-Mid,Pb3-Bottom-Left,Pb3-Bottom-Right,Pb3-Pb4-Mid-Left,Pb3-Pb4-Mid-Mid,Pb3-Pb4-Mid-Right,Pb4-Top-Left,Pb4-Top-Right,Pb4-Mid-Mid,Pb4-Bottom-Left,Pb4-Bottom-Right,Pb4-Top of stud,Pb4-Inbetween stud 3-4,Stud2-Mid-Fire-HF,Stud2-Mid-Fire-CF,Stud2-Mid-Amb-HF,Stud2-Mid-Amb-CF,Stud3-Top-Fire-HF,Stud3-Top-Fire-CF,Stud3-Top-Amb-HF,Stud3-Top-Amb-CF,Stud3-Mid-Fire-HF,Stud3-Mid-Fire-CF,Stud3-Mid-Amb-HF,Stud3-Mid-Amb-CF,Stud3-Bottom-Fire-HF,Stud3-Bottom-Fire-CF,Stud3-Bottom-Amb-HF,Stud3-Bottom-Amb-CF,Stud4-Top-Fire-HF,Stud4-Top-Fire-CF,Stud4-Top-Amb-HF,Stud4-Top-Amb-CF,Stud4-Mid-Fire-HF,Stud4-Mid-Fire-CF,Stud4-Mid-Amb-HF,Stud4-Mid-Amb-CF,Stud4-Bottom-Fire-HF,Stud4-Bottom-Fire-CF,Stud4-Bottom-Amb-HF,Stud4-Bottom-Amb-CF,Stud5-Mid-Fire-HF,Stud5-Mid-Fire-CF,Stud5-Mid-Amb-HF,Stud5-Mid-Amb-CF,Furnace-Top-Left,Furnace-Top-Right,Furnace-Bottom-Left,Furnace-Bottom-Right,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4,Average-Furnace
0,-86.489334,28,6.462831,6.901223,8.392123,7.171287,1.632138,2.684691,-2.088565,2.137876,3.236396,-2.229789,48.932293,48.13818,44.386539,58.453888,51.38216,32.57563,28.905029,30.129675,28.575428,27.52664,26.621689,23.971521,24.623306,21.807775,21.464682,21.792973,21.701365,21.329081,21.21707,21.388321,21.297377,21.234428,21.135834,21.21707,21.278168,20.905052,21.805,21.416088,26.282164,25.257177,23.114658,22.826735,20.92635,26.403566,24.553623,23.297403,26.481194,25.656271,23.384262,22.933502,24.817799,23.751711,22.769186,2293.708252,27.120646,26.334229,24.29954,23.399044,26.294373,25.035549,23.357466,22.501286,24.709368,24.075178,22.427076,22.299683,25.632757,24.683296,23.591442,22.701004,80.385406,92.184784,76.553169,113.008644,50.258612,30.536778,26.2637168,21.6191752,21.30092267,21.28452,90.53300075
1,-86.450928,28,6.467757,6.901223,8.388839,7.169645,1.632138,2.671555,-2.085281,2.137876,3.241322,-2.219937,48.033546,47.620125,44.306309,58.323387,48.899544,32.971748,29.264624,30.670345,28.725071,27.631105,26.698608,24.032471,24.682835,21.810783,21.47278,21.792973,21.709,21.32584,21.213137,21.39156,21.29159,21.227486,21.132362,21.221004,21.268217,20.895098,21.786032,21.421412,26.392971,25.337654,23.129215,22.826965,20.926813,26.480732,24.583389,23.316116,26.572172,25.708826,23.388418,22.942976,24.891155,23.784731,22.785133,2293.71167,27.204666,26.401955,24.352854,23.415676,26.374081,25.09367,23.375946,22.504292,24.759663,24.092491,22.435629,22.291821,25.688772,24.720442,23.599756,22.696381,76.499695,86.341118,74.523308,101.749207,49.4365822,30.96890567,26.354018,21.6222752,21.29876233,21.27880157,84.778332
2,-86.424667,28,6.452979,6.897939,8.388839,7.177855,1.645274,2.664987,-2.075429,2.13295,3.251174,-2.211727,72.00531,63.748604,70.81115,76.544891,113.924133,33.59288,29.82778,31.484041,29.037392,27.901884,26.894106,24.187826,24.821028,21.828594,21.475325,21.814484,21.714552,21.339725,21.207813,21.397345,21.283953,21.238131,21.120558,21.230494,21.261274,20.907598,21.794359,21.426039,26.622379,25.497896,23.173574,22.869488,20.937693,26.632744,24.67153,23.349611,26.749271,25.854494,23.442701,22.947367,25.068531,23.886559,22.812174,2293.705078,27.400761,26.556511,24.434551,23.453558,26.544304,25.21221,23.413597,22.502441,24.892309,24.174669,22.464991,22.305,25.839052,24.836021,23.654953,22.720881,105.583435,131.971909,100.823448,214.124481,79.4068176,31.63490033,26.5684472,21.634536,21.29637033,21.28263614,138.1258183
3,-86.399284,28,6.464473,6.904507,8.390481,7.181139,1.632138,2.684691,-2.108268,2.14116,3.241322,-2.233073,96.628098,112.600502,88.024742,112.696861,140.897293,34.396564,30.742153,32.847664,29.407507,28.176273,27.155176,24.370625,25.052387,21.829752,21.464682,21.828363,21.714552,21.337412,21.222626,21.394569,21.304319,21.221235,21.121252,21.214756,21.243454,20.9032,21.795053,21.409842,26.914829,25.681858,23.243114,22.917326,20.921721,26.813517,24.775579,23.397196,27.006922,25.999451,23.518692,22.979256,25.322897,23.998533,22.866947,2293.707275,27.654573,26.723709,24.565161,23.512917,26.766542,25.347338,23.467648,22.526945,25.091133,24.261457,22.514,22.321878,26.077106,24.984806,23.747786,22.765257,178.723099,185.318649,132.297485,290.209625,110.1694992,32.662127,26.8323936,21.6349522,21.30717133,21.27268457,196.6372145
4,-90.315666,29,6.475966,6.922569,8.387197,7.213978,1.619002,2.671555,-2.081997,2.14116,3.224902,-2.210085,141.88501,144.965424,142.828461,166.411072,203.458969,35.937069,32.360332,35.529713,29.80344,28.516115,27.604185,24.562853,25.354256,21.844555,21.471392,21.830908,21.711544,21.331163,21.220774,21.391792,21.296913,21.222393,21.111067,21.218227,21.244148,20.907135,21.790195,21.410536,27.246328,25.877079,23.309879,22.949909,20.908293,27.009686,24.874546,23.432076,27.272566,26.183327,23.592829,23.018307,25.664799,24.132427,22.910854,2293.716309,27.946508,26.917822,24.669222,23.560034,27.054577,25.510345,23.537861,22.545208,25.339037,24.386318,22.546595,22.344999,26.360489,25.138643,23.838301,22.811943,275.268555,274.474762,219.353119,308.679321,159.9097872,34.609038,27.1681698,21.6379124,21.30315967,21.27195729,269.4439393
5,-90.744957,29,6.49567,6.942273,8.407722,7.241892,1.632138,2.678123,-2.075429,2.128024,3.238038,-2.210085,170.128387,169.940353,176.930679,179.361008,228.446457,40.471088,35.546612,40.398102,30.398897,28.919737,28.45956,24.781809,25.794569,21.84363,21.501471,21.800142,21.722416,21.322832,21.218458,21.372816,21.278399,21.223087,21.103893,21.255951,21.294136,20.863382,21.813097,21.409609,27.598892,26.065125,23.404358,22.946442,20.936998,27.183258,25.015022,23.45656,27.625353,26.357956,23.655645,23.061979,26.161207,24.253839,23.004675,2293.703369,28.337931,27.126631,24.802803,23.58844,27.46911,25.671022,23.63463,22.567631,25.679783,24.493397,22.58728,22.33737,26.746048,25.287386,23.940584,22.830433,344.503906,340.084381,299.269104,328.642822,184.9613768,38.80526733,27.6709144,21.6380982,21.289891,21.28045071,328.1250533
6,-90.39711,29,6.502238,6.950482,8.411827,7.255028,1.668262,2.671555,-2.081997,2.131308,3.234754,-2.236357,202.006241,200.318039,227.886627,204.453522,227.943253,48.39465,42.397614,47.492161,31.203402,29.535904,29.977245,25.074528,26.450558,21.856121,21.505867,21.834146,21.735371,21.321213,21.221235,21.370272,21.28974,21.231651,21.099262,21.245768,21.283258,20.877966,21.805231,21.410767,28.146149,26.34828,23.511993,22.994045,20.954128,27.444946,25.185921,23.515688,28.147758,26.590828,23.762794,23.09063,26.772758,24.451628,23.066137,2293.720703,28.878139,27.395008,24.99703,23.666037,27.995272,25.898973,23.72146,22.600456,26.167429,24.672222,22.648535,22.359104,27.281082,25.541929,24.09203,22.906002,400.743347,397.996948,366.341309,349.990082,212.5215364,46.09480833,28.4483274,21.6505436,21.293749,21.279129,378.7679215
7,-90.171539,29,6.487461,6.95705,8.410185,7.271447,1.638706,2.655135,-2.081997,2.131308,3.228186,-2.190382,263.723724,266.614807,335.49176,265.546814,333.372894,58.190857,53.42308,57.993847,32.52639,30.708889,31.958485,25.546541,27.276249,21.860516,21.508644,21.839235,21.73329,21.323063,21.220079,21.375362,21.287657,21.237206,21.110605,21.213831,21.262199,20.886763,21.812172,21.40799,28.909855,26.746969,23.640404,23.066599,20.993944,27.835403,25.408901,23.601143,28.888712,26.939465,23.919344,23.140074,27.606716,24.746742,23.14793,2293.70459,29.664513,27.792845,25.271936,23.765104,28.846655,26.245071,23.896255,22.624727,26.839996,24.909378,22.705858,22.382454,28.005392,25.895517,24.272997,23.006523,476.638519,508.912018,445.446228,477.020538,292.9499998,56.535928,29.6033108,21.6529496,21.294366,21.27582371,477.0043258
8,-89.367912,29,6.485818,6.963618,8.408543,7.305108,1.619002,2.678123,-2.104985,2.139518,3.221618,-2.25606,333.634491,350.753174,400.425781,380.594177,476.738556,69.28933,67.997765,70.445442,35.187996,32.845833,34.382393,26.304972,28.637953,21.892204,21.524609,21.941702,21.740923,21.327229,21.224476,21.379528,21.283258,21.21059,21.102503,21.213367,21.246925,20.889311,21.808933,21.401279,30.403946,27.380508,23.953053,23.225096,21.02774,28.477032,25.95751,23.777111,30.266016,27.490282,24.289846,23.252817,28.986149,25.149483,23.290243,2293.703369,31.177488,28.514736,25.926168,23.944971,30.391783,26.758251,24.194983,22.672806,28.045414,25.29707,22.852386,22.464296,29.247852,26.43858,24.712597,23.165489,560.400024,563.471863,539.763367,547.578247,388.4292358,69.244179,31.4718294,21.6853334,21.295754,21.26755829,552.8033753
9,-90.276161,29,6.49567,6.945557,8.410185,7.343694,1.64199,2.664987,-2.088565,2.137876,3.228186,-2.236357,325.934479,333.665894,394.097656,397.382477,386.912048,74.180969,72.074013,73.532974,39.70573,36.783493,38.012146,27.88026,31.105251,21.937075,21.614609,22.172043,21.768221,21.354767,21.219152,21.371891,21.280481,21.229568,21.098801,21.239752,21.264051,20.859215,21.829752,21.404518,32.87056,28.533129,24.604618,23.448475,21.039776,29.692301,27.300877,24.052324,32.530743,28.544853,25.109354,23.570196,31.240549,25.742479,23.540632,2293.712158,33.879982,30.010534,27.864849,24.407551,33.081173,27.763857,24.995878,22.78421,30.067467,25.968111,23.121128,22.590284,31.259352,27.442186,25.623537,23.474113,518.121704,519.091248,499.445251,482.648956,367.5985108,73.262652,34.697376,21.769343,21.290508,21.27509386,504.8267898
