Time in Minutes,Kyowa PG 500 KUM -Load in bar-(bar),Load-in-kN,Stud3-Axial,Stud4-Axial,Stud3-Top,Stud4-Top,Stud3-Mid,Stud4-Mid,Stud3-Bottom,Stud4-Bottom,Stud2-Mid,Stud5-Mid,Pb1-Top-Left,Pb1-Top-Right,Pb1-Mid,Pb1-Bottom-Left,Pb1-Bottom-Right,Pb1-Pb2-Mid-Left,Pb1-Pb2-Mid-Mid,Pb1-Pb2-Mid-Right,Pb2-Mid-Left,Pb2-Mid-Mid,Pb2-Mid-Right,Pb3-Fire-Mid-Left,Pb3-Fire-Mid-Mid,Pb3-Fire-Mid-Right,Pb3-Amb-Mid-Left,Pb3-Amb-Mid-Mid,Pb3-Amb-Mid-Right,Pb4-Mid-Left,Pb4-Mid-Mid,Pb4-Mid-Right,Pb4-Pb5-Mid-Left,Pb4-Pb5-Mid-Mid,Pb4-Pb5-Mid-Right,Pb5-Top-Left,Pb5-Top-Right,Pb5-Mid-Mid,Pb5-Bottom-Left,Pb5-Bottom-Right,Stud2-Mid-Fire-HF,Stud3-Top-Fire-HF,Stud3-Mid-Fire-HF,Stud3-Bottom-Fire-HF,Stud4-Top-Fire-HF,Stud4-Mid-Fire-HF,Stud4-Bottom-Fire-HF,Stud5-Mid-Fire-HF,Stud2-Mid-Fire-CF,Stud3-Top-Fire-CF,Stud3-Mid-Fire-CF,Stud3-Bottom-Fire-CF,Stud4-Top-Fire-CF,Stud4-Mid-Fire-CF,Stud4-Bottom-Fire-CF,Stud5-Mid-Fire-CF,Stud2-Mid-Amb-HF,Stud3-Top-Amb-HF,Stud3-Mid-Amb-HF,Stud3-Bottom-Amb-HF,Stud4-Top-Amb-HF,Stud4-Mid-Amb-HF,Stud4-Bottom-Amb-HF,Stud5-Mid-Amb-HF,Stud2-Mid-Amb-CF,Stud3-Top-Amb-CF,Stud3-Mid-Amb-CF,Stud3-Bottom-Amb-CF,Stud4-Top-Amb-CF,Stud4-Mid-Amb-CF,Stud4-Bottom-Amb-CF,Stud5-Mid-Amb-CF,Furnace-Top-Left,Furnace-Top-Right,Furnace-Bottom-Right,Furnace-Bottom-Left,Average-Furnace,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3-Fire,Average-Pb3-Amb,Average-Pb4,Average-Pb4-Pb5,Average-Pb5
1,-0.206149,0.066235674,0.001642,-0.00821,0.001642,0.019704,0.003284,0,-0.024629,0.006568,-0.003284,0.003284,20.199463,20.180237,19.926794,19.829943,20.610781,20.605223,19.74073,19.711069,20.521164,19.572021,19.59149,19.565996,19.567619,19.5653,23.594213,19.515471,19.587549,19.472824,19.245197,19.752087,18.767782,18.145636,19.628338,20.151976,21.110605,20.284933,20.528343,20.763597,19.482559,19.583147,19.658928,19.497393,20.148964,20.067421,19.842688,19.916599,19.815346,19.955755,19.782673,19.659855,19.922159,19.786381,19.628107,19.660318,19.662405,19.894356,19.816273,19.661015,19.833651,19.881613,19.619068,19.709215,19.535635,19.730766,19.94417,19.785454,19.702496,20.048193,19.802832,19.925404,20.286787,20.36762,19.652439,19.976143,20.07074725,20.03410925,19.711069,19.5817555,19.566305,19.55151,19.490036,18.847252,20.515838
2,-0.23131,0.074319903,0,-0.005747,0.006568,0.00821,0,0,-0.013136,0.006568,0,0,20.206181,20.17491,19.923782,19.835272,20.610781,20.602213,19.724974,19.701569,20.542933,19.552786,19.582914,19.55603,19.56391,19.547918,23.575739,19.50226,19.598211,19.464481,19.23801,19.734938,18.777754,18.124058,19.616287,20.177689,21.113613,20.246021,20.475775,20.667973,19.477692,19.581987,19.641315,19.482328,20.13854,20.047266,19.83087,19.887405,19.792868,19.934208,19.76066,19.648731,19.921232,19.755793,19.626253,19.635754,19.65522,19.87443,19.80793,19.65522,19.830406,19.841064,19.623936,19.686506,19.524279,19.718021,19.936756,19.774099,19.701801,20.032207,19.786612,19.908258,20.276363,20.337742,19.70319,20.006262,20.08088925,20.03503625,19.701569,19.56785,19.55595267,19.5502355,19.479143,18.83936633,20.512441
3,-0.250733,0.080560513,0,-0.001642,0.011494,0.009852,0,0,-0.021345,-0.006568,-0.006568,0,20.373642,20.389391,20.19066,20.039854,20.597813,20.592951,19.705276,19.708752,20.551731,19.530304,19.575035,19.552322,19.548845,19.543514,23.529778,19.489977,19.597748,19.458223,19.2139,19.730536,18.772188,18.109903,19.594967,20.167728,21.106901,20.242779,20.4459,20.673298,19.446171,19.553017,19.593111,19.451502,20.118618,20.01298,19.803295,19.878138,19.769928,19.910112,19.722889,19.639925,19.906404,19.730072,19.604467,19.623472,19.631119,19.861454,19.781052,19.64456,19.8311,19.827858,19.609798,19.66704,19.493221,19.707361,19.890186,19.769001,19.695312,20.00186,19.759037,19.901772,20.515606,20.655933,19.946718,20.486197,20.4011135,20.24838675,19.708752,19.5526695,19.548227,19.5438625,19.467553,18.825686,20.50580267
3,-0.299732,0.096303892,0,-0.001642,0.018062,0.019704,0,0,-0.044333,0,0.003284,-0.006568,20.58716,20.650145,20.530426,20.249033,20.590866,20.587393,19.681408,19.705507,20.544552,19.51524,19.5653,19.537722,19.530073,19.534941,23.551256,19.494379,19.597748,19.421833,19.204859,19.706898,18.77961,18.104567,19.581524,20.154987,21.102272,20.208265,20.430151,20.686728,19.443157,19.55603,19.57712,19.448488,20.107731,19.983093,19.784294,19.859138,19.75811,19.902466,19.695312,19.634132,19.893198,19.70574,19.58894,19.606785,19.626947,19.844309,19.757647,19.651281,19.826931,19.797272,19.586159,19.65383,19.48789,19.695776,19.870955,19.762281,19.683725,19.991898,19.764135,19.874662,20.998343,21.203415,20.56632,21.072182,20.960065,20.504191,19.705507,19.54027,19.53424533,19.5460635,19.44453,18.82190033,20.488508
4,-0.346083,0.111196468,-0.001642,-0.011494,0.014778,-0.006568,-0.003284,-0.006568,-0.027913,-0.009852,0,0,20.600822,20.542006,20.427372,20.131359,20.573036,20.568172,19.673759,19.699947,20.563311,19.481865,19.551859,19.518253,19.521034,19.511995,23.545021,19.481632,19.597284,19.405838,19.182604,19.696239,18.770332,18.07765,19.569241,20.181627,21.108059,20.172592,20.435247,20.650145,19.433189,19.542356,19.549541,19.435509,20.112827,19.948805,19.782673,19.841528,19.747219,19.864004,19.673759,19.634596,19.902697,19.68697,19.59543,19.585695,19.609335,19.816734,19.734938,19.63784,19.849174,19.778965,19.586159,19.627411,19.481401,19.679554,19.851028,19.76877,19.701105,19.965254,19.75116,19.866089,21.249008,21.465607,20.776564,21.354998,21.21154425,20.42538975,19.699947,19.516862,19.517094,19.539458,19.428227,18.805741,20.487426
5,-0.362636,0.116514947,-0.001642,-0.001642,-0.146136,-0.262716,0,-0.001642,-0.024629,-0.003284,0,-0.042691,87.146973,74.439178,69.781792,73.824974,20.633009,20.552658,19.652672,19.699947,20.564236,19.461931,19.535868,19.511068,19.497625,19.500637,23.505987,19.483023,19.607248,19.387295,19.157564,19.686737,18.766623,18.060711,19.550236,20.19066,21.110142,20.156609,20.422741,20.69599,19.427395,19.533548,19.536795,19.438057,20.109816,19.922392,19.765757,19.814419,19.752781,19.846394,19.656147,19.632973,19.900148,19.64572,19.582684,19.568083,19.610493,19.805613,19.706898,19.633669,19.839211,19.753475,19.572948,19.604004,19.484413,19.672832,19.819979,19.76066,19.712692,19.941158,19.76066,19.86215,90.027458,88.931427,66.220291,62.946278,77.0313635,76.29822925,19.699947,19.4988995,19.50311,19.5451355,19.410532,18.79252333,20.48580367
6,-0.408104,0.131123815,0,-0.012315,-0.399,-0.554987,-0.183903,-0.203605,-0.057468,-0.01642,0.111653,-0.213457,172.892014,235.241302,221.914398,153.120468,20.835369,20.548952,19.993055,19.923086,20.570488,19.437826,19.541893,19.485804,19.489513,19.485804,23.503447,19.470739,19.61397,19.37756,19.166607,19.681871,18.781927,18.043076,19.541197,20.217531,21.139305,20.157072,20.453079,20.692286,19.561825,19.559044,19.534477,19.464712,20.11051,19.893198,19.751854,19.804918,19.742817,19.846394,19.628571,19.628571,19.888796,19.651049,19.567156,19.598442,19.591026,19.798199,19.68581,19.634596,19.84848,19.734243,19.561825,19.604931,19.460077,19.666113,19.784063,19.761354,19.708057,19.950426,19.748842,19.870724,250.348618,372.773224,241.973343,259.229309,281.0811235,195.7920455,19.923086,19.4898595,19.48704033,19.5423545,19.40867933,18.78873333,20.504636
7,2.018669,-0.64859835,0,-0.00821,-0.536925,-0.722468,-0.269286,-0.302124,-0.129715,-0.128076,0.174047,-0.338248,222.301529,280.219055,264.371338,192.112854,20.915701,20.559141,23.935736,22.2502,20.578362,19.448025,19.532158,19.474447,19.468189,19.470739,23.48012,19.466335,19.594967,19.348352,19.1469,19.670052,18.760361,18.030544,19.517094,20.239536,21.191149,20.117924,20.42135,20.68256,19.667503,19.645023,19.518948,19.467726,20.16958,19.876516,19.765526,19.833418,19.760197,19.822992,19.611883,19.627874,19.915442,19.599833,19.575035,19.621618,19.57712,19.773869,19.66843,19.633205,19.854736,19.707361,19.564837,19.589172,19.464018,19.655684,19.779892,19.750463,19.715473,19.918453,19.758806,19.84593,358.621368,503.653778,377.328674,368.930145,402.1334913,239.751194,22.2502,19.4900915,19.471125,19.530651,19.38843467,18.769333,20.516203
8,1.59975,-0.513999675,0,-0.004926,-0.64858,-0.889949,-0.341534,-0.407211,-0.203603,-0.244659,0.259428,-0.433483,257.228699,316.039337,315.628296,226.73082,21.005981,20.622358,37.540588,29.550833,20.575119,19.591721,19.620922,19.464945,19.575962,19.493685,23.46834,19.460772,19.609566,19.339544,19.118151,19.65661,18.752707,18.013605,19.499247,20.261772,21.776085,20.105413,20.423204,20.659637,19.792406,19.814419,19.566692,19.557653,20.394718,19.95228,19.902002,19.929806,19.806309,19.849405,19.592417,19.635754,19.996761,19.619764,19.579206,19.67515,19.556494,19.763441,19.642706,19.638535,19.850101,19.697397,19.537722,19.590099,19.445705,19.648268,19.744671,19.758343,19.708984,19.903856,19.744671,19.849405,426.494507,560.915833,476.486786,434.682556,474.6449205,278.906788,29.550833,19.6063215,19.51153067,19.535169,19.371435,18.75518633,20.71442333
8,0.928773,-0.298414765,0.001642,-0.009852,-0.835765,-1.067282,-0.492597,-0.545137,-0.267639,-0.292277,0.344809,-0.571409,399.510498,466.871338,513.025696,386.03714,21.324221,20.73975,53.099884,42.297501,20.59457,20.107731,20.099623,19.464481,19.89065,19.61142,23.458639,19.4566,19.691141,19.312191,19.120007,19.651281,18.756418,17.994808,19.494379,20.266172,22.30477,20.10611,20.441036,20.639725,20.167032,20.220078,19.738878,19.828785,21.006676,20.232819,20.282387,20.22888,19.980545,19.900845,19.64711,19.661245,20.237452,19.675846,19.673065,19.936293,19.555103,19.747219,19.604237,19.618605,19.843382,19.657307,19.524973,19.597748,19.43458,19.637144,19.72312,19.745134,19.714314,19.887636,19.746756,19.838516,571.37854,684.477966,624.345703,584.807678,616.2524718,441.361168,42.297501,20.103677,19.655517,19.5738705,19.36115967,18.748535,20.89235067
