,Time,Time in Minutes,Pb2,Pb1-Pb2,Pb1,Pb3-Amb,Pb3-Fire,Pb4,Pb4-Pb5,Pb5,FHF,FHF-Extra,FHF-Extra2,FCF,FCF-Extra,AHF,AHF-Extra,ACF,ACF-Extra,ACF-Extra2
0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
1,14.427052,0.240450867,19.996371,20.000032,24.315687,19.994707,19.994418,19.996718,20,20.002564,20.001117,20.001117,20.001117,20.000611,20.000611,19.9995,19.9995,20.000979,20.000979,20.000979
2,28.827054,0.4804509,20.004172,20.001804,37.99736,20.002961,20.002802,20.00449,19.999998,20.004422,20.007325,20.007325,20.007325,20.004891,20.004891,20.001886,20.001886,20.007743,20.007743,20.007743
3,43.227055,0.720450917,20.00975,20.015721,59.515584,20.007309,20.007189,20.010081,20.000001,20.005171,20.015116,20.015116,20.015116,20.010013,20.010013,20.004776,20.004776,20.016273,20.016273,20.016273
4,57.627057,0.96045095,20.013352,20.065828,89.81053,20.009925,20.00981,20.013616,20.000022,20.005618,20.022777,20.022777,20.022777,20.014934,20.014934,20.007502,20.007502,20.024514,20.024514,20.024514
5,72.027059,1.200450983,20.015715,20.18897,123.04748,20.011341,20.011222,20.015552,20.000075,20.005327,20.029252,20.029252,20.029252,20.018888,20.018888,20.009674,20.009674,20.03146,20.03146,20.03146
6,86.42706,1.440451,20.01667,20.42946,144.27169,20.011021,20.010932,20.015082,20.000166,20.00457,20.032917,20.032917,20.032917,20.020919,20.020919,20.010778,20.010778,20.035412,20.035412,20.035412
7,100.82706,1.680451,20.019642,20.821149,163.01614,20.010788,20.010776,20.014398,20.000293,20.004337,20.035162,20.035162,20.035162,20.022118,20.022118,20.011472,20.011472,20.037814,20.037814,20.037814
8,115.22706,1.920451,20.027315,21.374216,184.84648,20.010891,20.011043,20.014062,20.000448,20.004198,20.037023,20.037023,20.037023,20.023062,20.023062,20.012035,20.012035,20.039742,20.039742,20.039742
9,129.62707,2.160451167,20.042432,22.080749,215.48168,20.011173,20.011657,20.013933,20.000626,20.004112,20.038805,20.038805,20.038805,20.023907,20.023907,20.012539,20.012539,20.04147,20.04147,20.04147
10,144.02707,2.400451167,20.068337,22.92484,236.61441,20.011543,20.012643,20.013917,20.000818,20.004032,20.040667,20.040667,20.040667,20.024716,20.024716,20.013001,20.013001,20.043072,20.043072,20.043072
11,158.42707,2.640451167,20.10849,23.889267,266.74284,20.011807,20.013958,20.013773,20.00102,20.003879,20.042584,20.042584,20.042584,20.025407,20.025407,20.01335,20.01335,20.044373,20.044373,20.044373
12,172.82707,2.880451167,20.166831,24.958373,298.15842,20.012235,20.016051,20.013789,20.001228,20.003984,20.045009,20.045009,20.045009,20.026239,20.026239,20.013721,20.013721,20.045638,20.045638,20.045638
13,187.22707,3.120451167,20.24693,26.117099,319.43494,20.0129,20.019218,20.014155,20.001439,20.004029,20.048465,20.048465,20.048465,20.027471,20.027471,20.014184,20.014184,20.047165,20.047165,20.047165
14,201.62707,3.360451167,20.350931,27.349971,334.83705,20.01325,20.023119,20.01415,20.001651,20.003839,20.052675,20.052675,20.052675,20.028775,20.028775,20.014488,20.014488,20.048327,20.048327,20.048327
15,216.02707,3.600451167,20.481315,28.645114,348.54736,20.013471,20.02822,20.013926,20.001863,20.003737,20.057858,20.057858,20.057858,20.03019,20.03019,20.014678,20.014678,20.049126,20.049126,20.049126
16,230.42708,3.840451333,20.640385,29.991436,367.35946,20.013785,20.035082,20.013768,20.002073,20.003709,20.064507,20.064507,20.064507,20.032018,20.032018,20.014839,20.014839,20.049797,20.049797,20.049797
17,244.82708,4.080451333,20.829858,31.379067,392.62261,20.014305,20.044017,20.013802,20.002281,20.003801,20.073235,20.073235,20.073235,20.034623,20.034623,20.015044,20.015044,20.05053,20.05053,20.05053
18,259.22708,4.320451333,21.050867,32.801846,412.40959,20.015066,20.055237,20.014085,20.002484,20.003902,20.084654,20.084654,20.084654,20.038338,20.038338,20.015335,20.015335,20.051477,20.051477,20.051477
19,273.62708,4.560451333,21.303647,34.253467,427.91631,20.015832,20.06866,20.01428,20.002683,20.003898,20.098969,20.098969,20.098969,20.043219,20.043219,20.015596,20.015596,20.052368,20.052368,20.052368
20,288.02708,4.800451333,21.588543,35.725524,441.61182,20.01665,20.084538,20.014364,20.002878,20.003904,20.116543,20.116543,20.116543,20.049469,20.049469,20.015817,20.015817,20.053129,20.053129,20.053129
21,302.42708,5.040451333,21.905604,37.20981,454.31608,20.017644,20.103191,20.014436,20.00307,20.003937,20.137934,20.137934,20.137934,20.057442,20.057442,20.016022,20.016022,20.053818,20.053818,20.053818
22,316.82709,5.2804515,22.254478,38.706042,464.95807,20.018874,20.124829,20.014518,20.003257,20.00396,20.163705,20.163705,20.163705,20.067465,20.067465,20.016215,20.016215,20.054457,20.054457,20.054457
23,331.22709,5.5204515,22.63449,40.220116,473.91868,20.020371,20.149608,20.014578,20.003441,20.003985,20.19436,20.19436,20.19436,20.079818,20.079818,20.016389,20.016389,20.055018,20.055018,20.055018
24,345.62709,5.7604515,23.044867,41.757606,482.15767,20.022233,20.17773,20.014657,20.003621,20.004031,20.230485,20.230485,20.230485,20.094855,20.094855,20.016561,20.016561,20.055539,20.055539,20.055539
25,360.02709,6.0004515,23.484874,43.321508,490.03374,20.024544,20.209352,20.014782,20.003798,20.004095,20.272627,20.272627,20.272627,20.11299,20.11299,20.016744,20.016744,20.056056,20.056056,20.056056
26,374.42709,6.2404515,23.953765,44.898439,497.56461,20.027368,20.244571,20.014947,20.003971,20.004158,20.321233,20.321233,20.321233,20.134658,20.134658,20.016941,20.016941,20.056576,20.056576,20.056576
27,388.82709,6.4804515,24.450671,46.470773,504.80377,20.03077,20.283507,20.015134,20.00414,20.00423,20.376623,20.376623,20.376623,20.160255,20.160255,20.017147,20.017147,20.057086,20.057086,20.057086
28,403.2271,6.720451667,24.974797,48.042943,513.25139,20.034861,20.326323,20.015377,20.004307,20.004324,20.439159,20.439159,20.439159,20.190253,20.190253,20.017382,20.017382,20.057622,20.057622,20.057622
29,417.6271,6.960451667,25.525082,49.632402,523.51908,20.039749,20.373141,20.015709,20.00447,20.004449,20.509406,20.509406,20.509406,20.225135,20.225135,20.017661,20.017661,20.058223,20.058223,20.058223
