,Time,Time in Minutes,Pb2,Pb1-Pb2,Pb1,Pb3,Pb3-Pb4,Pb4,FHF,FHF-Extra,FHF-Extra2,FCF,FCF-Extra,AHF,AHF-Extra,ACF,ACF-Extra,ACF-Extra2
0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
1,14.445449,0.240757483,19.996348,20.000024,23.721765,19.996255,20,20,19.997953,19.997953,19.997953,19.99752,19.99752,19.997524,19.997524,19.997913,19.997913,19.997913
2,28.836181,0.480603017,19.997191,20.001526,36.714108,19.99713,19.999997,20,19.99737,19.99737,19.99737,19.996831,19.996831,19.996832,19.996832,19.997328,19.997328,19.997328
3,43.226912,0.720448533,19.997707,20.014025,57.238322,19.997651,19.999988,20,19.997223,19.997223,19.997223,19.996637,19.996637,19.996636,19.996636,19.997181,19.997181,19.997181
4,57.617644,0.960294067,19.998046,20.060253,86.281009,19.997926,19.999974,20,19.997133,19.997133,19.997133,19.996504,19.996504,19.996501,19.996501,19.99709,19.99709,19.99709
5,72.008375,1.200139583,19.998585,20.175518,119.5469,19.998109,19.999955,20,19.99708,19.99708,19.99708,19.996409,19.996409,19.996405,19.996405,19.997033,19.997033,19.997033
6,86.453825,1.440897083,19.999977,20.403934,141.08073,19.998247,19.999935,19.999999,19.997066,19.997066,19.997066,19.996339,19.996339,19.996332,19.996332,19.996997,19.996997,19.996997
7,100.84456,1.680742667,20.00346,20.780606,159.34529,19.998363,19.999912,19.999999,19.997122,19.997122,19.997122,19.996295,19.996295,19.99628,19.99628,19.996978,19.996978,19.996978
8,115.23529,1.920588167,20.011048,21.316865,179.07925,19.998482,19.99989,19.999998,19.997324,19.997324,19.997324,19.996286,19.996286,19.99625,19.99625,19.996978,19.996978,19.996978
9,129.62602,2.160433667,20.025533,22.006669,209.44546,19.998634,19.999867,19.999996,19.997818,19.997818,19.997818,19.996337,19.996337,19.996251,19.996251,19.997003,19.997003,19.997003
10,144.01675,2.400279167,20.050268,22.834727,231.26623,19.99886,19.999846,19.999994,19.998832,19.998832,19.998832,19.99649,19.99649,19.996304,19.996304,19.99707,19.99707,19.99707
11,158.40748,2.640124667,20.088837,23.783735,257.18201,19.999215,19.999825,19.999992,20.00069,20.00069,20.00069,19.99681,19.99681,19.996437,19.996437,19.997203,19.997203,19.997203
12,172.85293,2.880882167,20.144865,24.839976,290.89675,19.999766,19.999807,19.999989,20.003814,20.003814,20.003814,19.997392,19.997392,19.996698,19.996698,19.997436,19.997436,19.997436
13,187.24366,3.120727667,20.221576,25.986898,314.44209,20.000601,19.99979,19.999985,20.008701,20.008701,20.008701,19.998358,19.998358,19.997149,19.997149,19.997819,19.997819,19.997819
14,201.63439,3.360573167,20.321738,27.206569,331.00115,20.001847,19.999778,19.999981,20.015905,20.015905,20.015905,19.999854,19.999854,19.997876,19.997876,19.998421,19.998421,19.998421
15,216.02513,3.600418833,20.447913,28.488894,344.95497,20.003695,19.999771,19.999977,20.02605,20.02605,20.02605,20.002059,20.002059,19.998993,19.998993,19.999343,19.999343,19.999343
16,230.41586,3.840264333,20.602116,29.823268,361.50539,20.006312,19.999771,19.999973,20.039777,20.039777,20.039777,20.005182,20.005182,20.000647,20.000647,20.000719,20.000719,20.000719
17,244.80659,4.080109833,20.785866,31.19952,386.49309,20.009861,19.999783,19.999969,20.057747,20.057747,20.057747,20.009472,20.009472,20.003031,20.003031,20.00273,20.00273,20.00273
18,259.25204,4.320867333,21.000662,32.613848,407.41149,20.014512,19.999812,19.999964,20.080657,20.080657,20.080657,20.01522,20.01522,20.006381,20.006381,20.005609,20.005609,20.005609
19,273.64277,4.560712833,21.246837,34.057996,423.73077,20.020411,19.999863,19.99996,20.109129,20.109129,20.109129,20.022726,20.022726,20.01095,20.01095,20.009617,20.009617,20.009617
20,288.0335,4.800558333,21.524189,35.521519,437.82933,20.027697,19.999945,19.999957,20.143744,20.143744,20.143744,20.032295,20.032295,20.016996,20.016996,20.015031,20.015031,20.015031
21,302.42423,5.040403833,21.833099,36.998447,450.92975,20.036536,20.000067,19.999954,20.185138,20.185138,20.185138,20.044274,20.044274,20.024815,20.024815,20.022159,20.022159,20.022159
22,316.81496,5.280249333,22.17323,38.486237,462.05871,20.047083,20.000242,19.999953,20.233897,20.233897,20.233897,20.059017,20.059017,20.034708,20.034708,20.031312,20.031312,20.031312
23,331.2057,5.520095,22.544028,39.990027,471.32667,20.059478,20.000482,19.999954,20.290574,20.290574,20.290574,20.076884,20.076884,20.046989,20.046989,20.042796,20.042796,20.042796
24,345.65115,5.7608525,22.945615,41.518829,479.75881,20.073865,20.000803,19.999959,20.355804,20.355804,20.355804,20.098281,20.098281,20.062004,20.062004,20.056936,20.056936,20.056936
25,360.04188,6.000698,23.376508,43.073782,487.76883,20.090346,20.001223,19.999968,20.429926,20.429926,20.429926,20.123537,20.123537,20.080042,20.080042,20.074007,20.074007,20.074007
26,374.43261,6.2405435,23.835,44.643653,495.34759,20.108961,20.001758,19.999983,20.513236,20.513236,20.513236,20.152947,20.152947,20.101361,20.101361,20.094259,20.094259,20.094259
27,388.82334,6.480389,24.321261,46.210821,502.51123,20.129789,20.00243,20.000006,20.606269,20.606269,20.606269,20.186916,20.186916,20.126301,20.126301,20.118014,20.118014,20.118014
