s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"Pb1","Pb1-Pb2","Pb2","Pb3","Pb3-Pb4","Pb4","AHF","AHF-Extra","ACF","ACF-Extra","ACF-Extra2","FHF","FHF-Extra","FHF-Extra2","FCF","FCF-Extra"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.4419725E+001, 2.0009172E+001, 2.0000017E+001, 2.3080440E+001, 2.0009383E+001, 2.0000000E+001, 2.0000000E+001, 2.0006504E+001, 2.0006504E+001, 2.0006035E+001, 2.0006035E+001, 2.0006035E+001, 2.0005909E+001, 2.0005909E+001, 2.0005909E+001, 2.0007153E+001, 2.0007153E+001
 2.8827339E+001, 2.0039779E+001, 2.0001250E+001, 3.5243567E+001, 2.0042404E+001, 2.0000006E+001, 2.0000000E+001, 2.0033261E+001, 2.0033261E+001, 2.0032122E+001, 2.0032122E+001, 2.0032122E+001, 2.0028197E+001, 2.0028197E+001, 2.0028197E+001, 2.0037662E+001, 2.0037662E+001
 4.3220161E+001, 2.0061461E+001, 2.0012241E+001, 5.5432816E+001, 2.0068125E+001, 2.0000051E+001, 2.0000000E+001, 2.0064635E+001, 2.0064635E+001, 2.0063754E+001, 2.0063754E+001, 2.0063754E+001, 2.0054036E+001, 2.0054036E+001, 2.0054036E+001, 2.0073674E+001, 2.0073674E+001
 5.7605688E+001, 2.0077880E+001, 2.0054691E+001, 8.4158034E+001, 2.0089208E+001, 2.0000193E+001, 2.0000000E+001, 2.0094986E+001, 2.0094986E+001, 2.0094649E+001, 2.0094649E+001, 2.0094649E+001, 2.0079441E+001, 2.0079441E+001, 2.0079441E+001, 2.0108461E+001, 2.0108461E+001
 7.2008481E+001, 2.0090055E+001, 2.0163384E+001, 1.1770199E+002, 2.0104278E+001, 2.0000480E+001, 2.0000001E+001, 2.0122796E+001, 2.0122796E+001, 2.0123169E+001, 2.0123169E+001, 2.0123169E+001, 2.0102909E+001, 2.0102909E+001, 2.0102909E+001, 2.0140226E+001, 2.0140226E+001
 8.6426144E+001, 2.0090783E+001, 2.0382357E+001, 1.3930607E+002, 2.0105170E+001, 2.0000945E+001, 2.0000005E+001, 2.0139921E+001, 2.0139921E+001, 2.0141218E+001, 2.0141218E+001, 2.0141218E+001, 2.0117154E+001, 2.0117154E+001, 2.0117154E+001, 2.0159787E+001, 2.0159787E+001
 1.0082254E+002, 2.0091606E+001, 2.0747957E+001, 1.5746684E+002, 2.0102459E+001, 2.0001591E+001, 2.0000013E+001, 2.0150493E+001, 2.0150493E+001, 2.0152433E+001, 2.0152433E+001, 2.0152433E+001, 2.0126063E+001, 2.0126063E+001, 2.0126063E+001, 2.0171783E+001, 2.0171783E+001
 1.1521780E+002, 2.0097741E+001, 2.1273455E+001, 1.7648510E+002, 2.0100832E+001, 2.0002395E+001, 2.0000030E+001, 2.0158975E+001, 2.0158975E+001, 2.0161293E+001, 2.0161293E+001, 2.0161293E+001, 2.0133364E+001, 2.0133364E+001, 2.0133364E+001, 2.0181385E+001, 2.0181385E+001
 1.2963182E+002, 2.0111334E+001, 2.1953840E+001, 2.0579678E+002, 2.0100036E+001, 2.0003326E+001, 2.0000059E+001, 2.0166463E+001, 2.0166463E+001, 2.0168937E+001, 2.0168937E+001, 2.0168937E+001, 2.0140000E+001, 2.0140000E+001, 2.0140000E+001, 2.0189700E+001, 2.0189700E+001
 1.4400953E+002, 2.0134995E+001, 2.2773135E+001, 2.2822621E+002, 2.0099403E+001, 2.0004348E+001, 2.0000103E+001, 2.0173079E+001, 2.0173079E+001, 2.0175391E+001, 2.0175391E+001, 2.0175391E+001, 2.0146102E+001, 2.0146102E+001, 2.0146102E+001, 2.0196719E+001, 2.0196719E+001
 1.5845142E+002, 2.0173310E+001, 2.3715417E+001, 2.5221222E+002, 2.0099770E+001, 2.0005437E+001, 2.0000168E+001, 2.0179882E+001, 2.0179882E+001, 2.0181487E+001, 2.0181487E+001, 2.0181487E+001, 2.0152594E+001, 2.0152594E+001, 2.0152594E+001, 2.0203404E+001, 2.0203404E+001
 1.7280762E+002, 2.0228519E+001, 2.4762799E+001, 2.8649724E+002, 2.0099566E+001, 2.0006569E+001, 2.0000255E+001, 2.0186506E+001, 2.0186506E+001, 2.0186638E+001, 2.0186638E+001, 2.0186638E+001, 2.0159296E+001, 2.0159296E+001, 2.0159296E+001, 2.0209110E+001, 2.0209110E+001
 1.8723222E+002, 2.0306663E+001, 2.5900772E+001, 3.1069507E+002, 2.0101552E+001, 2.0007728E+001, 2.0000367E+001, 2.0194990E+001, 2.0194990E+001, 2.0192407E+001, 2.0192407E+001, 2.0192407E+001, 2.0168133E+001, 2.0168133E+001, 2.0168133E+001, 2.0215678E+001, 2.0215678E+001
 2.0164422E+002, 2.0408917E+001, 2.7116660E+001, 3.2745588E+002, 2.0103203E+001, 2.0008905E+001, 2.0000506E+001, 2.0205177E+001, 2.0205177E+001, 2.0198269E+001, 2.0198269E+001, 2.0198269E+001, 2.0179001E+001, 2.0179001E+001, 2.0179001E+001, 2.0222501E+001, 2.0222501E+001
 2.1600080E+002, 2.0535575E+001, 2.8392638E+001, 3.4131987E+002, 2.0102433E+001, 2.0010088E+001, 2.0000673E+001, 2.0215265E+001, 2.0215265E+001, 2.0202134E+001, 2.0202134E+001, 2.0202134E+001, 2.0190789E+001, 2.0190789E+001, 2.0190789E+001, 2.0227127E+001, 2.0227127E+001
 2.3041280E+002, 2.0691011E+001, 2.9721188E+001, 3.5658920E+002, 2.0101288E+001, 2.0011274E+001, 2.0000867E+001, 2.0226450E+001, 2.0226450E+001, 2.0204557E+001, 2.0204557E+001, 2.0204557E+001, 2.0204810E+001, 2.0204810E+001, 2.0204810E+001, 2.0230436E+001, 2.0230436E+001
 2.4482481E+002, 2.0878181E+001, 3.1094450E+001, 3.8067643E+002, 2.0100416E+001, 2.0012457E+001, 2.0001090E+001, 2.0240202E+001, 2.0240202E+001, 2.0206390E+001, 2.0206390E+001, 2.0206390E+001, 2.0222306E+001, 2.0222306E+001, 2.0222306E+001, 2.0233621E+001, 2.0233621E+001
 2.5923682E+002, 2.1098583E+001, 3.2502955E+001, 4.0237245E+002, 2.0100416E+001, 2.0013629E+001, 2.0001341E+001, 2.0257798E+001, 2.0257798E+001, 2.0208301E+001, 2.0208301E+001, 2.0208301E+001, 2.0244452E+001, 2.0244452E+001, 2.0244452E+001, 2.0237553E+001, 2.0237553E+001
 2.7364882E+002, 2.1353189E+001, 3.3941454E+001, 4.1912771E+002, 2.0101483E+001, 2.0014782E+001, 2.0001620E+001, 2.0280300E+001, 2.0280300E+001, 2.0210734E+001, 2.0210734E+001, 2.0210734E+001, 2.0272279E+001, 2.0272279E+001, 2.0272279E+001, 2.0242920E+001, 2.0242920E+001
 2.8800540E+002, 2.1640717E+001, 3.5400006E+001, 4.3350095E+002, 2.0102207E+001, 2.0015912E+001, 2.0001924E+001, 2.0307482E+001, 2.0307482E+001, 2.0213084E+001, 2.0213084E+001, 2.0213084E+001, 2.0305629E+001, 2.0305629E+001, 2.0305629E+001, 2.0249108E+001, 2.0249108E+001
 3.0241741E+002, 2.1961674E+001, 3.6872841E+001, 4.4680020E+002, 2.0102396E+001, 2.0017021E+001, 2.0002253E+001, 2.0339621E+001, 2.0339621E+001, 2.0215024E+001, 2.0215024E+001, 2.0215024E+001, 2.0345080E+001, 2.0345080E+001, 2.0345080E+001, 2.0255770E+001, 2.0255770E+001
 3.1682941E+002, 2.2316708E+001, 3.8358499E+001, 4.5835255E+002, 2.0102375E+001, 2.0018112E+001, 2.0002606E+001, 2.0377460E+001, 2.0377460E+001, 2.0216613E+001, 2.0216613E+001, 2.0216613E+001, 2.0391615E+001, 2.0391615E+001, 2.0391615E+001, 2.0263103E+001, 2.0263103E+001
