,Time,Time in Minutes,Pb2,Pb1-Pb2,Pb1,Pb3,Pb3-Pb4,Pb4,FHF,FHF-Extra,FHF-Extra2,FCF,FCF-Extra,AHF,AHF-Extra,ACF,ACF-Extra,ACF-Extra2
0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
1,14.445449,0.240757483,19.996353,20.000024,23.721765,19.99626,20,20,19.99838,19.99838,19.99838,19.998039,19.998039,19.998042,19.998042,19.998348,19.998348,19.998348
2,28.836181,0.480603017,19.997211,20.001526,36.714109,19.997151,19.999997,20,19.997916,19.997916,19.997916,19.997497,19.997497,19.997499,19.997499,19.997883,19.997883,19.997883
3,43.226912,0.720448533,19.997741,20.014025,57.238322,19.997684,19.999988,20,19.997797,19.997797,19.997797,19.997349,19.997349,19.997349,19.997349,19.997764,19.997764,19.997764
4,57.617644,0.960294067,19.998091,20.060253,86.28101,19.997971,19.999974,20,19.997723,19.997723,19.997723,19.997247,19.997247,19.997246,19.997246,19.997689,19.997689,19.997689
5,72.008375,1.200139583,19.998639,20.175518,119.5469,19.998163,19.999956,20,19.997678,19.997678,19.997678,19.997175,19.997175,19.997172,19.997172,19.99764,19.99764,19.99764
6,86.453825,1.440897083,20.000038,20.403935,141.08054,19.998307,19.999935,19.999999,19.997663,19.997663,19.997663,19.997121,19.997121,19.997116,19.997116,19.997607,19.997607,19.997607
7,100.84456,1.680742667,20.003527,20.780607,159.34541,19.99843,19.999913,19.999999,19.997702,19.997702,19.997702,19.997086,19.997086,19.997075,19.997075,19.997587,19.997587,19.997587
8,115.23529,1.920588167,20.011118,21.316866,179.07971,19.998553,19.999891,19.999998,19.997858,19.997858,19.997858,19.997077,19.997077,19.997049,19.997049,19.99758,19.99758,19.99758
9,129.62602,2.160433667,20.025607,22.006671,209.44715,19.998708,19.999869,19.999996,19.998246,19.998246,19.998246,19.997114,19.997114,19.997047,19.997047,19.997594,19.997594,19.997594
10,144.01675,2.400279167,20.050344,22.834729,231.26714,19.998936,19.999848,19.999994,19.99905,19.99905,19.99905,19.99723,19.99723,19.997084,19.997084,19.997639,19.997639,19.997639
