Temperature,Yield strength,,Elastic modulus
20,610,210000,210
30,609.9999262,208259.1,208.2591
40,609.9986939,206509.8,206.5098
50,609.9933621,204760.5,204.7605
60,609.9794613,203011.2,203.0112
70,609.9512993,201261.9,201.2619
80,609.902139,199512.6,199.5126
90,609.8243151,197763.3,197.7633
100,609.7093166,196014,196.014
110,609.5478495,194264.7,194.2647
120,609.3298862,192515.4,192.5154
130,609.0447058,190766.1,190.7661
140,608.6809287,189016.8,189.0168
150,608.2265446,187267.5,187.2675
160,607.6689387,185518.2,185.5182
170,606.994913,183768.9,183.7689
180,606.1907064,182019.6,182.0196
190,605.2420123,180270.3,180.2703
200,604.1339945,178521,178.521
210,602.8513018,175686,175.686
220,601.3780811,172851,172.851
230,599.6979896,170016,170.016
240,597.7942065,167181,167.181
250,595.649443,164346,164.346
260,593.2459522,161511,161.511
270,590.5655385,158676,158.676
280,587.5895658,155841,155.841
290,584.2989657,153006,153.006
300,579.5,150171,150.171
310,572.3532857,147336,147.336
320,560.5847699,144501,144.501
330,546.4797777,141666,141.666
340,530.8619467,138831,138.831
350,514.2009932,135996,135.996
360,496.8039195,133161,133.161
370,478.8859693,130326,130.326
380,460.6046148,127491,127.491
390,442.0783542,124656,124.656
400,423.398124,121821,121.821
410,404.6346947,118986,118.986
420,385.8436999,116151,116.151
430,367.0691832,113316,113.316
440,348.3461725,110481,110.481
450,329.7025932,107646,107.646
460,311.1607158,104811,104.811
470,292.73827,101976,101.976
480,274.449312,99141,99.141
490,256.3049094,96306,96.306
500,238.3136851,93471,93.471
510,220.4822548,90636,90.636
520,202.8155804,87801,87.801
530,185.3172578,84966,84.966
540,167.9897526,82131,82.131
550,150.8345938,79296,79.296
560,133.8525341,76461,76.461
570,117.043683,73626,73.626
580,100.4076176,70791,70.791
590,83.94347478,67956,67.956
600,67.1,65121,65.121
610,64.66,62286,62.286
620,62.22,59451,59.451
630,59.78,56616,56.616
640,57.34,53781,53.781
650,54.9,50946,50.946
660,52.46,48111,48.111
670,50.02,45276,45.276
680,47.58,42441,42.441
690,45.14,39606,39.606
700,42.7,36771,36.771
710,40.26,33936,33.936
720,37.82,31101,31.101
730,35.38,28266,28.266
740,32.94,25431,25.431
750,30.5,22596,22.596
760,28.06,19761,19.761
770,25.62,16926,16.926
780,23.18,14091,14.091
790,20.74,11256,11.256
800,18.3,8421,8.421
